Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00775444371818985976607674359684
ND280UPGRD,15,1.898235e-01,1.668101e-07,8.17976024906273657677502342266962
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00140623216610974498090580464549
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.87883110075855985776627221639501
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.24479099378865107339287021659402
ND280UPGRD,46,3.419952e-01,7.742637e-07,48.39674452858384512410339084453881
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00005846269092505106948140514156
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.02579731318571733961197978146629
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.47418583357792287724663538028835
ND280UPGRD,31,1.801648e-02,4.641589e-07,1.54650260347587620302078903478105
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.02382987021528560483973890882226
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00039258831493840670940134729427
ND280UPGRD,36,3.419952e-01,4.641589e-07,72.99093071765300066999770933762193
ND280UPGRD,45,1.898235e-01,7.742637e-07,934.41626008506011658028000965714455
ND280UPGRD,14,1.053610e-01,1.668101e-07,3.67469965562444889073390186240431
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.02846708239559878408919679770861
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.18450549041341435252405744904536
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.00403522582984085307483690385766
ND280UPGRD,33,5.848035e-02,4.641589e-07,65.15142563927088303898926824331284
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00060555329291787625498738600882
ND280UPGRD,65,1.898235e-01,2.154435e-06,1511.26484924712849533534608781337738
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.02349911659461168672580200222910
ND280UPGRD,61,1.801648e-02,2.154435e-06,717.75917708273448170075425878167152
ND280UPGRD,51,1.801648e-02,1.291550e-06,92.70775309106869599418132565915585
ND280UPGRD,52,3.245936e-02,1.291550e-06,663.64082676027408069785451516509056
ND280UPGRD,50,1.000000e-02,1.291550e-06,10.90728198695619610703033686149865
ND280UPGRD,57,6.161550e-01,1.291550e-06,10.21459091279308672994829976232722
ND280UPGRD,53,5.848035e-02,1.291550e-06,3873.43458323257164011010900139808655
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.43018743916068657995310786645859
ND280UPGRD,16,3.419952e-01,1.668101e-07,14.41807383165866163210466766031459
ND280UPGRD,26,3.419952e-01,2.782559e-07,46.06307336703375199249421712011099
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.71330337113077835198282627970912
ND280UPGRD,34,1.053610e-01,4.641589e-07,217.63261552321341696369927376508713
ND280UPGRD,54,1.053610e-01,1.291550e-06,7635.63028029671750118723139166831970
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.19973914559780225896901129090111
ND280UPGRD,24,1.053610e-01,2.782559e-07,28.42313537837508974348565971013159
ND280UPGRD,32,3.245936e-02,4.641589e-07,11.07314249924443494421666400739923
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00333185331648916437455310024518
ND280UPGRD,17,6.161550e-01,1.668101e-07,1.81497788880716415249594319902826
ND280UPGRD,56,3.419952e-01,1.291550e-06,67.27992669885776422233902849256992
ND280UPGRD,60,1.000000e-02,2.154435e-06,84.45055510720349900566361611708999
ND280UPGRD,35,1.898235e-01,4.641589e-07,352.90326508435066443780669942498207
ND280UPGRD,75,1.898235e-01,3.593814e-06,2192.51871160223072365624830126762390
ND280UPGRD,62,3.245936e-02,2.154435e-06,5135.53847328261872462462633848190308
ND280UPGRD,85,1.898235e-01,5.994843e-06,7194.31895491619161475682631134986877
ND280UPGRD,23,5.848035e-02,2.782559e-07,8.41661865051859336972484015859663
ND280UPGRD,25,1.898235e-01,2.782559e-07,56.73260533348169332157340249978006
ND280UPGRD,6,3.419952e-01,1.000000e-07,2.28984130094833959745415086217690
