Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.42122481839908992862220316055755
ND280UPGRD,44,1.053610e-01,7.742637e-07,1474.34879947631520735740195959806442
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.17743061764791784318262557462731
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00012453505217683668963857268608
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.02087453993599271834247232959569
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00688836299122320017823684068503
ND280UPGRD,36,3.419952e-01,4.641589e-07,64.83869689723979945483733899891376
ND280UPGRD,6,3.419952e-01,1.000000e-07,2.03409279201125237079850194277242
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.02528764202414229486648444833463
ND280UPGRD,24,1.053610e-01,2.782559e-07,25.24860337507605123619214282371104
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.01094163243527718903935763705704
ND280UPGRD,14,1.053610e-01,1.668101e-07,3.26427865512613379905815236270428
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00034874078885437683871656444623
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.12473163253335126099408114441758
ND280UPGRD,45,1.898235e-01,7.742637e-07,830.05288558205336357787018641829491
ND280UPGRD,25,1.898235e-01,2.782559e-07,50.39623642610581555345561355352402
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00295972424477738754386435537924
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00053792006799458099396138432979
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.27045221868299940126689762109891
ND280UPGRD,27,6.161550e-01,2.782559e-07,1.07654894189020255979016837954987
ND280UPGRD,42,3.245936e-02,7.742637e-07,76.06711503975996890858368715271354
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.25139394023773831143842016899725
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00124917246963514999569255792267
ND280UPGRD,16,3.419952e-01,1.668101e-07,12.80774350760327884302114398451522
ND280UPGRD,43,5.848035e-02,7.742637e-07,447.80777656339245140770799480378628
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.92136600837077442527345283451723
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.00269604981572637084075161340024
ND280UPGRD,34,1.053610e-01,4.641589e-07,193.32559612711423824293888173997402
ND280UPGRD,31,1.801648e-02,4.641589e-07,1.37377633867207693540990476321895
ND280UPGRD,26,3.419952e-01,2.782559e-07,40.91836647149491312802638276480138
ND280UPGRD,17,6.161550e-01,1.668101e-07,1.61226607265467558605109843483660
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.78067593885565578215590676336433
ND280UPGRD,41,1.801648e-02,7.742637e-07,10.63656497854073457176582451211289
ND280UPGRD,23,5.848035e-02,2.782559e-07,7.47658072331781475838852202286944
ND280UPGRD,32,3.245936e-02,4.641589e-07,9.83640190841973094393324572592974
ND280UPGRD,15,1.898235e-01,1.668101e-07,7.26617663682975489791715517640114
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.02116835224318876912397158207568
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.16162382747565259832889239532960
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.08027331266332356218828891769590
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.96572251087606053587819587846752
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.16389838369191611633368665934540
ND280UPGRD,46,3.419952e-01,7.742637e-07,42.99139384097577476495644077658653
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.02291605482990994799297190809284
ND280UPGRD,47,6.161550e-01,7.742637e-07,2.85485060595590489640471787424758
ND280UPGRD,33,5.848035e-02,4.641589e-07,57.87477290553412956342071993276477
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00005193309167887653226593214217
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.82286995828719478041080037655775
ND280UPGRD,35,1.898235e-01,4.641589e-07,313.48809521778679254566668532788754
ND280UPGRD,84,1.053610e-01,5.994843e-06,22712.01312831656468915753066539764404
ND280UPGRD,83,5.848035e-02,5.994843e-06,252726.61063899967120960354804992675781
ND280UPGRD,63,5.848035e-02,2.154435e-06,26161.24124824446334969252347946166992
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.00978077932294875614094298299506
