Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.02649138818738243708605928361521
ND280UPGRD,7,6.161550e-01,1.000000e-07,1.02979047411379931453723202139372
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.15609689685460331753930063314328
ND280UPGRD,42,3.245936e-02,7.742637e-07,95.19510303221423441755177918821573
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.03164652276705526984246219512897
ND280UPGRD,13,5.848035e-02,1.668101e-07,1.20856501361097623536977607727749
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.10045899947339907709586981354732
ND280UPGRD,33,5.848035e-02,4.641589e-07,72.42807837300762230370310135185719
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.56607194860161391680719589203363
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.97698626266146393337663766942569
ND280UPGRD,27,6.161550e-01,2.782559e-07,1.34726007932458102800410415511578
ND280UPGRD,44,1.053610e-01,7.742637e-07,1845.09148004638268503185827285051346
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00043643584102243652587602151804
ND280UPGRD,43,5.848035e-02,7.742637e-07,560.41441043605834693153155967593193
ND280UPGRD,35,1.898235e-01,4.641589e-07,392.31843495091447948652785271406174
ND280UPGRD,25,1.898235e-01,2.782559e-07,63.06897424085756398426383384503424
ND280UPGRD,31,1.801648e-02,4.641589e-07,1.71922886827967524858706838131184
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.01369303708274455071147723828062
ND280UPGRD,6,3.419952e-01,1.000000e-07,2.54558980988542682410979978158139
ND280UPGRD,41,1.801648e-02,7.742637e-07,13.31125675677027508925220899982378
ND280UPGRD,5,1.898235e-01,1.000000e-07,1.15305453679149549905957883311203
ND280UPGRD,47,6.161550e-01,7.742637e-07,3.57273701564072299063923310313839
ND280UPGRD,14,1.053610e-01,1.668101e-07,4.08512065612276398240965136210434
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00006499229017122560669687814094
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.52714684875675577035991636876133
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00067318651784117151601338768785
ND280UPGRD,24,1.053610e-01,2.782559e-07,31.59766738167412469806549779605120
ND280UPGRD,34,1.053610e-01,4.641589e-07,241.93963491931256726275023538619280
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.02867857154152472776154070288612
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00156329186258433974927861687121
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.58992265963837353659471318678698
ND280UPGRD,46,3.419952e-01,7.742637e-07,53.80209521619190837782298331148922
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.02612369325323065163968472290890
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.00337400386295580922632608711353
ND280UPGRD,36,3.419952e-01,4.641589e-07,81.14316453806618767430336447432637
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00370398238820094077156097611692
ND280UPGRD,16,3.419952e-01,1.668101e-07,16.02840415571404264483135193586349
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00862052444515651848655490852025
ND280UPGRD,23,5.848035e-02,2.782559e-07,9.35665657771937020470431889407337
ND280UPGRD,17,6.161550e-01,1.668101e-07,2.01768970495965227485157811315730
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.20511259713491256095885262311640
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.22204767354768664699982139154599
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.20226607648999800348477151601401
ND280UPGRD,32,3.245936e-02,4.641589e-07,12.30988309006913716814324288861826
ND280UPGRD,45,1.898235e-01,7.742637e-07,1038.77963458806675589585211127996445
ND280UPGRD,26,3.419952e-01,2.782559e-07,51.20778026257258375153469387441874
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00015585088401077809290400100206
ND280UPGRD,15,1.898235e-01,1.668101e-07,9.09334386129571647927605226868764
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.00448591339005684382190697334636
ND280UPGRD,52,3.245936e-02,1.291550e-06,737.76175026856435579247772693634033
ND280UPGRD,60,1.000000e-02,2.154435e-06,93.88269502826777568316174438223243
ND280UPGRD,57,6.161550e-01,1.291550e-06,11.35544132642971604241211025509983
ND280UPGRD,84,1.053610e-01,5.994843e-06,28423.22110795172193320468068122863770
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.27213128660140950554335859123967
ND280UPGRD,83,5.848035e-02,5.994843e-06,316277.74664763698820024728775024414062
ND280UPGRD,86,3.419952e-01,5.994843e-06,2361.86293055938631368917413055896759
ND280UPGRD,92,3.245936e-02,1.000000e-05,1496326.32138488674536347389221191406250
ND280UPGRD,67,6.161550e-01,2.154435e-06,31.88204452588559689729663659818470
ND280UPGRD,75,1.898235e-01,3.593814e-06,2437.39742484611588224652223289012909
ND280UPGRD,94,1.053610e-01,1.000000e-05,59650.65366673794051166623830795288086
ND280UPGRD,61,1.801648e-02,2.154435e-06,797.92448776989692760253092274069786
ND280UPGRD,65,1.898235e-01,2.154435e-06,1680.05546877343113010283559560775757
ND280UPGRD,73,5.848035e-02,3.593814e-06,134189.66631619411054998636245727539062
ND280UPGRD,71,1.801648e-02,3.593814e-06,6177.01002951894315629033371806144714
ND280UPGRD,62,3.245936e-02,2.154435e-06,5709.11809497392368939472362399101257
ND280UPGRD,80,1.000000e-02,5.994843e-06,5627.75412871069238462951034307479858
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.01224027353866101626433948723616
ND280UPGRD,91,1.801648e-02,1.000000e-05,369029.96739962935680523514747619628906
ND280UPGRD,88,1.110095e+00,5.994843e-06,20.02882706276008306645053380634636
ND280UPGRD,70,1.000000e-02,3.593814e-06,726.88720076444496953627094626426697
ND280UPGRD,54,1.053610e-01,1.291550e-06,8488.44093497920766822062432765960693
ND280UPGRD,66,3.419952e-01,2.154435e-06,303.62201988313751144232810474932194
ND280UPGRD,72,3.245936e-02,3.593814e-06,44257.05136490050790598616003990173340
ND280UPGRD,76,3.419952e-01,3.593814e-06,857.95193444733945398184005171060562
ND280UPGRD,93,5.848035e-02,1.000000e-05,367919.61351259116781875491142272949219
ND280UPGRD,53,5.848035e-02,1.291550e-06,4306.05195226893647486576810479164124
ND280UPGRD,64,1.053610e-01,2.154435e-06,19467.84931755957222776487469673156738
ND280UPGRD,63,5.848035e-02,2.154435e-06,32739.79898903108187369070947170257568
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.79297102037395617024628791114083
ND280UPGRD,77,6.161550e-01,3.593814e-06,91.89301330489651320476696128025651
ND280UPGRD,68,1.110095e+00,2.154435e-06,2.58675179443542546664502879139036
ND280UPGRD,87,6.161550e-01,5.994843e-06,255.69253646614274089188256766647100
ND280UPGRD,56,3.419952e-01,1.291550e-06,74.79430812236654446678585372865200
ND280UPGRD,74,1.053610e-01,3.593814e-06,21085.23801333244773559272289276123047
ND280UPGRD,55,1.898235e-01,1.291550e-06,1483.33811113107117307663429528474808
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.24058802876769239120768872908229
ND280UPGRD,90,1.000000e-02,1.000000e-05,43567.92358401663659606128931045532227
