Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,22,3.245936e-02,2.782559e-07,0.57945485554114328774488740236848
OGTPC1,4,1.053610e-01,1.000000e-07,0.22979661404822432357875072739262
OGTPC1,8,1.110095e+00,1.000000e-07,0.00736722266231944460795899587424
OGTPC1,9,2.000000e+00,1.000000e-07,0.00014198673810705711526708450165
OGTPC1,36,3.419952e-01,4.641589e-07,28.81141771865556933107654913328588
OGTPC1,6,3.419952e-01,1.000000e-07,0.98432715851876151358368360888562
OGTPC1,26,3.419952e-01,2.782559e-07,17.11341923040219015206275798846036
OGTPC1,17,6.161550e-01,1.668101e-07,0.66297012766242024994767234602477
OGTPC1,33,5.848035e-02,4.641589e-07,27.58539126285138465277668728958815
OGTPC1,18,1.110095e+00,1.668101e-07,0.02361866171605378830755661567764
OGTPC1,41,1.801648e-02,7.742637e-07,4.51661839414322496821796448784880
OGTPC1,13,5.848035e-02,1.668101e-07,0.46021307061082511458138810667151
OGTPC1,39,2.000000e+00,4.641589e-07,0.00627984719006934293678012792839
OGTPC1,30,1.000000e-02,4.641589e-07,0.07018988945262377709966017391707
OGTPC1,5,1.898235e-01,1.000000e-07,0.54578944434003540120414754710509
OGTPC1,1,1.801648e-02,1.000000e-07,0.00125678081222855338866528640551
OGTPC1,14,1.053610e-01,1.668101e-07,1.77965492042364270552923244395060
OGTPC1,12,3.245936e-02,1.668101e-07,0.07485767876692027422702579997349
OGTPC1,15,1.898235e-01,1.668101e-07,4.25036810744680337847967166453600
OGTPC1,21,1.801648e-02,2.782559e-07,0.07534203897500971192080498894939
OGTPC1,32,3.245936e-02,4.641589e-07,4.48646883868706325415587343741208
OGTPC1,46,3.419952e-01,7.742637e-07,37.48786143553124361460504587739706
OGTPC1,2,3.245936e-02,1.000000e-07,0.00966824915186651964726927133142
OGTPC1,40,1.000000e-02,7.742637e-07,0.54345503205262768453565058734966
OGTPC1,34,1.053610e-01,4.641589e-07,106.62040779961849068513402016833425
OGTPC1,3,5.848035e-02,1.000000e-07,0.05943944692548887992478157116238
OGTPC1,42,3.245936e-02,7.742637e-07,34.74465647539231838436535326763988
OGTPC1,16,3.419952e-01,1.668101e-07,6.14019796776498694157453428488225
OGTPC1,19,2.000000e+00,1.668101e-07,0.00086260674034682098629961410907
OGTPC1,44,1.053610e-01,7.742637e-07,771.43391442103313693223753944039345
OGTPC1,23,5.848035e-02,2.782559e-07,3.56315007192103028188512325868942
OGTPC1,11,1.801648e-02,1.668101e-07,0.00973079848260005250693005507401
OGTPC1,38,1.110095e+00,4.641589e-07,0.53914008292659354459885889809811
OGTPC1,47,6.161550e-01,7.742637e-07,11.54006339900330146974738454446197
OGTPC1,10,1.000000e-02,1.668101e-07,0.00117083856335578758399440513216
OGTPC1,43,5.848035e-02,7.742637e-07,213.62030510395956639513315167278051
OGTPC1,7,6.161550e-01,1.000000e-07,0.35645635099937139633752281042689
OGTPC1,20,1.000000e-02,2.782559e-07,0.00906538105868437936452064462856
OGTPC1,28,1.110095e+00,2.782559e-07,0.13382971602595533644475267465168
OGTPC1,0,1.000000e-02,1.000000e-07,0.00015121946926531653634072360770
OGTPC1,45,1.898235e-01,7.742637e-07,354.91415801669620577740715816617012
OGTPC1,31,1.801648e-02,4.641589e-07,0.58334514173404095060959662077948
OGTPC1,29,2.000000e+00,2.782559e-07,0.00263980329801784697335564899845
OGTPC1,35,1.898235e-01,4.641589e-07,147.73877912622111807650071568787098
OGTPC1,25,1.898235e-01,2.782559e-07,30.83264277155771893035307584796101
OGTPC1,27,6.161550e-01,2.782559e-07,0.61718880105479900777254442800768
OGTPC1,37,6.161550e-01,4.641589e-07,2.08650417137523769284257468825672
OGTPC1,24,1.053610e-01,2.782559e-07,13.75867500431486156742266757646576
OGTPC1,55,1.898235e-01,1.291550e-06,519.02946786391476052813231945037842
OGTPC1,53,5.848035e-02,1.291550e-06,1651.10120019599207807914353907108307
OGTPC1,49,2.000000e+00,7.742637e-07,0.01954097950321287760488964124761
OGTPC1,51,1.801648e-02,1.291550e-06,34.97032385616379457360380911268294
OGTPC1,48,1.110095e+00,7.742637e-07,1.69825691227952901840581034775823
OGTPC1,52,3.245936e-02,1.291550e-06,269.03505118715236221760278567671776
OGTPC2,0,1.000000e-02,1.000000e-07,0.00014197322925617141052383185507
OGTPC1,57,6.161550e-01,1.291550e-06,47.47163188725909321874496527016163
OGTPC1,50,1.000000e-02,1.291550e-06,4.20776887007292543785297311842442
OGTPC1,56,3.419952e-01,1.291550e-06,141.74083183513565131761424709111452
OGTPC1,58,1.110095e+00,1.291550e-06,4.70371328646452901978136651450768
OGTPC1,87,6.161550e-01,5.994843e-06,1113.83940934418637880298774689435959
OGTPC1,72,3.245936e-02,3.593814e-06,16104.59018861459662730339914560317993
OGTPC1,86,3.419952e-01,5.994843e-06,8117.95429005939968192251399159431458
OGTPC1,69,2.000000e+00,2.154435e-06,0.15714995275608187319527075942460
OGTPC1,75,1.898235e-01,3.593814e-06,4862.47794439638164476491510868072510
OGTPC1,66,3.419952e-01,2.154435e-06,719.75730508932508655561832711100578
OGTPC1,84,1.053610e-01,5.994843e-06,24074.83636526198097271844744682312012
OGTPC1,85,1.898235e-01,5.994843e-06,20818.28649776030215434730052947998047
OGTPC1,73,5.848035e-02,3.593814e-06,45018.22277037352614570409059524536133
OGTPC1,78,1.110095e+00,3.593814e-06,36.42630879659016329696896718814969
OGTPC1,81,1.801648e-02,5.994843e-06,16228.06820407252962468191981315612793
OGTPC1,71,1.801648e-02,3.593814e-06,2096.25999878343054660945199429988861
