Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,15,1.898235e-01,1.668101e-07,5.35016374462540866829840524587780
ND280UPGRD,33,5.848035e-02,4.641589e-07,50.91505849023609897585629369132221
ND280UPGRD,41,1.801648e-02,7.742637e-07,9.88282302549213298448194109369069
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00033114352971215130997523212741
ND280UPGRD,23,5.848035e-02,2.782559e-07,6.60630678144865690626374998828396
ND280UPGRD,46,3.419952e-01,7.742637e-07,11.04520386376591645216649340000004
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.40161294264944019660745766486798
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.00980066443409131904385134248514
ND280UPGRD,43,5.848035e-02,7.742637e-07,393.93561361019897049118299037218094
ND280UPGRD,42,3.245936e-02,7.742637e-07,71.42844201977969476047292118892074
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00000445197437305561618522747533
ND280UPGRD,35,1.898235e-01,4.641589e-07,224.24665315825893685541814193129539
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.00212597127282146240723204044798
ND280UPGRD,26,3.419952e-01,2.782559e-07,16.92038816455283267714548856019974
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.85331377524393237088418118219124
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00269528173421650909732938394825
ND280UPGRD,25,1.898235e-01,2.782559e-07,38.57544035140939797656756127253175
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00274998826347221678526033805667
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.32679974614480195027610420765996
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.35432527615811698629144643746258
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.01985154981563594725479937608270
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.88027269167801902582937145780306
ND280UPGRD,34,1.053610e-01,4.641589e-07,164.06766036579952583451813552528620
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.19006741140165828163333117117872
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.01987759095590652461127412209407
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.20243903421203479631174104724778
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.45591957172131269970805078628473
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.11021316303152091375938681494517
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.03163019042077438308657733045948
ND280UPGRD,47,6.161550e-01,7.742637e-07,1.38193109830627403056269031367265
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.18969895756891097526875000767177
ND280UPGRD,14,1.053610e-01,1.668101e-07,2.74269203770916725204642716562375
