Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,42,3.245936e-02,7.742637e-07,62.06552461988965063710566028021276
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.76488559560671109949225865420885
ND280UPGRD,24,1.053610e-01,2.782559e-07,18.47736268230758582831185776740313
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.17590310675451131805502313909528
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00238951682893599358023517531535
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.02748407086561882248232357994766
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00007515322546024261511025260640
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.28396248212311847591848845695495
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.59951892973567988409655526993447
ND280UPGRD,23,5.848035e-02,2.782559e-07,5.74034494658308958037196134682745
ND280UPGRD,36,3.419952e-01,4.641589e-07,21.65481790998228817102244647685438
ND280UPGRD,31,1.801648e-02,4.641589e-07,1.10911061752915363065596920932876
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00028773687784447741838320111718
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00002190891095474844691456776935
ND280UPGRD,33,5.848035e-02,4.641589e-07,44.24105758002947652585135074332356
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.14324761486593484693941036312026
ND280UPGRD,44,1.053610e-01,7.742637e-07,1021.46775376791606504411902278661728
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.01724938720466745109560768867141
ND280UPGRD,41,1.801648e-02,7.742637e-07,8.58737189917762400170886394334957
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00234198129067731807689822787211
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.01850115106547327303854189040067
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.00851598274475772777647453182226
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00000386840475929021815305278859
ND280UPGRD,26,3.419952e-01,2.782559e-07,14.70244539163171815232544759055600
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.30787993590495843498899830592563
ND280UPGRD,15,1.898235e-01,1.668101e-07,4.64885849701910469633503453223966
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.13355563384643720503675012878375
ND280UPGRD,34,1.053610e-01,4.641589e-07,142.56149407460688394166936632245779
ND280UPGRD,43,5.848035e-02,7.742637e-07,342.29810750183503387233940884470940
ND280UPGRD,35,1.898235e-01,4.641589e-07,194.85215943346014455528347752988338
ND280UPGRD,16,3.419952e-01,1.668101e-07,5.85437294844767652790551437647082
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.34896908395079734299670803920890
ND280UPGRD,32,3.245936e-02,4.641589e-07,8.00375188888109434515172324609011
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.13373054517063195922865759257547
