Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.96516706740428559463396140927216
ND280UPGRD,44,1.053610e-01,7.742637e-07,1329.65553639773816030356101691722870
ND280UPGRD,36,3.419952e-01,4.641589e-07,28.18830885016356546657334547489882
ND280UPGRD,16,3.419952e-01,1.668101e-07,7.62070008996999170847175264498219
ND280UPGRD,33,5.848035e-02,4.641589e-07,57.58905940044271432043387903831899
ND280UPGRD,25,1.898235e-01,2.782559e-07,43.63195077585089620697544887661934
ND280UPGRD,24,1.053610e-01,2.782559e-07,24.05218128319043202623106481041759
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.00240464588561022140147938053190
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00304858217775569968407967103019
ND280UPGRD,47,6.161550e-01,7.742637e-07,1.56307612065182599536683483165689
ND280UPGRD,14,1.053610e-01,1.668101e-07,3.10220707508455761924892613023985
ND280UPGRD,35,1.898235e-01,4.641589e-07,253.64114688305772915555280633270741
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.36963701016648542463371995836496
ND280UPGRD,43,5.848035e-02,7.742637e-07,445.57311971856285026660771109163761
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.01108534612342491031122815314802
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00009782776004700320941938340713
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.17385080175655975853743484549341
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.17407848570422851386396700945625
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.34564598308807892301786068856018
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.12466002359105810004535896950983
ND280UPGRD,15,1.898235e-01,1.668101e-07,6.05146899223171175208335625939071
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00002851906449319509549754705913
ND280UPGRD,46,3.419952e-01,7.742637e-07,12.49302112698928546308252407470718
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.18646695745379074371506078477978
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.02248316706769426867595917940434
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.00290000796739068016777407521545
ND280UPGRD,42,3.245936e-02,7.742637e-07,80.79135941966973177841282449662685
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00037455018157982514735715451337
ND280UPGRD,32,3.245936e-02,4.641589e-07,10.41856972160727146103909035446122
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.99565978774932684114418179888162
ND280UPGRD,45,1.898235e-01,7.742637e-07,657.93036352198487293208017945289612
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.22897496166955824681288333977136
ND280UPGRD,26,3.419952e-01,2.782559e-07,19.13833093747394542560869012959301
ND280UPGRD,23,5.848035e-02,2.782559e-07,7.47226861631422334397711892961524
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00004514897295091907942479400595
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.78040022424380095511509125572047
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.03577630997592994022138412901768
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.02408314687682912638710952535348
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.40077061641127553759389456899953
ND280UPGRD,41,1.801648e-02,7.742637e-07,11.17827415180664196725501824403182
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.34606273424755129575203227432212
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00000503554398682101421740216207
ND280UPGRD,31,1.801648e-02,4.641589e-07,1.44374119264681421981322273495607
ND280UPGRD,34,1.053610e-01,4.641589e-07,185.57382665699213930565747432410717
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00311045969800843955660463180379
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.02245371242660443994454411154038
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.45425680134808299470705605926923
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.51568200206856584788539521468920
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.00083947710799821056645853012412
ND280UPGRD,78,1.110095e+00,3.593814e-06,1.63906790688200487693393370136619
ND280UPGRD,50,1.000000e-02,1.291550e-06,10.42204732611265960429136612219736
ND280UPGRD,62,3.245936e-02,2.154435e-06,4820.44364878822852915618568658828735
ND280UPGRD,61,1.801648e-02,2.154435e-06,670.06562959866982964740600436925888
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.00027429922661893047343764640011
ND280UPGRD,52,3.245936e-02,1.291550e-06,624.40199630218489801336545497179031
ND280UPGRD,51,1.801648e-02,1.291550e-06,86.54751642008990586418804014101624
ND280UPGRD,53,5.848035e-02,1.291550e-06,3431.84080401658047776436433196067810
ND280UPGRD,74,1.053610e-01,3.593814e-06,12385.80927972253994084894657135009766
ND280UPGRD,64,1.053610e-01,2.154435e-06,14994.07853028509634896181523799896240
ND280UPGRD,80,1.000000e-02,5.994843e-06,4837.12627135896127583691850304603577
ND280UPGRD,82,3.245936e-02,5.994843e-06,279054.98206419323105365037918090820312
ND280UPGRD,70,1.000000e-02,3.593814e-06,624.77000417757017203257419168949127
ND280UPGRD,57,6.161550e-01,1.291550e-06,4.37739965255523966192185980617069
ND280UPGRD,63,5.848035e-02,2.154435e-06,26295.03909466212280676700174808502197
ND280UPGRD,79,2.000000e+00,3.593814e-06,0.00742526372070079904164074946493
ND280UPGRD,85,1.898235e-01,5.994843e-06,4815.58432708612508577061817049980164
ND280UPGRD,75,1.898235e-01,3.593814e-06,1577.34953450576153954898472875356674
ND280UPGRD,87,6.161550e-01,5.994843e-06,94.11914259385703473981266142800450
ND280UPGRD,76,3.419952e-01,3.593814e-06,328.22560793187057015529717318713665
ND280UPGRD,84,1.053610e-01,5.994843e-06,16332.68928159776442043948918581008911
ND280UPGRD,86,3.419952e-01,5.994843e-06,885.37258952851152571383863687515259
ND280UPGRD,54,1.053610e-01,1.291550e-06,6614.89583925873012049123644828796387
ND280UPGRD,91,1.801648e-02,1.000000e-05,312823.92651256854878738522529602050781
ND280UPGRD,65,1.898235e-01,2.154435e-06,593.07480482364815088658360764384270
ND280UPGRD,67,6.161550e-01,2.154435e-06,11.90250527605393848773474019253626
ND280UPGRD,56,3.419952e-01,1.291550e-06,30.57229160552239122239370772149414
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.20530384086801442555803021150496
ND280UPGRD,55,1.898235e-01,1.291550e-06,635.31613155962190830905456095933914
ND280UPGRD,68,1.110095e+00,2.154435e-06,0.68892542997505556989779051946243
ND280UPGRD,77,6.161550e-01,3.593814e-06,33.82525241311557095968964858911932
ND280UPGRD,93,5.848035e-02,1.000000e-05,239598.77528262234409339725971221923828
ND280UPGRD,81,1.801648e-02,5.994843e-06,40143.81293232506141066551208496093750
ND280UPGRD,60,1.000000e-02,2.154435e-06,80.69360562149763893557974370196462
ND280UPGRD,90,1.000000e-02,1.000000e-05,37446.95912996702827513217926025390625
ND280UPGRD,73,5.848035e-02,3.593814e-06,106589.63435368897626176476478576660156
ND280UPGRD,71,1.801648e-02,3.593814e-06,5187.20338281077692954568192362785339
ND280UPGRD,88,1.110095e+00,5.994843e-06,5.33406229065551151791169104399160
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.09131384273130513373750716255017
ND280UPGRD,92,3.245936e-02,1.000000e-05,1242322.84410691983066499233245849609375
ND280UPGRD,94,1.053610e-01,1.000000e-05,45420.07433962400682503357529640197754
ND280UPGRD,83,5.848035e-02,5.994843e-06,242184.95354572249925695359706878662109
ND280UPGRD,69,2.000000e+00,2.154435e-06,0.00266849539579385548401790906325
ND280UPGRD,72,3.245936e-02,3.593814e-06,37277.86046287674253107979893684387207
ND280UPGRD,66,3.419952e-01,2.154435e-06,101.33694527240609772889001760631800
ND280UPGRD,95,1.898235e-01,1.000000e-05,13705.39302836283968645147979259490967
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.02076796776078569661816430880208
ND280UPGRD,96,3.419952e-01,1.000000e-05,2610.03176678663476195652037858963013
TPC2,4,1.053610e-01,1.000000e-07,0.40344174473918031909036585602735
TPC2,0,1.000000e-02,1.000000e-07,0.00039365356562772406802744318277
TPC2,6,3.419952e-01,1.000000e-07,1.03086452663405214735803383518942
TPC2,3,5.848035e-02,1.000000e-07,0.12757371339451178959834010129271
ND280UPGRD,97,6.161550e-01,1.000000e-05,263.12236836084241531352745369076729
ND280UPGRD,98,1.110095e+00,1.000000e-05,15.08217125503247402207307459320873
TPC2,2,3.245936e-02,1.000000e-07,0.02403146998624385716203377683087
TPC2,1,1.801648e-02,1.000000e-07,0.00325647225200098545602744870564
TPC2,5,1.898235e-01,1.000000e-07,0.74887065126869101217010893378756
TPC2,17,6.161550e-01,1.668101e-07,0.49078486299787432711738688340120
TPC2,8,1.110095e+00,1.000000e-07,0.00283526696844132834740559445663
TPC2,9,2.000000e+00,1.000000e-07,0.00000002891207026934902952163936
TPC2,7,6.161550e-01,1.000000e-07,0.36208229421632298627997670337209
ND280UPGRD,99,2.000000e+00,1.000000e-05,0.05778939719351614684450524350723
TPC2,11,1.801648e-02,1.668101e-07,0.02521372651331020911524838368223
TPC2,10,1.000000e-02,1.668101e-07,0.00304791840170924588360179541269
TPC2,18,1.110095e+00,1.668101e-07,0.00205746369500342876635023969811
TPC2,27,6.161550e-01,2.782559e-07,0.31910814993244723813958785285649
TPC2,15,1.898235e-01,1.668101e-07,5.80234553339747005651361178024672
TPC2,19,2.000000e+00,1.668101e-07,0.00000547186279403282040980065898
TPC2,12,3.245936e-02,1.668101e-07,0.18606628946192532714221101741714
TPC2,21,1.801648e-02,2.782559e-07,0.19522008736886192759030222987349
TPC2,23,5.848035e-02,2.782559e-07,7.64691210250664710201817797496915
TPC2,20,1.000000e-02,2.782559e-07,0.02359893630870985720138222063724
TPC2,34,1.053610e-01,4.641589e-07,190.78236921584775132032518740743399
TPC2,16,3.419952e-01,1.668101e-07,8.69865026069208013836941972840577
TPC2,31,1.801648e-02,4.641589e-07,1.51151376292045980243017311295262
TPC2,13,5.848035e-02,1.668101e-07,0.98772531065087920687517453188775
TPC2,14,1.053610e-01,1.668101e-07,3.12285812843861876331175153609365
TPC2,26,3.419952e-01,2.782559e-07,20.78901239137633538689442502800375
TPC2,38,1.110095e+00,4.641589e-07,0.02314739402771896076282942544822
TPC2,22,3.245936e-02,2.782559e-07,1.43993739043910395913883348839590
TPC2,40,1.000000e-02,7.742637e-07,1.41471655625632863895191349001834
TPC2,32,3.245936e-02,4.641589e-07,11.14861702691326605929589277366176
TPC2,25,1.898235e-01,2.782559e-07,43.06742732291262143462517997249961
TPC2,36,3.419952e-01,4.641589e-07,31.31707862329531621981004718691111
TPC2,30,1.000000e-02,4.641589e-07,0.18271783051514250972857666965865
TPC2,28,1.110095e+00,2.782559e-07,0.00768237411181421029487959017956
TPC2,24,1.053610e-01,2.782559e-07,24.31337082639312541232357034459710
TPC2,41,1.801648e-02,7.742637e-07,11.70303315603829297231186501448974
TPC2,33,5.848035e-02,4.641589e-07,59.10676214949074136484341579489410
TPC2,35,1.898235e-01,4.641589e-07,275.26441353734628592064836993813515
TPC2,42,3.245936e-02,7.742637e-07,86.35506669056930206807010108605027
TPC2,29,2.000000e+00,2.782559e-07,0.00003435872419201416904299337118
TPC2,37,6.161550e-01,4.641589e-07,0.31662404368482310879073793330463
TPC2,39,2.000000e+00,4.641589e-07,0.00008153041742321121758234336863
TPC2,43,5.848035e-02,7.742637e-07,457.43745871609911546329385600984097
TPC2,44,1.053610e-01,7.742637e-07,1469.79960880195517347601708024740219
TPC2,55,1.898235e-01,1.291550e-06,608.24262282149891234439564868807793
TPC2,49,2.000000e+00,7.742637e-07,0.00001037513385058056883468013271
TPC2,51,1.801648e-02,1.291550e-06,90.61003081634871136884612496942282
TPC2,46,3.419952e-01,7.742637e-07,21.17359441970391387144445616286248
TPC2,54,1.053610e-01,1.291550e-06,6737.43432287525683932472020387649536
TPC2,59,2.000000e+00,1.291550e-06,0.00204264591402611222700769211258
TPC2,45,1.898235e-01,7.742637e-07,698.46510634114099502767203375697136
TPC2,57,6.161550e-01,1.291550e-06,4.57007172235732017639975310885347
TPC2,50,1.000000e-02,1.291550e-06,10.95360949898896585352758847875521
TPC2,56,3.419952e-01,1.291550e-06,32.14842713890744363425255869515240
TPC2,47,6.161550e-01,7.742637e-07,1.46420199244313908870651630422799
TPC2,52,3.245936e-02,1.291550e-06,668.15581348564671770873246714472771
TPC2,53,5.848035e-02,1.291550e-06,3533.58045818583968866732902824878693
TPC2,60,1.000000e-02,2.154435e-06,84.80920358696576499824004713445902
TPC2,58,1.110095e+00,1.291550e-06,0.16203948103660495427824628222879
TPC2,61,1.801648e-02,2.154435e-06,701.51808815970127852779114618897438
TPC2,48,1.110095e+00,7.742637e-07,0.05282949083294647546482636357723
TPC2,62,3.245936e-02,2.154435e-06,5159.59284076063886459451168775558472
TPC2,65,1.898235e-01,2.154435e-06,612.57245440871429309481754899024963
TPC2,63,5.848035e-02,2.154435e-06,26433.02504296946426620706915855407715
TPC2,71,1.801648e-02,3.593814e-06,5430.67387471110396290896460413932800
TPC2,64,1.053610e-01,2.154435e-06,14900.22060854511073557659983634948730
TPC2,69,2.000000e+00,2.154435e-06,0.00002544282973007205180785046672
TPC2,78,1.110095e+00,3.593814e-06,1.25458605115201149438064476271393
TPC2,66,3.419952e-01,2.154435e-06,99.68239663057985922023362945765257
TPC2,70,1.000000e-02,3.593814e-06,656.63495649295077782880980521440506
TPC2,79,2.000000e+00,3.593814e-06,0.00007444080460263417873666841329
TPC2,68,1.110095e+00,2.154435e-06,0.53907517755453759900063914756174
TPC2,72,3.245936e-02,3.593814e-06,39702.26571480433631222695112228393555
TPC2,77,6.161550e-01,3.593814e-06,35.64740864027042732686823001131415
TPC2,82,3.245936e-02,5.994843e-06,300914.65460825216723605990409851074219
TPC2,73,5.848035e-02,3.593814e-06,106216.77802368973789270967245101928711
TPC2,75,1.898235e-01,3.593814e-06,1646.67476894010360410902649164199829
TPC2,67,6.161550e-01,2.154435e-06,12.76013193897443365187882591271773
TPC2,76,3.419952e-01,3.593814e-06,302.93667367276680124632548540830612
TPC2,84,1.053610e-01,5.994843e-06,14995.31276557228738965932279825210571
TPC2,74,1.053610e-01,3.593814e-06,12165.46031822720033233053982257843018
TPC2,81,1.801648e-02,5.994843e-06,42027.52071867495396872982382774353027
TPC2,86,3.419952e-01,5.994843e-06,845.65634651511709307669661939144135
TPC2,88,1.110095e+00,5.994843e-06,4.17383061244934339129031286574900
TPC2,85,1.898235e-01,5.994843e-06,5187.36334989079114166088402271270752
TPC2,83,5.848035e-02,5.994843e-06,234171.50947891973191872239112854003906
TPC2,80,1.000000e-02,5.994843e-06,5083.82889767266260605538263916969299
TPC2,87,6.161550e-01,5.994843e-06,99.18883659902203930869291070848703
TPC2,90,1.000000e-02,1.000000e-05,39356.75343257789791096001863479614258
TPC2,89,2.000000e+00,5.994843e-06,0.02439650966120215924703984455846
TPC2,91,1.801648e-02,1.000000e-05,326816.55278436042135581374168395996094
TPC2,92,3.245936e-02,1.000000e-05,1264801.37896655010990798473358154296875
TPC3,0,1.000000e-02,1.000000e-07,0.00098083953005729954469082976232
TPC2,99,2.000000e+00,1.000000e-05,0.06736460066680192981802832719040
TPC2,93,5.848035e-02,1.000000e-05,249292.45847214132663793861865997314453
TPC2,94,1.053610e-01,1.000000e-05,43066.70743175825919024646282196044922
TPC2,95,1.898235e-01,1.000000e-05,14850.95194995928250136785209178924561
TPC3,1,1.801648e-02,1.000000e-07,0.00808621790158418722593847149938
TPC2,97,6.161550e-01,1.000000e-05,288.34251652596668691330705769360065
TPC3,3,5.848035e-02,1.000000e-07,0.32642943411294939037858853225771
TPC2,96,3.419952e-01,1.000000e-05,2353.29634377217053042841143906116486
TPC3,6,3.419952e-01,1.000000e-07,3.01184363648813624436684222018812
TPC3,12,3.245936e-02,1.668101e-07,0.46371579528638950939978258247720
TPC3,2,3.245936e-02,1.000000e-07,0.05989124206500040514811189495958
TPC3,5,1.898235e-01,1.000000e-07,2.05712004736460052356505912030116
TPC3,7,6.161550e-01,1.000000e-07,0.95299865199873301513378009985900
TPC3,4,1.053610e-01,1.000000e-07,1.04174630532386891523799476999557
TPC2,98,1.110095e+00,1.000000e-05,8.48811422665521142505440366221592
TPC3,8,1.110095e+00,1.000000e-07,0.00776839063396024976509979254047
TPC3,13,5.848035e-02,1.668101e-07,2.52739819317258573860840442648623
TPC3,11,1.801648e-02,1.668101e-07,0.06260864899090819168936405958448
TPC3,10,1.000000e-02,1.668101e-07,0.00759428881447525745695958931947
TPC3,17,6.161550e-01,1.668101e-07,1.57839587439982098615587347012479
TPC3,15,1.898235e-01,1.668101e-07,15.81060186754397278718897723592818
TPC3,14,1.053610e-01,1.668101e-07,8.06514289591453525929409806849435
TPC3,21,1.801648e-02,2.782559e-07,0.48475609702591304639440750179347
TPC3,18,1.110095e+00,1.668101e-07,0.02100447828093872371102435181456
TPC3,20,1.000000e-02,2.782559e-07,0.05879984780472914673854489819860
TPC3,16,3.419952e-01,1.668101e-07,20.20318464506872402353110373951495
TPC3,22,3.245936e-02,2.782559e-07,3.59035250597310229281333704420831
TPC3,23,5.848035e-02,2.782559e-07,19.56810797013766745067187002860010
TPC3,24,1.053610e-01,2.782559e-07,62.58711894010313159242286928929389
TPC3,36,3.419952e-01,4.641589e-07,93.19204997784655120085517410188913
TPC3,32,3.245936e-02,4.641589e-07,27.79855449216255536271091841626912
TPC3,33,5.848035e-02,4.641589e-07,151.54378542538771057479607407003641
TPC3,31,1.801648e-02,4.641589e-07,3.75328441221595676680067299457733
TPC3,25,1.898235e-01,2.782559e-07,120.08819411483567307641351362690330
TPC3,29,2.000000e+00,2.782559e-07,0.00094261534379810006916561304635
TPC3,26,3.419952e-01,2.782559e-07,59.89732767334197660602512769401073
TPC3,19,2.000000e+00,1.668101e-07,0.00024343750174266607158579667214
TPC3,27,6.161550e-01,2.782559e-07,0.91376311615748040395601492491551
TPC3,28,1.110095e+00,2.782559e-07,0.10680805648815003272567025760509
TPC3,30,1.000000e-02,4.641589e-07,0.45526543923235157640405645906867
TPC3,34,1.053610e-01,4.641589e-07,487.48064194641818858144688419997692
TPC3,35,1.898235e-01,4.641589e-07,679.12428967799394285975722596049309
TPC3,9,2.000000e+00,1.000000e-07,0.00006089821231508105582423684421
TPC3,39,2.000000e+00,4.641589e-07,0.00158362598243312613366384766778
TPC3,37,6.161550e-01,4.641589e-07,2.31723831363676247008243080927059
TPC3,38,1.110095e+00,4.641589e-07,0.40959949726370709077727383373713
TPC3,54,1.053610e-01,1.291550e-06,17038.98027439982979558408260345458984
TPC3,41,1.801648e-02,7.742637e-07,29.06024229958220672642710269428790
TPC3,44,1.053610e-01,7.742637e-07,3604.50305203218431415734812617301941
TPC3,55,1.898235e-01,1.291550e-06,1835.09252342501372368133161216974258
TPC3,43,5.848035e-02,7.742637e-07,1172.61848118992679701477754861116409
TPC3,52,3.245936e-02,1.291550e-06,1666.32592219179673520557116717100143
TPC3,53,5.848035e-02,1.291550e-06,9062.39812369341416342649608850479126
TPC3,46,3.419952e-01,7.742637e-07,74.02185430307460478616121690720320
TPC3,45,1.898235e-01,7.742637e-07,1731.16765202729129669023677706718445
TPC3,42,3.245936e-02,7.742637e-07,215.23051427569589577615261077880859
TPC3,47,6.161550e-01,7.742637e-07,12.50361623864482218948523950530216
