Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,15,1.898235e-01,1.668101e-07,3.10220212572059184097383877087850
OGTPC1,42,3.245936e-02,7.742637e-07,29.01215257086163390454203181434423
OGTPC1,17,6.161550e-01,1.668101e-07,0.19802873632488135480222979367682
OGTPC1,16,3.419952e-01,1.668101e-07,2.96494365946415205925745794957038
OGTPC1,9,2.000000e+00,1.000000e-07,0.00001276225092384890291707932874
OGTPC1,3,5.848035e-02,1.000000e-07,0.04961717345908522175390586994581
OGTPC1,36,3.419952e-01,4.641589e-07,11.13144393655515784757881192490458
OGTPC1,41,1.801648e-02,7.742637e-07,3.79445526651965714393099915469065
OGTPC1,38,1.110095e+00,4.641589e-07,0.13854417383423395238040143340186
OGTPC1,30,1.000000e-02,4.641589e-07,0.05984373276211289033321705232993
OGTPC1,28,1.110095e+00,2.782559e-07,0.03594754566997875738776357934512
OGTPC1,10,1.000000e-02,1.668101e-07,0.00099825408827142842957402812942
OGTPC1,32,3.245936e-02,4.641589e-07,3.74859528873482927835425471130293
OGTPC1,11,1.801648e-02,1.668101e-07,0.00817494060239643861864866636324
OGTPC1,22,3.245936e-02,2.782559e-07,0.48415404350216822981778364010097
OGTPC1,47,6.161550e-01,7.742637e-07,4.55408780296068904647199815372005
OGTPC1,13,5.848035e-02,1.668101e-07,0.38403550340886233316339826160402
OGTPC1,25,1.898235e-01,2.782559e-07,22.53716240388164493424483225680888
OGTPC1,14,1.053610e-01,1.668101e-07,1.42381766787687391584427132329438
OGTPC1,5,1.898235e-01,1.000000e-07,0.40248179185357219056484723296307
OGTPC1,44,1.053610e-01,7.742637e-07,631.26028792798626909643644466996193
OGTPC1,33,5.848035e-02,4.641589e-07,23.01966790671440676874226483050734
OGTPC1,19,2.000000e+00,1.668101e-07,0.00007454221011390285819755291419
OGTPC1,23,5.848035e-02,2.782559e-07,2.97369019060452677294392742624041
OGTPC1,1,1.801648e-02,1.000000e-07,0.00105591212392914840685620436744
OGTPC1,29,2.000000e+00,2.782559e-07,0.00029692818436649831906337659859
OGTPC1,12,3.245936e-02,1.668101e-07,0.06250698177308780523198095124826
OGTPC1,4,1.053610e-01,1.000000e-07,0.18391014015443787887882365339465
OGTPC1,39,2.000000e+00,4.641589e-07,0.00068007173594880902973980330017
OGTPC1,48,1.110095e+00,7.742637e-07,0.41433804931261558612831663594989
OGTPC1,53,5.848035e-02,1.291550e-06,1381.73895797129057427810039371252060
OGTPC1,35,1.898235e-01,4.641589e-07,99.83534873727664660236769123002887
OGTPC1,26,3.419952e-01,2.782559e-07,7.22283401906226263378130170167424
OGTPC1,37,6.161550e-01,4.641589e-07,0.85531604222321966357611700004782
OGTPC1,0,1.000000e-02,1.000000e-07,0.00012892937514410898573735675399
OGTPC1,43,5.848035e-02,7.742637e-07,178.19158913633333440884598530828953
OGTPC1,40,1.000000e-02,7.742637e-07,0.46334841035954793531104201065318
OGTPC1,2,3.245936e-02,1.000000e-07,0.00807309305660749466915238059528
OGTPC1,31,1.801648e-02,4.641589e-07,0.49011025158357612863113672574400
OGTPC1,18,1.110095e+00,1.668101e-07,0.00662873879480691246407486616476
OGTPC1,46,3.419952e-01,7.742637e-07,16.98985134430290244722527859266847
OGTPC1,8,1.110095e+00,1.000000e-07,0.00143408952063330333293045271148
OGTPC1,7,6.161550e-01,1.000000e-07,0.13774066608997498351030230878678
OGTPC1,20,1.000000e-02,2.782559e-07,0.00772912259644529912872012999969
OGTPC1,49,2.000000e+00,7.742637e-07,0.00174543779697836965759949467980
OGTPC1,21,1.801648e-02,2.782559e-07,0.06330027093534332238711215268268
OGTPC1,6,3.419952e-01,1.000000e-07,0.47705065923949258044345356211124
OGTPC1,24,1.053610e-01,2.782559e-07,11.00884789257547780039203644264489
OGTPC1,34,1.053610e-01,4.641589e-07,84.92193966317957176670461194589734
OGTPC1,54,1.053610e-01,1.291550e-06,2305.17333462714168490492738783359528
OGTPC1,45,1.898235e-01,7.742637e-07,202.85884149391833375375426840037107
OGTPC1,27,6.161550e-01,2.782559e-07,0.19988707802729582807543806666217
OGTPC1,50,1.000000e-02,1.291550e-06,3.58753367989146543237666264758445
OGTPC1,51,1.801648e-02,1.291550e-06,29.38107470197726200922261341474950
OGTPC1,58,1.110095e+00,1.291550e-06,1.22842164245951979140158982772846
OGTPC1,52,3.245936e-02,1.291550e-06,224.70103827504709670392912812530994
OGTPC1,56,3.419952e-01,1.291550e-06,75.87724173117540260591340484097600
OGTPC1,91,1.801648e-02,1.000000e-05,105444.01564000388316344469785690307617
OGTPC1,57,6.161550e-01,1.291550e-06,16.23528348490003025972328032366931
OGTPC1,60,1.000000e-02,2.154435e-06,27.77690052859395919426788168493658
OGTPC2,2,3.245936e-02,1.000000e-07,0.00804891273941397630831140475038
OGTPC1,66,3.419952e-01,2.154435e-06,349.25511033844634312117705121636391
OGTPC1,77,6.161550e-01,3.593814e-06,134.99109575663555915525648742914200
OGTPC1,65,1.898235e-01,2.154435e-06,684.63884026817243011464597657322884
OGTPC1,62,3.245936e-02,2.154435e-06,1739.89120843245063952053897082805634
OGTPC1,61,1.801648e-02,2.154435e-06,227.48228273808271637790312524884939
OGTPC2,5,1.898235e-01,1.000000e-07,0.39878841974576073603486747742863
OGTPC1,63,5.848035e-02,2.154435e-06,10200.22261512903241964522749185562134
OGTPC1,72,3.245936e-02,3.593814e-06,13474.71694108565498027019202709197998
OGTPC1,71,1.801648e-02,3.593814e-06,1761.21120898889921591035090386867523
OGTPC1,70,1.000000e-02,3.593814e-06,215.06512848083275457611307501792908
OGTPC1,69,2.000000e+00,2.154435e-06,0.01273650658873903135370753147981
OGTPC1,64,1.053610e-01,2.154435e-06,4989.58490077488113456638529896736145
OGTPC1,55,1.898235e-01,1.291550e-06,252.04283851873617550154449418187141
OGTPC2,3,5.848035e-02,1.000000e-07,0.04962714993661857670881332182944
OGTPC2,10,1.000000e-02,1.668101e-07,0.00099852173261034352785836532007
OGTPC1,82,3.245936e-02,5.994843e-06,100322.26086974731879308819770812988281
OGTPC1,67,6.161550e-01,2.154435e-06,47.83054494246327692508202744647861
OGTPC1,97,6.161550e-01,1.000000e-05,1043.57414960266601156035903841257095
OGTPC1,90,1.000000e-02,1.000000e-05,12892.00274320984499354381114244461060
OGTPC1,87,6.161550e-01,5.994843e-06,374.21496451834462959595839492976665
OGTPC1,92,3.245936e-02,1.000000e-05,411925.58325822552433237433433532714844
OGTPC1,74,1.053610e-01,3.593814e-06,5157.92185553888884896878153085708618
OGTPC1,88,1.110095e+00,5.994843e-06,25.14601580753603116136218886822462
OGTPC2,0,1.000000e-02,1.000000e-07,0.00012896395024965788284748713366
OGTPC1,95,1.898235e-01,1.000000e-05,47673.75122536475828383117914199829102
OGTPC1,79,2.000000e+00,3.593814e-06,0.04009480935806115919906034150699
OGTPC1,83,5.848035e-02,5.994843e-06,81388.23474999688914977014064788818359
OGTPC1,98,1.110095e+00,1.000000e-05,67.73728481006655499641055939719081
OGTPC1,73,5.848035e-02,3.593814e-06,36162.48769056155288126319646835327148
OGTPC1,76,3.419952e-01,3.593814e-06,1247.79166625995821959804743528366089
OGTPC1,86,3.419952e-01,5.994843e-06,3671.58075233212548482697457075119019
OGTPC1,89,2.000000e+00,5.994843e-06,0.08526181461239841496979607882167
OGTPC1,93,5.848035e-02,1.000000e-05,93081.32739996766031254082918167114258
OGTPC1,96,3.419952e-01,1.000000e-05,10239.68226793279245612211525440216064
OGTPC1,84,1.053610e-01,5.994843e-06,17456.43209637657491839490830898284912
OGTPC1,75,1.898235e-01,3.593814e-06,3586.98559159529395401477813720703125
OGTPC1,68,1.110095e+00,2.154435e-06,3.24447009005676489934444362006616
OGTPC1,59,2.000000e+00,1.291550e-06,0.00442960558480073526843590059343
OGTPC1,99,2.000000e+00,1.000000e-05,0.23558531074688801587591058250837
OGTPC1,78,1.110095e+00,3.593814e-06,9.46421541175014091606954025337473
OGTPC2,9,2.000000e+00,1.000000e-07,0.00001902898205126643299718580682
OGTPC2,6,3.419952e-01,1.000000e-07,0.47972702786015275489006626230548
OGTPC2,1,1.801648e-02,1.000000e-07,0.00105507814293714246613176133138
OGTPC1,80,1.000000e-02,5.994843e-06,1665.14304501933020219439640641212463
OGTPC2,15,1.898235e-01,1.668101e-07,3.06684102399644098468911579402629
OGTPC1,85,1.898235e-01,5.994843e-06,14914.61670693653286434710025787353516
OGTPC1,94,1.053610e-01,1.000000e-05,92796.03392520814668387174606323242188
OGTPC2,7,6.161550e-01,1.000000e-07,0.13726244411488375263274974713568
OGTPC2,4,1.053610e-01,1.000000e-07,0.18310189868205048457916461757122
OGTPC2,12,3.245936e-02,1.668101e-07,0.06231973671472991471720348499730
OGTPC1,81,1.801648e-02,5.994843e-06,13634.20180922660256328526884317398071
OGTPC2,16,3.419952e-01,1.668101e-07,2.95588463793732714179895992856473
OGTPC2,13,5.848035e-02,1.668101e-07,0.38411255875157912509365587538923
OGTPC2,8,1.110095e+00,1.000000e-07,0.00153489221830860984516209377659
OGTPC2,11,1.801648e-02,1.668101e-07,0.00816848344881485229074247200742
OGTPC2,14,1.053610e-01,1.668101e-07,1.41755882997898008390791346755577
OGTPC2,37,6.161550e-01,4.641589e-07,0.91338341847533732753561253048247
OGTPC2,34,1.053610e-01,4.641589e-07,84.47811078843464827059506205841899
OGTPC2,22,3.245936e-02,2.782559e-07,0.48270446929234633870464676874690
OGTPC2,53,5.848035e-02,1.291550e-06,1381.56679388399697927525267004966736
OGTPC2,39,2.000000e+00,4.641589e-07,0.00085593432052303609902654812913
