Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,28,1.110095e+00,2.782559e-07,0.03123550252134640534129594868773
OGTPC1,33,5.848035e-02,4.641589e-07,20.00222495137481715232752321753651
OGTPC1,0,1.000000e-02,1.000000e-07,0.00011202917326711091239570955436
OGTPC1,45,1.898235e-01,7.742637e-07,176.26788524403986002653255127370358
OGTPC1,42,3.245936e-02,7.742637e-07,25.20920824738382393093161226715893
OGTPC1,46,3.419952e-01,7.742637e-07,14.76280326268481957185940700583160
OGTPC1,23,5.848035e-02,2.782559e-07,2.58389566561987926718302333028987
OGTPC1,34,1.053610e-01,4.641589e-07,73.79028000462766101463785162195563
OGTPC1,35,1.898235e-01,4.641589e-07,86.74882329468768205060769105330110
OGTPC1,3,5.848035e-02,1.000000e-07,0.04311330072188080536621512806050
OGTPC1,21,1.801648e-02,2.782559e-07,0.05500280298841318804559108457397
OGTPC1,12,3.245936e-02,1.668101e-07,0.05431349902715602862013355434101
OGTPC1,38,1.110095e+00,4.641589e-07,0.12038365375055734562970144452265
OGTPC1,11,1.801648e-02,1.668101e-07,0.00710336055046068958612748289738
OGTPC1,39,2.000000e+00,4.641589e-07,0.00059092719758795163136066985743
OGTPC1,32,3.245936e-02,4.641589e-07,3.25722536575202070707746315747499
OGTPC1,19,2.000000e+00,1.668101e-07,0.00006477113662599938025046103496
OGTPC1,16,3.419952e-01,1.668101e-07,2.57629563923709437034403890720569
OGTPC1,44,1.053610e-01,7.742637e-07,548.51400694283131542761111631989479
OGTPC1,20,1.000000e-02,2.782559e-07,0.00671598085069503684951808253345
OGTPC1,4,1.053610e-01,1.000000e-07,0.15980300016122100936755145994539
OGTPC1,9,2.000000e+00,1.000000e-07,0.00001108936127572276251888362675
OGTPC1,18,1.110095e+00,1.668101e-07,0.00575983654737952013163981845878
OGTPC1,29,2.000000e+00,2.782559e-07,0.00025800651695629517714050682464
OGTPC1,36,3.419952e-01,4.641589e-07,9.67232223135806279401549545582384
OGTPC1,43,5.848035e-02,7.742637e-07,154.83404299278694793429167475551367
OGTPC1,8,1.110095e+00,1.000000e-07,0.00124610751590164062219123763953
OGTPC1,1,1.801648e-02,1.000000e-07,0.00091750202119789516300163434437
OGTPC1,17,6.161550e-01,1.668101e-07,0.17207091548229555555415970502509
OGTPC1,2,3.245936e-02,1.000000e-07,0.00701486329107921507269862715361
OGTPC1,24,1.053610e-01,2.782559e-07,9.56579620935950281079840351594612
OGTPC1,15,1.898235e-01,1.668101e-07,2.69556211734910888822014385368675
OGTPC1,37,6.161550e-01,4.641589e-07,0.74320029074260840484811296846601
OGTPC1,47,6.161550e-01,7.742637e-07,3.95713305041043650334131598356180
OGTPC1,7,6.161550e-01,1.000000e-07,0.11968547067007286044404423819287
OGTPC1,27,6.161550e-01,2.782559e-07,0.17368566374533947471725525701913
OGTPC1,41,1.801648e-02,7.742637e-07,3.29707396807045904907340627687518
OGTPC1,25,1.898235e-01,2.782559e-07,19.58296679148094199263141490519047
OGTPC1,5,1.898235e-01,1.000000e-07,0.34972404346195529178942251746776
OGTPC1,26,3.419952e-01,2.782559e-07,6.27605712737437126946815624251030
OGTPC1,13,5.848035e-02,1.668101e-07,0.33369571444851148234178594975674
OGTPC1,14,1.053610e-01,1.668101e-07,1.23718210870922962207885120733408
OGTPC1,10,1.000000e-02,1.668101e-07,0.00086740186318720060264231275227
OGTPC1,31,1.801648e-02,4.641589e-07,0.42586606995708031764280576680903
OGTPC1,30,1.000000e-02,4.641589e-07,0.05199935157572782573609515566204
OGTPC1,40,1.000000e-02,7.742637e-07,0.40261219981241802567950571756228
OGTPC1,22,3.245936e-02,2.782559e-07,0.42069060807012725877740422220086
OGTPC1,6,3.419952e-01,1.000000e-07,0.41451834309593749150479879972409
OGTPC1,50,1.000000e-02,1.291550e-06,3.11727588671650313045802249689586
OGTPC1,57,6.161550e-01,1.291550e-06,14.10714497404151224202450976008549
OGTPC1,81,1.801648e-02,5.994843e-06,11847.01589639554731547832489013671875
OGTPC1,67,6.161550e-01,2.154435e-06,41.56086540270795381957213976420462
OGTPC1,58,1.110095e+00,1.291550e-06,1.06739880554252875022314128727885
OGTPC1,69,2.000000e+00,2.154435e-06,0.01106699153589080740489603016385
OGTPC1,71,1.801648e-02,3.593814e-06,1530.34973970251644459494855254888535
OGTPC1,85,1.898235e-01,5.994843e-06,12959.59262508133906521834433078765869
OGTPC1,77,6.161550e-01,3.593814e-06,117.29631698853603438692516647279263
OGTPC1,52,3.245936e-02,1.291550e-06,195.24698325791254660543927457183599
OGTPC1,59,2.000000e+00,1.291550e-06,0.00384896809598226068843684899434
OGTPC1,72,3.245936e-02,3.593814e-06,11708.43647718658939993474632501602173
OGTPC1,54,1.053610e-01,1.291550e-06,2003.00872184493528038728982210159302
OGTPC1,65,1.898235e-01,2.154435e-06,594.89564093572278125066077336668968
OGTPC1,51,1.801648e-02,1.291550e-06,25.52977166671808006981336802709848
OGTPC1,56,3.419952e-01,1.291550e-06,65.93117085560241719122132053598762
OGTPC1,53,5.848035e-02,1.291550e-06,1200.61912158856739551993086934089661
OGTPC1,74,1.053610e-01,3.593814e-06,4481.81588258311603567562997341156006
OGTPC1,62,3.245936e-02,2.154435e-06,1511.82438786765646909771021455526352
OGTPC1,55,1.898235e-01,1.291550e-06,219.00479076695589242262940388172865
OGTPC1,92,3.245936e-02,1.000000e-05,357929.93247978243744000792503356933594
OGTPC1,61,1.801648e-02,2.154435e-06,197.66365918998269535222789272665977
OGTPC1,80,1.000000e-02,5.994843e-06,1446.87429452355308967526070773601532
OGTPC1,64,1.053610e-01,2.154435e-06,4335.54471783547069207997992634773254
OGTPC1,88,1.110095e+00,5.994843e-06,21.84984887060225489108233887236565
OGTPC1,79,2.000000e+00,3.593814e-06,0.03483913840166665693010017434972
OGTPC1,87,6.161550e-01,5.994843e-06,325.16246241256163784782984293997288
OGTPC1,78,1.110095e+00,3.593814e-06,8.22363582399370329767407383769751
OGTPC1,49,2.000000e+00,7.742637e-07,0.00151664392359066447883708672606
OGTPC1,75,1.898235e-01,3.593814e-06,3116.79964242672167529235593974590302
OGTPC1,83,5.848035e-02,5.994843e-06,70719.77695168649370316416025161743164
OGTPC1,66,3.419952e-01,2.154435e-06,303.47437290219056649220874533057213
OGTPC1,68,1.110095e+00,2.154435e-06,2.81918144311689156111810916627292
OGTPC1,89,2.000000e+00,5.994843e-06,0.07408560377807051067211574491012
OGTPC1,86,3.419952e-01,5.994843e-06,3190.30597803994169225916266441345215
OGTPC1,60,1.000000e-02,2.154435e-06,24.13587437822421222222146752756089
OGTPC1,73,5.848035e-02,3.593814e-06,31422.26970950145914684981107711791992
OGTPC1,70,1.000000e-02,3.593814e-06,186.87415893672360311938973609358072
OGTPC1,91,1.801648e-02,1.000000e-05,91622.30007638175447937101125717163086
OGTPC1,48,1.110095e+00,7.742637e-07,0.36002616987569163731208732315281
OGTPC1,82,3.245936e-02,5.994843e-06,87171.91045844260952435433864593505859
OGTPC1,63,5.848035e-02,2.154435e-06,8863.16640747022756841033697128295898
OGTPC1,84,1.053610e-01,5.994843e-06,15168.22410536505049094557762145996094
OGTPC1,93,5.848035e-02,1.000000e-05,80880.12637591784005053341388702392578
OGTPC1,76,3.419952e-01,3.593814e-06,1084.22978568263943088822998106479645
OGTPC1,94,1.053610e-01,1.000000e-05,80632.22947825519077014178037643432617
OGTPC1,90,1.000000e-02,1.000000e-05,11202.10508632963501440826803445816040
OGTPC1,95,1.898235e-01,1.000000e-05,41424.62437555343058193102478981018066
OGTPC1,98,1.110095e+00,1.000000e-05,58.85820828766593848513366538099945
OGTPC1,96,3.419952e-01,1.000000e-05,8897.45364632538621663115918636322021
OGTPC1,97,6.161550e-01,1.000000e-05,906.78132188447875705605838447809219
