Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,43,5.848035e-02,7.742637e-07,201.54913527987972088340029586106539
OGTPC1,19,2.000000e+00,1.668101e-07,0.00008431328360180633614464479342
OGTPC1,24,1.053610e-01,2.782559e-07,12.45189957579145101362882996909320
OGTPC1,37,6.161550e-01,4.641589e-07,0.96743179370383081128181856911397
OGTPC1,9,2.000000e+00,1.000000e-07,0.00001443514057197504162120913623
OGTPC1,31,1.801648e-02,4.641589e-07,0.55435443321007182859716522216331
OGTPC1,12,3.245936e-02,1.668101e-07,0.07070046451901958184382834815551
OGTPC1,17,6.161550e-01,1.668101e-07,0.22398655716746712629472426669963
OGTPC1,4,1.053610e-01,1.000000e-07,0.20801728014765472063452023121499
OGTPC1,7,6.161550e-01,1.000000e-07,0.15579586150987709269877257156622
OGTPC1,20,1.000000e-02,2.782559e-07,0.00874226434219555967319870148913
OGTPC1,21,1.801648e-02,2.782559e-07,0.07159773888227345672863322079138
OGTPC1,28,1.110095e+00,2.782559e-07,0.04065958881861110596478425804889
OGTPC1,27,6.161550e-01,2.782559e-07,0.22608849230925215367804526067630
OGTPC1,30,1.000000e-02,4.641589e-07,0.06768811394849795493033894899781
OGTPC1,32,3.245936e-02,4.641589e-07,4.23996521171763784963104626513086
OGTPC1,45,1.898235e-01,7.742637e-07,229.44979774379680748097598552703857
OGTPC1,47,6.161550e-01,7.742637e-07,5.15104255551094070142426062375307
OGTPC1,46,3.419952e-01,7.742637e-07,19.21689942592098532259115017950535
OGTPC1,44,1.053610e-01,7.742637e-07,714.00656891314110907842405140399933
OGTPC1,38,1.110095e+00,4.641589e-07,0.15670469391791055913110142228106
OGTPC1,1,1.801648e-02,1.000000e-07,0.00119432222666040143387033989342
OGTPC1,22,3.245936e-02,2.782559e-07,0.54761747893420908983586059548543
OGTPC1,14,1.053610e-01,1.668101e-07,1.61045322704451798756508651422337
OGTPC1,13,5.848035e-02,1.668101e-07,0.43437529236921318398501057345129
OGTPC1,15,1.898235e-01,1.668101e-07,3.50884213409207434963832383800764
OGTPC1,5,1.898235e-01,1.000000e-07,0.45523954024518903382912071720057
OGTPC1,6,3.419952e-01,1.000000e-07,0.53958297538304766938210832449840
OGTPC1,34,1.053610e-01,4.641589e-07,96.05359932173148251877137226983905
OGTPC1,36,3.419952e-01,4.641589e-07,12.59056564175225112478528899373487
OGTPC1,11,1.801648e-02,1.668101e-07,0.00924652065433218678380811184070
OGTPC1,18,1.110095e+00,1.668101e-07,0.00749764104223430392914817588235
OGTPC1,25,1.898235e-01,2.782559e-07,25.49135801628234432314457080792636
OGTPC1,10,1.000000e-02,1.668101e-07,0.00112910631335565603966530900948
OGTPC1,29,2.000000e+00,2.782559e-07,0.00033584985177670146098624637254
OGTPC1,26,3.419952e-01,2.782559e-07,8.16961091075015310991602746071294
OGTPC1,33,5.848035e-02,4.641589e-07,26.03711086205399638515700644347817
OGTPC1,8,1.110095e+00,1.000000e-07,0.00162207152536496582682923328633
OGTPC1,41,1.801648e-02,7.742637e-07,4.29183656496885479469938218244351
OGTPC1,42,3.245936e-02,7.742637e-07,32.81509689433944032543877256102860
OGTPC1,39,2.000000e+00,4.641589e-07,0.00076921627430966631969871949437
OGTPC1,35,1.898235e-01,4.641589e-07,112.92187417986559694327297620475292
OGTPC1,2,3.245936e-02,1.000000e-07,0.00913132282213577339824439604854
OGTPC1,16,3.419952e-01,1.668101e-07,3.35359167969120930408166714187246
OGTPC1,0,1.000000e-02,1.000000e-07,0.00014582957702110704552647679755
OGTPC1,3,5.848035e-02,1.000000e-07,0.05612104619628963120270270792389
OGTPC1,23,5.848035e-02,2.782559e-07,3.36348471558917383461562167212833
OGTPC1,40,1.000000e-02,7.742637e-07,0.52408462090667784494257830374409
OGTPC1,67,6.161550e-01,2.154435e-06,54.10022448221859292516455752775073
OGTPC1,88,1.110095e+00,5.994843e-06,28.44218274446980387892836006358266
OGTPC1,73,5.848035e-02,3.593814e-06,40902.70567162164661567658185958862305
OGTPC1,66,3.419952e-01,2.154435e-06,395.03584777470211975014535710215569
OGTPC1,64,1.053610e-01,2.154435e-06,5643.62508371429066755808889865875244
OGTPC1,95,1.898235e-01,1.000000e-05,53922.87807517607870977371931076049805
OGTPC1,72,3.245936e-02,3.593814e-06,15240.99740498471874161623418331146240
OGTPC1,60,1.000000e-02,2.154435e-06,31.41792667896370616631429584231228
OGTPC1,58,1.110095e+00,1.291550e-06,1.38944447937651083258003836817807
OGTPC1,75,1.898235e-01,3.593814e-06,4057.17154076386577798984944820404053
OGTPC1,83,5.848035e-02,5.994843e-06,92056.69254830728459637612104415893555
OGTPC1,61,1.801648e-02,2.154435e-06,257.30090628618273740357835777103901
OGTPC1,59,2.000000e+00,1.291550e-06,0.00501024307361920984843495219252
OGTPC1,84,1.053610e-01,5.994843e-06,19744.64008738809570786543190479278564
OGTPC1,48,1.110095e+00,7.742637e-07,0.46864992874953947943339471748914
OGTPC1,90,1.000000e-02,1.000000e-05,14581.90040009005315368995070457458496
OGTPC1,77,6.161550e-01,3.593814e-06,152.68587452473505550187837798148394
OGTPC1,63,5.848035e-02,2.154435e-06,11537.27882278783727088011801242828369
OGTPC1,69,2.000000e+00,2.154435e-06,0.01440602164158725356779555681896
OGTPC1,85,1.898235e-01,5.994843e-06,16869.64078879172666347585618495941162
OGTPC1,65,1.898235e-01,2.154435e-06,774.38203960062196529179345816373825
OGTPC1,55,1.898235e-01,1.291550e-06,285.08088627051643015875015407800674
OGTPC1,68,1.110095e+00,2.154435e-06,3.66975873699663779348156822379678
OGTPC1,87,6.161550e-01,5.994843e-06,423.26746662412762134408694691956043
OGTPC1,50,1.000000e-02,1.291550e-06,4.05779147306642773429530279827304
OGTPC1,53,5.848035e-02,1.291550e-06,1562.85879435401352566259447485208511
OGTPC1,82,3.245936e-02,5.994843e-06,113472.61128105202806182205677032470703
OGTPC1,86,3.419952e-01,5.994843e-06,4152.85552662430927739478647708892822
OGTPC1,91,1.801648e-02,1.000000e-05,119265.73120362599729560315608978271484
OGTPC1,74,1.053610e-01,3.593814e-06,5834.02782849466166226193308830261230
OGTPC1,54,1.053610e-01,1.291550e-06,2607.33794740934763467521406710147858
OGTPC1,93,5.848035e-02,1.000000e-05,105282.52842401746602263301610946655273
OGTPC1,92,3.245936e-02,1.000000e-05,465921.23403666855301707983016967773438
OGTPC1,78,1.110095e+00,3.593814e-06,10.70479499950657675810816726880148
OGTPC1,56,3.419952e-01,1.291550e-06,85.82331260674838802060548914596438
OGTPC1,94,1.053610e-01,1.000000e-05,104959.83837216110259760171175003051758
OGTPC1,79,2.000000e+00,3.593814e-06,0.04535048031445565452912660475704
OGTPC1,70,1.000000e-02,3.593814e-06,243.25609802494187761112698353827000
OGTPC1,49,2.000000e+00,7.742637e-07,0.00197423167036607461952146813644
OGTPC1,62,3.245936e-02,2.154435e-06,1967.95802899724458256969228386878967
OGTPC1,89,2.000000e+00,5.994843e-06,0.09643802544672630538968860491877
OGTPC1,51,1.801648e-02,1.291550e-06,33.23237773723644039591818000189960
OGTPC1,52,3.245936e-02,1.291550e-06,254.15509329218161838070955127477646
OGTPC1,81,1.801648e-02,5.994843e-06,15421.38772205765599210280925035476685
OGTPC1,80,1.000000e-02,5.994843e-06,1883.41179551510708733985666185617447
OGTPC1,71,1.801648e-02,3.593814e-06,1992.07267827528175985207781195640564
