Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,5,1.898235e-01,1.000000e-07,0.48483114276439503997906399490603
OGTPC1,29,2.000000e+00,2.782559e-07,0.00234496812447299637222064561115
OGTPC1,36,3.419952e-01,4.641589e-07,25.59351911631221909715350193437189
OGTPC1,34,1.053610e-01,4.641589e-07,94.71215446095979473284387495368719
OGTPC1,41,1.801648e-02,7.742637e-07,4.01216491116099405189743265509605
OGTPC1,43,5.848035e-02,7.742637e-07,189.76141388455627634357369970530272
OGTPC1,27,6.161550e-01,2.782559e-07,0.54825602587205524152125235559652
OGTPC1,2,3.245936e-02,1.000000e-07,0.00858841872711259626815838430502
OGTPC1,25,1.898235e-01,2.782559e-07,27.38899695551360835565901652444154
OGTPC1,16,3.419952e-01,1.668101e-07,5.45440962331331302692660756292753
OGTPC1,3,5.848035e-02,1.000000e-07,0.05280075545069401465880787327478
OGTPC1,26,3.419952e-01,2.782559e-07,15.20205032934428324153941503027454
OGTPC1,9,2.000000e+00,1.000000e-07,0.00012612847904574942133580639503
OGTPC1,0,1.000000e-02,1.000000e-07,0.00013433002204867080099474907495
OGTPC1,6,3.419952e-01,1.000000e-07,0.87438932003484781674274017859716
OGTPC1,22,3.245936e-02,2.782559e-07,0.51473652102615841119614970011753
OGTPC1,47,6.161550e-01,7.742637e-07,10.25117320119254316068690968677402
OGTPC1,15,1.898235e-01,1.668101e-07,3.77565166947222508042614208534360
OGTPC1,11,1.801648e-02,1.668101e-07,0.00864398202869926662872401834647
OGTPC1,33,5.848035e-02,4.641589e-07,24.50442548544200960236594255547971
OGTPC1,32,3.245936e-02,4.641589e-07,3.98538270865188470892803707101848
OGTPC1,42,3.245936e-02,7.742637e-07,30.86408445346538442777273303363472
OGTPC1,12,3.245936e-02,1.668101e-07,0.06649695100853696139164838996294
OGTPC1,44,1.053610e-01,7.742637e-07,685.27376294024236358382040634751320
OGTPC1,39,2.000000e+00,4.641589e-07,0.00557846165974990992192372729619
OGTPC1,40,1.000000e-02,7.742637e-07,0.48275745704415234937911804991018
OGTPC1,18,1.110095e+00,1.668101e-07,0.02098073326465037594101836759819
OGTPC1,21,1.801648e-02,2.782559e-07,0.06692721384273589424473982489872
OGTPC1,10,1.000000e-02,1.668101e-07,0.00104006958095501133090832190931
OGTPC1,46,3.419952e-01,7.742637e-07,33.30090548299138930588014773093164
OGTPC1,28,1.110095e+00,2.782559e-07,0.11888250098929019349380808989736
OGTPC1,7,6.161550e-01,1.000000e-07,0.31664434296567534055100168188801
OGTPC1,23,5.848035e-02,2.782559e-07,3.16518785609608377384915911534335
OGTPC1,30,1.000000e-02,4.641589e-07,0.06235049920207098861357764008062
OGTPC1,35,1.898235e-01,4.641589e-07,131.23808431472107827175932470709085
OGTPC1,17,6.161550e-01,1.668101e-07,0.58892411340402006647565258390387
OGTPC1,45,1.898235e-01,7.742637e-07,315.27439491353271705520455725491047
OGTPC1,37,6.161550e-01,4.641589e-07,1.85346604314371754540502479358111
OGTPC1,24,1.053610e-01,2.782559e-07,12.22199182201475942122215201379731
OGTPC1,19,2.000000e+00,1.668101e-07,0.00076626364986652668615657590934
OGTPC1,8,1.110095e+00,1.000000e-07,0.00654439000133311653273349151050
OGTPC1,13,5.848035e-02,1.668101e-07,0.40881264973740827350923154881457
OGTPC1,38,1.110095e+00,4.641589e-07,0.47892443730102590704333920257341
OGTPC1,1,1.801648e-02,1.000000e-07,0.00111641308514848105852557136330
OGTPC1,4,1.053610e-01,1.000000e-07,0.20413101819348758447780767255608
OGTPC1,14,1.053610e-01,1.668101e-07,1.58088826697372919483086661784910
OGTPC1,31,1.801648e-02,4.641589e-07,0.51819230772218705105558456125436
OGTPC1,20,1.000000e-02,2.782559e-07,0.00805288395342872165283409913172
OGTPC1,48,1.110095e+00,7.742637e-07,1.50858146493402300869490773038706
OGTPC1,58,1.110095e+00,1.291550e-06,4.17836349083342550869701881310903
OGTPC1,60,1.000000e-02,2.154435e-06,28.94043666895334965261099569033831
OGTPC1,70,1.000000e-02,3.593814e-06,224.07400994129434934620803687721491
OGTPC1,61,1.801648e-02,2.154435e-06,240.51680798622669499309267848730087
OGTPC1,77,6.161550e-01,3.593814e-06,355.57304984099999956015381030738354
OGTPC1,63,5.848035e-02,2.154435e-06,10772.91393868757222662679851055145264
OGTPC1,59,2.000000e+00,1.291550e-06,0.05384221447398637033776580551603
OGTPC1,54,1.053610e-01,1.291550e-06,2625.40275141084748611319810152053833
OGTPC1,53,5.848035e-02,1.291550e-06,1466.69249471955663466360419988632202
OGTPC1,76,3.419952e-01,3.593814e-06,2399.92575479615334188565611839294434
OGTPC1,73,5.848035e-02,3.593814e-06,39990.21347394219628768041729927062988
OGTPC1,75,1.898235e-01,3.593814e-06,4319.39599216509759571636095643043518
OGTPC1,92,3.245936e-02,1.000000e-05,452135.17262661916902288794517517089844
OGTPC1,57,6.161550e-01,1.291550e-06,42.16960546868210002457999507896602
OGTPC1,71,1.801648e-02,3.593814e-06,1862.13225865956678717338945716619492
OGTPC1,68,1.110095e+00,2.154435e-06,11.18365418370100172751335776410997
OGTPC1,88,1.110095e+00,5.994843e-06,86.61437017586860065421205945312977
OGTPC1,90,1.000000e-02,1.000000e-05,13432.09994636555711622349917888641357
OGTPC1,87,6.161550e-01,5.994843e-06,989.43656622262790278909960761666298
OGTPC1,93,5.848035e-02,1.000000e-05,120156.61233735244604758918285369873047
OGTPC1,91,1.801648e-02,1.000000e-05,111376.73559697889140807092189788818359
OGTPC1,83,5.848035e-02,5.994843e-06,91957.20908774287090636789798736572266
OGTPC1,78,1.110095e+00,3.593814e-06,32.35791586606190861630238941870630
