Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,3,5.848035e-02,1.000000e-07,0.06607813840028373131296746123553
OGTPC1,14,1.053610e-01,1.668101e-07,1.97842157387355599418299334502080
OGTPC1,8,1.110095e+00,1.000000e-07,0.00819005532330577094846102426118
OGTPC1,36,3.419952e-01,4.641589e-07,32.02931632099891601228591753169894
OGTPC1,1,1.801648e-02,1.000000e-07,0.00139714853930862550196456695062
OGTPC1,10,1.000000e-02,1.668101e-07,0.00130160754575656383708048835501
OGTPC1,19,2.000000e+00,1.668101e-07,0.00095894983082711517802243506026
OGTPC1,44,1.053610e-01,7.742637e-07,857.59406590182379659381695091724396
OGTPC1,33,5.848035e-02,4.641589e-07,30.66635704026075970318743202369660
OGTPC1,37,6.161550e-01,4.641589e-07,2.31954229960675739619091473286971
OGTPC1,6,3.419952e-01,1.000000e-07,1.09426499700267498838002211414278
OGTPC1,41,1.801648e-02,7.742637e-07,5.02107187712545499636007662047632
OGTPC1,31,1.801648e-02,4.641589e-07,0.64849797574589485016360868030461
OGTPC1,17,6.161550e-01,1.668101e-07,0.73701614192082043341969210814568
OGTPC1,23,5.848035e-02,2.782559e-07,3.96111228774597634583187755197287
OGTPC1,7,6.161550e-01,1.000000e-07,0.39626835903306739661289270770794
OGTPC1,42,3.245936e-02,7.742637e-07,38.62522849731924878824429470114410
OGTPC1,29,2.000000e+00,2.782559e-07,0.00293463847156269714080978339155
OGTPC1,27,6.161550e-01,2.782559e-07,0.68612157623754277402383650041884
OGTPC1,15,1.898235e-01,1.668101e-07,4.72508454542138078835478154360317
OGTPC1,16,3.419952e-01,1.668101e-07,6.82598631221665996804404130671173
OGTPC1,18,1.110095e+00,1.668101e-07,0.02625659016745719720464791180348
OGTPC1,43,5.848035e-02,7.742637e-07,237.47919632336282802498317323625088
OGTPC1,0,1.000000e-02,1.000000e-07,0.00016810891648196227168669814045
OGTPC1,39,2.000000e+00,4.641589e-07,0.00698123272038877595163652856058
OGTPC1,46,3.419952e-01,7.742637e-07,41.67481738807109081790258642286062
OGTPC1,4,1.053610e-01,1.000000e-07,0.25546220990296103492411816660024
