Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000000
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.000000
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.000000
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.000000
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.000000
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.000000
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.000000
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.000000
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.000000
ND280UPGRD,46,3.419952e-01,7.742637e-07,131.278774
ND280UPGRD,27,6.161550e-01,2.782559e-07,3.452923
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.882080
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.009569
ND280UPGRD,16,3.419952e-01,1.668101e-07,7.976294
ND280UPGRD,57,6.161550e-01,1.291550e-06,0.000000
ND280UPGRD,26,3.419952e-01,2.782559e-07,49.084546
ND280UPGRD,36,3.419952e-01,4.641589e-07,111.027508
ND280UPGRD,6,3.419952e-01,1.000000e-07,1.189473
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.000000
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.515674
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.000000
ND280UPGRD,25,1.898235e-01,2.782559e-07,31.288126
ND280UPGRD,15,1.898235e-01,1.668101e-07,4.042540
ND280UPGRD,7,6.161550e-01,1.000000e-07,1.030820
ND280UPGRD,17,6.161550e-01,1.668101e-07,2.625820
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.058182
ND280UPGRD,56,3.419952e-01,1.291550e-06,50.330521
ND280UPGRD,66,3.419952e-01,2.154435e-06,0.000000
ND280UPGRD,67,6.161550e-01,2.154435e-06,0.000000
ND280UPGRD,69,2.000000e+00,2.154435e-06,0.000000
ND280UPGRD,68,1.110095e+00,2.154435e-06,0.000000
ND280UPGRD,35,1.898235e-01,4.641589e-07,227.109950
ND280UPGRD,76,3.419952e-01,3.593814e-06,0.000000
ND280UPGRD,77,6.161550e-01,3.593814e-06,0.000000
ND280UPGRD,45,1.898235e-01,7.742637e-07,1059.478534
ND280UPGRD,78,1.110095e+00,3.593814e-06,0.000000
ND280UPGRD,79,2.000000e+00,3.593814e-06,0.000000
ND280UPGRD,24,1.053610e-01,2.782559e-07,14.005057
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.813233
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.233939
ND280UPGRD,34,1.053610e-01,4.641589e-07,108.327439
ND280UPGRD,85,1.898235e-01,5.994843e-06,0.000000
ND280UPGRD,86,3.419952e-01,5.994843e-06,0.000000
ND280UPGRD,87,6.161550e-01,5.994843e-06,0.000000
ND280UPGRD,44,1.053610e-01,7.742637e-07,828.810382
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.000000
ND280UPGRD,88,1.110095e+00,5.994843e-06,0.000000
ND280UPGRD,55,1.898235e-01,1.291550e-06,2381.729434
ND280UPGRD,43,5.848035e-02,7.742637e-07,195.044405
ND280UPGRD,95,1.898235e-01,1.000000e-05,0.000000
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.537329
ND280UPGRD,33,5.848035e-02,4.641589e-07,32.207446
ND280UPGRD,54,1.053610e-01,1.291550e-06,5802.797972
ND280UPGRD,96,3.419952e-01,1.000000e-05,0.000000
ND280UPGRD,97,6.161550e-01,1.000000e-05,0.000000
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.069400
ND280UPGRD,23,5.848035e-02,2.782559e-07,4.160241
ND280UPGRD,98,1.110095e+00,1.000000e-05,0.000000
ND280UPGRD,99,2.000000e+00,1.000000e-05,0.000000
ND280UPGRD,53,5.848035e-02,1.291550e-06,1928.452595
ND280UPGRD,32,3.245936e-02,4.641589e-07,5.475766
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.011783
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000163
ND280UPGRD,42,3.245936e-02,7.742637e-07,35.254220
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.695491
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.001355
ND280UPGRD,52,3.245936e-02,1.291550e-06,328.209802
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.091235
TPC2,9,2.000000e+00,1.000000e-07,0.000000
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.707231
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.001498
ND280UPGRD,51,1.801648e-02,1.291550e-06,45.760213
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.012733
ND280UPGRD,41,1.801648e-02,7.742637e-07,5.910156
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.089826
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.011601
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.763329
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.098588
ND280UPGRD,50,1.000000e-02,1.291550e-06,5.384928
TPC2,19,2.000000e+00,1.668101e-07,0.000000
ND280UPGRD,65,1.898235e-01,2.154435e-06,2560.389888
ND280UPGRD,75,1.898235e-01,3.593814e-06,1490.784715
TPC2,28,1.110095e+00,2.782559e-07,0.000000
TPC2,29,2.000000e+00,2.782559e-07,0.000000
ND280UPGRD,84,1.053610e-01,5.994843e-06,27928.630486
ND280UPGRD,94,1.053610e-01,1.000000e-05,25182.123598
ND280UPGRD,64,1.053610e-01,2.154435e-06,20527.140449
ND280UPGRD,74,1.053610e-01,3.593814e-06,40256.201761
ND280UPGRD,63,5.848035e-02,2.154435e-06,14829.295349
TPC2,18,1.110095e+00,1.668101e-07,0.006903
TPC2,6,3.419952e-01,1.000000e-07,1.190864
ND280UPGRD,73,5.848035e-02,3.593814e-06,100466.784450
TPC2,7,6.161550e-01,1.000000e-07,0.878709
TPC2,5,1.898235e-01,1.000000e-07,0.496672
TPC2,38,1.110095e+00,4.641589e-07,0.000000
ND280UPGRD,62,3.245936e-02,2.154435e-06,2540.544350
TPC2,8,1.110095e+00,1.000000e-07,0.049023
ND280UPGRD,72,3.245936e-02,3.593814e-06,19677.386881
TPC2,39,2.000000e+00,4.641589e-07,0.000000
TPC2,15,1.898235e-01,1.668101e-07,3.802168
ND280UPGRD,71,1.801648e-02,3.593814e-06,2742.914835
TPC2,17,6.161550e-01,1.668101e-07,2.582214
ND280UPGRD,60,1.000000e-02,2.154435e-06,41.693386
ND280UPGRD,61,1.801648e-02,2.154435e-06,354.297601
TPC2,16,3.419952e-01,1.668101e-07,8.430738
TPC2,4,1.053610e-01,1.000000e-07,0.216283
TPC2,48,1.110095e+00,7.742637e-07,0.000000
TPC2,47,6.161550e-01,7.742637e-07,0.000000
TPC2,49,2.000000e+00,7.742637e-07,0.000000
ND280UPGRD,70,1.000000e-02,3.593814e-06,322.814000
TPC2,26,3.419952e-01,2.782559e-07,42.853791
TPC2,27,6.161550e-01,2.782559e-07,3.925024
ND280UPGRD,83,5.848035e-02,5.994843e-06,326874.196482
TPC2,58,1.110095e+00,1.291550e-06,0.000000
TPC2,57,6.161550e-01,1.291550e-06,0.000000
TPC2,25,1.898235e-01,2.782559e-07,28.231212
TPC2,59,2.000000e+00,1.291550e-06,0.000000
ND280UPGRD,82,3.245936e-02,5.994843e-06,152678.301865
ND280UPGRD,80,1.000000e-02,5.994843e-06,2499.371468
ND280UPGRD,81,1.801648e-02,5.994843e-06,21232.871861
TPC2,24,1.053610e-01,2.782559e-07,12.978705
TPC2,14,1.053610e-01,1.668101e-07,1.674734
TPC2,3,5.848035e-02,1.000000e-07,0.068452
TPC2,66,3.419952e-01,2.154435e-06,0.000000
TPC2,67,6.161550e-01,2.154435e-06,0.000000
TPC2,68,1.110095e+00,2.154435e-06,0.000000
TPC2,69,2.000000e+00,2.154435e-06,0.000000
ND280UPGRD,90,1.000000e-02,1.000000e-05,19350.463068
ND280UPGRD,93,5.848035e-02,1.000000e-05,651546.794141
ND280UPGRD,92,3.245936e-02,1.000000e-05,1069799.957287
ND280UPGRD,91,1.801648e-02,1.000000e-05,164280.101364
TPC2,2,3.245936e-02,1.000000e-07,0.011493
TPC2,0,1.000000e-02,1.000000e-07,0.000199
TPC2,76,3.419952e-01,3.593814e-06,0.000000
TPC2,77,6.161550e-01,3.593814e-06,0.000000
TPC2,78,1.110095e+00,3.593814e-06,0.000000
TPC2,79,2.000000e+00,3.593814e-06,0.000000
TPC2,23,5.848035e-02,2.782559e-07,4.103429
TPC2,13,5.848035e-02,1.668101e-07,0.529996
TPC2,22,3.245936e-02,2.782559e-07,0.691241
TPC2,11,1.801648e-02,1.668101e-07,0.013005
TPC2,1,1.801648e-02,1.000000e-07,0.001680
TPC2,86,3.419952e-01,5.994843e-06,0.000000
TPC2,87,6.161550e-01,5.994843e-06,0.000000
TPC2,88,1.110095e+00,5.994843e-06,0.000000
TPC2,20,1.000000e-02,2.782559e-07,0.011944
TPC2,21,1.801648e-02,2.782559e-07,0.100693
TPC2,12,3.245936e-02,1.668101e-07,0.088983
TPC2,89,2.000000e+00,5.994843e-06,0.000000
TPC2,10,1.000000e-02,1.668101e-07,0.001543
TPC2,95,1.898235e-01,1.000000e-05,0.000000
TPC2,96,3.419952e-01,1.000000e-05,0.000000
TPC2,97,6.161550e-01,1.000000e-05,0.000000
TPC2,98,1.110095e+00,1.000000e-05,0.000000
TPC2,99,2.000000e+00,1.000000e-05,0.000000
TPC2,37,6.161550e-01,4.641589e-07,1.205848
TPC2,35,1.898235e-01,4.641589e-07,203.220530
TPC2,46,3.419952e-01,7.742637e-07,145.109614
TPC2,56,3.419952e-01,1.291550e-06,76.376416
TPC2,36,3.419952e-01,4.641589e-07,116.383820
