Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
ND280UPGRD,42,3.245936e-02,7.742637e-07,35.62327746043209231174841988831758
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
ND280UPGRD,16,3.419952e-01,1.668101e-07,7.98715604618390173641273577231914
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.82265655546100879824678031582152
ND280UPGRD,25,1.898235e-01,2.782559e-07,31.35836870714564383888500742614269
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.09084448857938071109074940068240
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
ND280UPGRD,6,3.419952e-01,1.000000e-07,1.19084229302427657692931006749859
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.23516460001768427212631706879620
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.09221452272575025865819497994380
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.71480101890049052570930143701844
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00137127727769711113894879339625
ND280UPGRD,45,1.898235e-01,7.742637e-07,1064.16084153203792084241285920143127
ND280UPGRD,24,1.053610e-01,2.782559e-07,14.07967916932130769680497905937955
ND280UPGRD,26,3.419952e-01,2.782559e-07,49.17798403654530403628086787648499
ND280UPGRD,35,1.898235e-01,4.641589e-07,227.76134713894489891572447959333658
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.88216853771270653528091543194023
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.00016495408999162900994840674773
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.09972682643545739689106000014363
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.54218181913979734964925683016190
ND280UPGRD,15,1.898235e-01,1.668101e-07,4.05141236566215301451165942125954
ND280UPGRD,23,5.848035e-02,2.782559e-07,4.19772660184323065379885520087555
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.00151537820944563439776175961526
ND280UPGRD,17,6.161550e-01,1.668101e-07,2.63047555431308532902789920626674
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.51676941656752206633029800286749
ND280UPGRD,27,6.161550e-01,2.782559e-07,3.45637894065661432918545870052185
ND280UPGRD,44,1.053610e-01,7.742637e-07,833.13434888372569275816204026341438
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.07002651979186533259813529639359
ND280UPGRD,46,3.419952e-01,7.742637e-07,131.36416115696295037196250632405281
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00956996231782641058882799001140
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.70337595245129824750307534486637
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.77214709634120615167063306216733
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.01173302639966358577872096446981
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
ND280UPGRD,43,5.848035e-02,7.742637e-07,196.64906092939403947639220859855413
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.05828828997550109664027573330713
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.01190997929925103650250495235241
ND280UPGRD,41,1.801648e-02,7.742637e-07,5.97842925358366183985481256968342
ND280UPGRD,34,1.053610e-01,4.641589e-07,108.90901288847121008984686341136694
ND280UPGRD,32,3.245936e-02,4.641589e-07,5.53437483973727051278501676279120
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.01288021292666620409850253281547
ND280UPGRD,33,5.848035e-02,4.641589e-07,32.49765013416048020644666394218802
ND280UPGRD,7,6.161550e-01,1.000000e-07,1.03253429032576127255538267490920
ND280UPGRD,36,3.419952e-01,4.641589e-07,111.22103234279153127772588049992919
ND280UPGRD,57,6.161550e-01,1.291550e-06,0.00000000000000000000000000000000
ND280UPGRD,66,3.419952e-01,2.154435e-06,0.00000000000000000000000000000000
ND280UPGRD,72,3.245936e-02,3.593814e-06,19888.20182068327267188578844070434570
ND280UPGRD,52,3.245936e-02,1.291550e-06,331.73280455515168796409852802753448
ND280UPGRD,63,5.848035e-02,2.154435e-06,14962.46125422746627009473741054534912
ND280UPGRD,90,1.000000e-02,1.000000e-05,19569.84098562432336620986461639404297
ND280UPGRD,65,1.898235e-01,2.154435e-06,2563.49171312892258356441743671894073
ND280UPGRD,50,1.000000e-02,1.291550e-06,5.44597698275280350799221196211874
ND280UPGRD,70,1.000000e-02,3.593814e-06,326.47377047301097263698466122150421
ND280UPGRD,74,1.053610e-01,3.593814e-06,40584.53061321636778302490711212158203
ND280UPGRD,84,1.053610e-01,5.994843e-06,27970.86649428344026091508567333221436
ND280UPGRD,95,1.898235e-01,1.000000e-05,0.00000000000000000000000000000000
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.00000000000000000000000000000000
ND280UPGRD,55,1.898235e-01,1.291550e-06,2391.99107620364156900905072689056396
ND280UPGRD,79,2.000000e+00,3.593814e-06,0.00000000000000000000000000000000
ND280UPGRD,53,5.848035e-02,1.291550e-06,1945.75031529377338301856070756912231
ND280UPGRD,82,3.245936e-02,5.994843e-06,154328.06892143806908279657363891601562
ND280UPGRD,81,1.801648e-02,5.994843e-06,21477.71784432707499945536255836486816
ND280UPGRD,93,5.848035e-02,1.000000e-05,658394.09270555549301207065582275390625
ND280UPGRD,78,1.110095e+00,3.593814e-06,0.00000000000000000000000000000000
ND280UPGRD,56,3.419952e-01,1.291550e-06,50.33656174383333592459166538901627
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.00000000000000000000000000000000
ND280UPGRD,73,5.848035e-02,3.593814e-06,101455.98025727606727741658687591552734
ND280UPGRD,75,1.898235e-01,3.593814e-06,1491.12767441104665522288996726274490
ND280UPGRD,88,1.110095e+00,5.994843e-06,0.00000000000000000000000000000000
ND280UPGRD,68,1.110095e+00,2.154435e-06,0.00000000000000000000000000000000
ND280UPGRD,86,3.419952e-01,5.994843e-06,0.00000000000000000000000000000000
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.00000000000000000000000000000000
ND280UPGRD,76,3.419952e-01,3.593814e-06,0.00000000000000000000000000000000
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.00000000000000000000000000000000
ND280UPGRD,60,1.000000e-02,2.154435e-06,42.16606767054498305924425949342549
ND280UPGRD,92,3.245936e-02,1.000000e-05,1081873.66741581796668469905853271484375
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.00000000000000000000000000000000
ND280UPGRD,67,6.161550e-01,2.154435e-06,0.00000000000000000000000000000000
ND280UPGRD,83,5.848035e-02,5.994843e-06,330626.81078400276601314544677734375000
ND280UPGRD,85,1.898235e-01,5.994843e-06,0.00000000000000000000000000000000
ND280UPGRD,54,1.053610e-01,1.291550e-06,5839.05852574484651995589956641197205
ND280UPGRD,87,6.161550e-01,5.994843e-06,0.00000000000000000000000000000000
ND280UPGRD,71,1.801648e-02,3.593814e-06,2774.60077606529330296325497329235077
ND280UPGRD,69,2.000000e+00,2.154435e-06,0.00000000000000000000000000000000
ND280UPGRD,62,3.245936e-02,2.154435e-06,2567.78858673217791874776594340801239
ND280UPGRD,64,1.053610e-01,2.154435e-06,20699.56784929930290672928094863891602
ND280UPGRD,91,1.801648e-02,1.000000e-05,166186.25774070157785899937152862548828
ND280UPGRD,77,6.161550e-01,3.593814e-06,0.00000000000000000000000000000000
ND280UPGRD,80,1.000000e-02,5.994843e-06,2527.70706384251570852939039468765259
ND280UPGRD,51,1.801648e-02,1.291550e-06,46.28836331830887473870461690239608
ND280UPGRD,61,1.801648e-02,2.154435e-06,358.38316959554526874853763729333878
ND280UPGRD,94,1.053610e-01,1.000000e-05,25193.46065514638030435889959335327148
ND280UPGRD,96,3.419952e-01,1.000000e-05,0.00000000000000000000000000000000
TPC2,11,1.801648e-02,1.668101e-07,0.01316030232481254537424408823654
TPC2,30,1.000000e-02,4.641589e-07,0.09356350642055903665816884995365
TPC2,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
TPC2,13,5.848035e-02,1.668101e-07,0.53480972053736941518309322418645
TPC2,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
TPC2,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
TPC2,34,1.053610e-01,4.641589e-07,83.14276823497984025834739441052079
TPC2,37,6.161550e-01,4.641589e-07,1.20595608687125532831885266205063
TPC2,16,3.419952e-01,1.668101e-07,8.44196590263013391108870564494282
TPC2,7,6.161550e-01,1.000000e-07,0.88003804817269315474703716972726
TPC2,2,3.245936e-02,1.000000e-07,0.01161284804980198745449904151883
TPC2,3,5.848035e-02,1.000000e-07,0.06907436889258927736889859261282
TPC2,24,1.053610e-01,2.782559e-07,13.04366257492374359117093263193965
TPC2,20,1.000000e-02,2.782559e-07,0.01208420451165670775339755493860
TPC2,0,1.000000e-02,1.000000e-07,0.00020160597564907318775609401662
TPC2,1,1.801648e-02,1.000000e-07,0.00169971827002180593188529478255
ND280UPGRD,98,1.110095e+00,1.000000e-05,0.00000000000000000000000000000000
TPC2,14,1.053610e-01,1.668101e-07,1.68294684395585170122444651497062
TPC2,25,1.898235e-01,2.782559e-07,28.29033873962125156253932800609618
TPC2,26,3.419952e-01,2.782559e-07,42.93106696429415336524471058510244
TPC2,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
ND280UPGRD,99,2.000000e+00,1.000000e-05,0.00000000000000000000000000000000
TPC2,22,3.245936e-02,2.782559e-07,0.69860420614113127868449737434275
TPC2,10,1.000000e-02,1.668101e-07,0.00156073384992900534261328626684
TPC2,8,1.110095e+00,1.000000e-07,0.04909895299455729889004373944772
TPC2,40,1.000000e-02,7.742637e-07,0.72442816389712283431379091780400
ND280UPGRD,97,6.161550e-01,1.000000e-05,0.00000000000000000000000000000000
TPC2,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
TPC2,12,3.245936e-02,1.668101e-07,0.08991392775543577409180784343334
TPC2,35,1.898235e-01,4.641589e-07,203.75028075311792008506017737090588
TPC2,33,5.848035e-02,4.641589e-07,32.05598172346726215664602932520211
TPC2,41,1.801648e-02,7.742637e-07,6.10843526430444949681941579910927
TPC2,21,1.801648e-02,2.782559e-07,0.10189542040901601593905212439495
TPC2,32,3.245936e-02,4.641589e-07,5.40896941217566595838661669404246
TPC2,43,5.848035e-02,7.742637e-07,248.11904674345475996233290061354637
TPC2,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
TPC2,5,1.898235e-01,1.000000e-07,0.49777732412879061030253069475293
TPC2,4,1.053610e-01,1.000000e-07,0.21733239408956694926899899655837
TPC2,31,1.801648e-02,4.641589e-07,0.78893765454080488908061852271203
TPC2,36,3.419952e-01,4.641589e-07,116.58200928404434648655296768993139
TPC2,6,3.419952e-01,1.000000e-07,1.19239030402614276660244740924099
TPC2,23,5.848035e-02,2.782559e-07,4.14065382367014667153171103564091
TPC2,42,3.245936e-02,7.742637e-07,41.73223993796932518307585269212723
TPC2,18,1.110095e+00,1.668101e-07,0.00690331880484417077792347328113
TPC2,15,1.898235e-01,1.668101e-07,3.81024581194826605923253737273626
TPC2,27,6.161550e-01,2.782559e-07,3.92895297940418242177429419825785
TPC2,17,6.161550e-01,1.668101e-07,2.58671497555737017748356265656184
TPC2,44,1.053610e-01,7.742637e-07,791.97124201069755144999362528324127
TPC2,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
TPC2,66,3.419952e-01,2.154435e-06,0.00000000000000000000000000000000
TPC2,45,1.898235e-01,7.742637e-07,1067.80519652762609439378138631582260
TPC2,48,1.110095e+00,7.742637e-07,0.00000000000000000000000000000000
TPC2,46,3.419952e-01,7.742637e-07,145.21707495213570382475154474377632
TPC2,73,5.848035e-02,3.593814e-06,98744.30383490111853461712598800659180
TPC2,49,2.000000e+00,7.742637e-07,0.00000000000000000000000000000000
TPC2,67,6.161550e-01,2.154435e-06,0.00000000000000000000000000000000
TPC2,68,1.110095e+00,2.154435e-06,0.00000000000000000000000000000000
TPC2,65,1.898235e-01,2.154435e-06,2245.41832045669980288948863744735718
TPC2,59,2.000000e+00,1.291550e-06,0.00000000000000000000000000000000
TPC2,76,3.419952e-01,3.593814e-06,0.00000000000000000000000000000000
TPC2,79,2.000000e+00,3.593814e-06,0.00000000000000000000000000000000
TPC2,62,3.245936e-02,2.154435e-06,2509.59234644949992798501625657081604
TPC2,83,5.848035e-02,5.994843e-06,324821.35327144700568169355392456054688
TPC2,54,1.053610e-01,1.291550e-06,5427.35913505749431351432576775550842
TPC2,52,3.245936e-02,1.291550e-06,324.21544500078670125731150619685650
TPC2,80,1.000000e-02,5.994843e-06,2603.35937372499074626830406486988068
TPC2,58,1.110095e+00,1.291550e-06,0.00000000000000000000000000000000
TPC2,53,5.848035e-02,1.291550e-06,1919.39979458575749049487058073282242
TPC2,78,1.110095e+00,3.593814e-06,0.00000000000000000000000000000000
TPC2,70,1.000000e-02,3.593814e-06,336.24503126396786001350847072899342
TPC2,61,1.801648e-02,2.154435e-06,366.17683405658772244350984692573547
TPC2,57,6.161550e-01,1.291550e-06,0.00000000000000000000000000000000
TPC2,69,2.000000e+00,2.154435e-06,0.00000000000000000000000000000000
TPC2,86,3.419952e-01,5.994843e-06,0.00000000000000000000000000000000
TPC2,72,3.245936e-02,3.593814e-06,19394.59945924474232015199959278106689
TPC2,63,5.848035e-02,2.154435e-06,14855.93456655025147483684122562408447
TPC2,50,1.000000e-02,1.291550e-06,5.60897490353574124100077824550681
TPC2,84,1.053610e-01,5.994843e-06,28636.23164591877139173448085784912109
TPC2,71,1.801648e-02,3.593814e-06,2834.94517959451150090899318456649780
TPC2,89,2.000000e+00,5.994843e-06,0.00000000000000000000000000000000
TPC2,87,6.161550e-01,5.994843e-06,0.00000000000000000000000000000000
TPC2,51,1.801648e-02,1.291550e-06,47.29492421791096035121881868690252
TPC2,60,1.000000e-02,2.154435e-06,43.42810379592836511619680095463991
TPC2,56,3.419952e-01,1.291550e-06,76.38711031095311909666634164750576
TPC2,85,1.898235e-01,5.994843e-06,27.36738631185539460943800804670900
TPC2,77,6.161550e-01,3.593814e-06,0.00000000000000000000000000000000
TPC2,82,3.245936e-02,5.994843e-06,150292.96417979581747204065322875976562
TPC2,88,1.110095e+00,5.994843e-06,0.00000000000000000000000000000000
TPC2,55,1.898235e-01,1.291550e-06,2040.35525143215818388853222131729126
TPC2,74,1.053610e-01,3.593814e-06,40471.96324404333427082747220993041992
TPC2,64,1.053610e-01,2.154435e-06,21785.86710597825367585755884647369385
TPC2,81,1.801648e-02,5.994843e-06,21944.94062025919993175193667411804199
TPC2,75,1.898235e-01,3.593814e-06,929.61412799357424319168785586953163
TPC2,90,1.000000e-02,1.000000e-05,20155.51078719558427110314369201660156
TPC2,91,1.801648e-02,1.000000e-05,169803.78905349096748977899551391601562
TPC2,92,3.245936e-02,1.000000e-05,1096399.89568099356256425380706787109375
TPC2,95,1.898235e-01,1.000000e-05,0.00000000000000000000000000000000
TPC2,97,6.161550e-01,1.000000e-05,0.00000000000000000000000000000000
TPC2,96,3.419952e-01,1.000000e-05,0.00000000000000000000000000000000
TPC2,93,5.848035e-02,1.000000e-05,658164.86491948028560727834701538085938
TPC3,2,3.245936e-02,1.000000e-07,0.03127774601304274953994521979439
TPC3,0,1.000000e-02,1.000000e-07,0.00051243755301351554161393142550
TPC3,1,1.801648e-02,1.000000e-07,0.00425812768771046887272824221782
TPC2,98,1.110095e+00,1.000000e-05,0.00000000000000000000000000000000
TPC3,14,1.053610e-01,1.668101e-07,4.48494147962295119924647224252112
TPC3,16,3.419952e-01,1.668101e-07,21.59723190677594217845580715220422
TPC2,94,1.053610e-01,1.000000e-05,23437.70250520379340741783380508422852
TPC3,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
TPC2,99,2.000000e+00,1.000000e-05,0.00000000000000000000000000000000
TPC3,6,3.419952e-01,1.000000e-07,2.89058040672943272753059318347368
TPC3,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
TPC3,12,3.245936e-02,1.668101e-07,0.24217206352237996558329768959084
TPC3,10,1.000000e-02,1.668101e-07,0.00396713791516732118547228225225
TPC3,5,1.898235e-01,1.000000e-07,1.32689118224646085408835460839327
TPC3,21,1.801648e-02,2.782559e-07,0.21361518511895360994401471543824
TPC3,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
TPC3,20,1.000000e-02,2.782559e-07,0.03071611857059537015190997522041
TPC3,18,1.110095e+00,1.668101e-07,0.02652333483664862101569781316357
TPC3,8,1.110095e+00,1.000000e-07,0.13938940744912822755630088522594
TPC3,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
TPC3,13,5.848035e-02,1.668101e-07,1.37981508042181455486741015192820
TPC3,3,5.848035e-02,1.000000e-07,0.14383419448844619870087058188801
TPC3,4,1.053610e-01,1.000000e-07,0.57931652669225086604853913740953
TPC3,15,1.898235e-01,1.668101e-07,7.00925283204709614892635727301240
TPC3,7,6.161550e-01,1.000000e-07,2.37367284851598459027854914893396
TPC3,30,1.000000e-02,4.641589e-07,0.23782356287880543344037675979052
TPC3,34,1.053610e-01,4.641589e-07,268.66551465254389086112496443092823
TPC3,24,1.053610e-01,2.782559e-07,34.73913517326177213817572919651866
TPC3,31,1.801648e-02,4.641589e-07,1.97644663113097696083286791690625
TPC3,26,3.419952e-01,2.782559e-07,116.66123330072512942479079356417060
TPC3,22,3.245936e-02,2.782559e-07,1.87704991026922818342370646860218
TPC3,11,1.801648e-02,1.668101e-07,0.03296914138122311599410352300765
TPC3,33,5.848035e-02,4.641589e-07,66.75786844135484443540917709469795
TPC3,25,1.898235e-01,2.782559e-07,79.11683626852553175012872088700533
TPC3,23,5.848035e-02,2.782559e-07,10.68322928350220557547345379134640
TPC3,32,3.245936e-02,4.641589e-07,14.53325392136287952382645016768947
TPC3,36,3.419952e-01,4.641589e-07,311.14745255918387556448578834533691
TPC3,27,6.161550e-01,2.782559e-07,2.60210392870070972293206068570726
TPC3,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
TPC3,35,1.898235e-01,4.641589e-07,568.98130130850165642186766490340233
TPC3,17,6.161550e-01,1.668101e-07,6.96415476722248083518707062467001
TPC3,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
TPC3,37,6.161550e-01,4.641589e-07,2.56720132029473502299765641510021
TPC3,40,1.000000e-02,7.742637e-07,1.84138224244996706602250924333930
TPC3,42,3.245936e-02,7.742637e-07,112.40459572125458009850262897089124
TPC3,41,1.801648e-02,7.742637e-07,15.30288972557723781164895626716316
TPC3,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
TPC3,44,1.053610e-01,7.742637e-07,2081.82884161752372165210545063018799
TPC3,43,5.848035e-02,7.742637e-07,640.34971575223960371658904477953911
TPC3,48,1.110095e+00,7.742637e-07,0.00000000000000000000000000000000
TPC3,45,1.898235e-01,7.742637e-07,2776.55805146423108453745953738689423
TPC3,51,1.801648e-02,1.291550e-06,118.48442029546342268986336421221495
TPC3,56,3.419952e-01,1.291550e-06,187.56527284287903967197053134441376
