Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000000
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.000000
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.000000
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.000000
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.000000
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.000000
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.000000
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.000000
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.000000
ND280UPGRD,26,3.419952e-01,2.782559e-07,16.746321
ND280UPGRD,57,6.161550e-01,1.291550e-06,0.000000
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.002216
ND280UPGRD,15,1.898235e-01,1.668101e-07,2.644117
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.000000
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.000000
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.767847
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.010495
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.069570
ND280UPGRD,56,3.419952e-01,1.291550e-06,4.001667
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.054524
ND280UPGRD,66,3.419952e-01,2.154435e-06,0.000000
ND280UPGRD,67,6.161550e-01,2.154435e-06,0.000000
ND280UPGRD,68,1.110095e+00,2.154435e-06,0.000000
ND280UPGRD,46,3.419952e-01,7.742637e-07,39.408057
ND280UPGRD,69,2.000000e+00,2.154435e-06,0.000000
ND280UPGRD,36,3.419952e-01,4.641589e-07,42.223052
ND280UPGRD,24,1.053610e-01,2.782559e-07,10.552636
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.342908
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.075958
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.760633
ND280UPGRD,76,3.419952e-01,3.593814e-06,0.000000
ND280UPGRD,77,6.161550e-01,3.593814e-06,0.000000
ND280UPGRD,78,1.110095e+00,3.593814e-06,0.000000
ND280UPGRD,55,1.898235e-01,1.291550e-06,1201.947807
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.572250
ND280UPGRD,16,3.419952e-01,1.668101e-07,3.625678
ND280UPGRD,79,2.000000e+00,3.593814e-06,0.000000
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.001263
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000163
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.075704
ND280UPGRD,25,1.898235e-01,2.782559e-07,20.524693
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.010184
ND280UPGRD,85,1.898235e-01,5.994843e-06,0.000000
ND280UPGRD,34,1.053610e-01,4.641589e-07,81.797246
ND280UPGRD,54,1.053610e-01,1.291550e-06,4533.858850
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.363430
ND280UPGRD,86,3.419952e-01,5.994843e-06,0.000000
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.000000
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.288386
ND280UPGRD,88,1.110095e+00,5.994843e-06,0.000000
ND280UPGRD,87,6.161550e-01,5.994843e-06,0.000000
ND280UPGRD,35,1.898235e-01,4.641589e-07,138.192945
ND280UPGRD,33,5.848035e-02,4.641589e-07,25.302313
ND280UPGRD,44,1.053610e-01,7.742637e-07,624.965146
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.081257
ND280UPGRD,45,1.898235e-01,7.742637e-07,689.620394
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.001355
ND280UPGRD,95,1.898235e-01,1.000000e-05,0.000000
ND280UPGRD,96,3.419952e-01,1.000000e-05,0.000000
ND280UPGRD,53,5.848035e-02,1.291550e-06,1507.691838
ND280UPGRD,97,6.161550e-01,1.000000e-05,0.000000
ND280UPGRD,98,1.110095e+00,1.000000e-05,0.000000
ND280UPGRD,99,2.000000e+00,1.000000e-05,0.000000
ND280UPGRD,50,1.000000e-02,1.291550e-06,4.538256
ND280UPGRD,60,1.000000e-02,2.154435e-06,35.138310
ND280UPGRD,32,3.245936e-02,4.641589e-07,4.545613
TPC2,9,2.000000e+00,1.000000e-07,0.000000
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.422150
