Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,29,2.000000e+00,2.782559e-07,0.000000
OGTPC1,39,2.000000e+00,4.641589e-07,0.000000
OGTPC1,28,1.110095e+00,2.782559e-07,0.000000
OGTPC1,38,1.110095e+00,4.641589e-07,0.000000
OGTPC1,47,6.161550e-01,7.742637e-07,0.000000
OGTPC1,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,49,2.000000e+00,7.742637e-07,0.000000
OGTPC1,48,1.110095e+00,7.742637e-07,0.000000
OGTPC1,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,18,1.110095e+00,1.668101e-07,0.002803
OGTPC1,57,6.161550e-01,1.291550e-06,0.000000
OGTPC1,58,1.110095e+00,1.291550e-06,0.000000
OGTPC1,56,3.419952e-01,1.291550e-06,14.907834
OGTPC1,59,2.000000e+00,1.291550e-06,0.000000
OGTPC1,46,3.419952e-01,7.742637e-07,50.808419
OGTPC1,7,6.161550e-01,1.000000e-07,0.374210
OGTPC1,6,3.419952e-01,1.000000e-07,0.503486
OGTPC1,27,6.161550e-01,2.782559e-07,1.240950
OGTPC1,37,6.161550e-01,4.641589e-07,0.232673
OGTPC1,36,3.419952e-01,4.641589e-07,39.605950
OGTPC1,66,3.419952e-01,2.154435e-06,0.000000
OGTPC1,67,6.161550e-01,2.154435e-06,0.000000
OGTPC1,17,6.161550e-01,1.668101e-07,0.890463
OGTPC1,16,3.419952e-01,1.668101e-07,3.746900
OGTPC1,5,1.898235e-01,1.000000e-07,0.267161
OGTPC1,68,1.110095e+00,2.154435e-06,0.000000
OGTPC1,8,1.110095e+00,1.000000e-07,0.018358
OGTPC1,69,2.000000e+00,2.154435e-06,0.000000
OGTPC1,26,3.419952e-01,2.782559e-07,18.070585
OGTPC1,76,3.419952e-01,3.593814e-06,0.000000
OGTPC1,77,6.161550e-01,3.593814e-06,0.000000
OGTPC1,78,1.110095e+00,3.593814e-06,0.000000
OGTPC1,79,2.000000e+00,3.593814e-06,0.000000
OGTPC1,45,1.898235e-01,7.742637e-07,409.484444
OGTPC1,25,1.898235e-01,2.782559e-07,16.050911
OGTPC1,35,1.898235e-01,4.641589e-07,108.331426
OGTPC1,55,1.898235e-01,1.291550e-06,731.366969
OGTPC1,15,1.898235e-01,1.668101e-07,2.077441
OGTPC1,4,1.053610e-01,1.000000e-07,0.111760
OGTPC1,86,3.419952e-01,5.994843e-06,0.000000
OGTPC1,34,1.053610e-01,4.641589e-07,51.802676
OGTPC1,87,6.161550e-01,5.994843e-06,0.000000
OGTPC1,12,3.245936e-02,1.668101e-07,0.035827
OGTPC1,89,2.000000e+00,5.994843e-06,0.000000
OGTPC1,88,1.110095e+00,5.994843e-06,0.000000
OGTPC1,44,1.053610e-01,7.742637e-07,401.250386
OGTPC1,1,1.801648e-02,1.000000e-07,0.000602
OGTPC1,24,1.053610e-01,2.782559e-07,6.698587
OGTPC1,95,1.898235e-01,1.000000e-05,0.000000
OGTPC1,14,1.053610e-01,1.668101e-07,0.865590
OGTPC1,96,3.419952e-01,1.000000e-05,0.000000
OGTPC1,98,1.110095e+00,1.000000e-05,0.000000
OGTPC1,97,6.161550e-01,1.000000e-05,0.000000
OGTPC1,23,5.848035e-02,2.782559e-07,1.713909
OGTPC1,99,2.000000e+00,1.000000e-05,0.000000
OGTPC1,75,1.898235e-01,3.593814e-06,390.367115
OGTPC1,13,5.848035e-02,1.668101e-07,0.221364
OGTPC1,65,1.898235e-01,2.154435e-06,759.508507
OGTPC1,54,1.053610e-01,1.291550e-06,2585.905838
OGTPC1,0,1.000000e-02,1.000000e-07,0.000072
OGTPC1,3,5.848035e-02,1.000000e-07,0.028590
OGTPC1,85,1.898235e-01,5.994843e-06,6.673423
OGTPC1,32,3.245936e-02,4.641589e-07,2.146422
OGTPC1,52,3.245936e-02,1.291550e-06,128.707648
OGTPC1,30,1.000000e-02,4.641589e-07,0.033509
OGTPC2,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,41,1.801648e-02,7.742637e-07,2.163899
OGTPC1,84,1.053610e-01,5.994843e-06,9432.232017
OGTPC1,31,1.801648e-02,4.641589e-07,0.279482
OGTPC1,51,1.801648e-02,1.291550e-06,16.754417
OGTPC1,22,3.245936e-02,2.782559e-07,0.277222
OGTPC1,42,3.245936e-02,7.742637e-07,16.628970
OGTPC1,20,1.000000e-02,2.782559e-07,0.004328
OGTPC1,2,3.245936e-02,1.000000e-07,0.004627
OGTPC2,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,10,1.000000e-02,1.668101e-07,0.000559
OGTPC1,43,5.848035e-02,7.742637e-07,102.773712
OGTPC1,33,5.848035e-02,4.641589e-07,13.269926
OGTPC1,53,5.848035e-02,1.291550e-06,794.251055
OGTPC1,21,1.801648e-02,2.782559e-07,0.036096
OGTPC1,94,1.053610e-01,1.000000e-05,5952.872273
OGTPC1,11,1.801648e-02,1.668101e-07,0.004662
OGTPC1,40,1.000000e-02,7.742637e-07,0.259446
OGTPC1,50,1.000000e-02,1.291550e-06,2.008814
OGTPC2,28,1.110095e+00,2.782559e-07,0.000000
OGTPC1,62,3.245936e-02,2.154435e-06,996.566592
OGTPC1,64,1.053610e-01,2.154435e-06,7492.748451
OGTPC2,29,2.000000e+00,2.782559e-07,0.000000
OGTPC1,72,3.245936e-02,3.593814e-06,7713.086588
OGTPC1,74,1.053610e-01,3.593814e-06,13690.837702
OGTPC1,60,1.000000e-02,2.154435e-06,15.553495
OGTPC1,61,1.801648e-02,2.154435e-06,129.720779
OGTPC2,39,2.000000e+00,4.641589e-07,0.000000
OGTPC2,38,1.110095e+00,4.641589e-07,0.000000
OGTPC1,90,1.000000e-02,1.000000e-05,7219.065614
OGTPC2,6,3.419952e-01,1.000000e-07,0.497504
OGTPC1,73,5.848035e-02,3.593814e-06,38944.770722
OGTPC2,7,6.161550e-01,1.000000e-07,0.375662
OGTPC2,8,1.110095e+00,1.000000e-07,0.018258
OGTPC2,18,1.110095e+00,1.668101e-07,0.002803
OGTPC2,15,1.898235e-01,1.668101e-07,2.059888
OGTPC1,83,5.848035e-02,5.994843e-06,114884.933287
OGTPC2,17,6.161550e-01,1.668101e-07,0.889048
OGTPC1,63,5.848035e-02,2.154435e-06,6118.556543
OGTPC2,5,1.898235e-01,1.000000e-07,0.265134
OGTPC1,70,1.000000e-02,3.593814e-06,120.424713
OGTPC2,49,2.000000e+00,7.742637e-07,0.000000
OGTPC2,47,6.161550e-01,7.742637e-07,0.000000
OGTPC2,27,6.161550e-01,2.782559e-07,1.239548
OGTPC2,48,1.110095e+00,7.742637e-07,0.000000
OGTPC1,71,1.801648e-02,3.593814e-06,1004.353718
OGTPC2,58,1.110095e+00,1.291550e-06,0.000000
OGTPC2,57,6.161550e-01,1.291550e-06,0.000000
OGTPC2,59,2.000000e+00,1.291550e-06,0.000000
OGTPC2,26,3.419952e-01,2.782559e-07,18.164611
OGTPC2,14,1.053610e-01,1.668101e-07,0.864917
OGTPC2,16,3.419952e-01,1.668101e-07,3.740759
OGTPC2,0,1.000000e-02,1.000000e-07,0.000072
