Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,16,3.419952e-01,1.668101e-07,3.76550149626778063449705769016873
OGTPC1,24,1.053610e-01,2.782559e-07,6.83334087679183710406505269929767
OGTPC1,0,1.000000e-02,1.000000e-07,0.00007493645796929832350857098033
OGTPC1,27,6.161550e-01,2.782559e-07,1.24383598453479526924070341920014
OGTPC1,15,1.898235e-01,1.668101e-07,2.09571599923683482558089963276871
OGTPC1,17,6.161550e-01,1.668101e-07,0.89426358160302554800580310256919
OGTPC1,7,6.161550e-01,1.000000e-07,0.37602987838965945543989732868795
OGTPC1,13,5.848035e-02,1.668101e-07,0.22840531347205053624982440396707
OGTPC1,25,1.898235e-01,2.782559e-07,16.19373970313944965937480446882546
OGTPC1,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
OGTPC1,8,1.110095e+00,1.000000e-07,0.01843309826925417643783688959047
OGTPC1,4,1.053610e-01,1.000000e-07,0.11400686051933865694518743794106
OGTPC1,3,5.848035e-02,1.000000e-07,0.02949984346210823143996648809662
OGTPC1,21,1.801648e-02,2.782559e-07,0.03745223940288577163526539948180
OGTPC1,23,5.848035e-02,2.782559e-07,1.76842927576052977300946622563060
OGTPC1,12,3.245936e-02,1.668101e-07,0.03712717371443923636276096544862
OGTPC1,22,3.245936e-02,2.782559e-07,0.28731265446629739024331229302334
OGTPC1,31,1.801648e-02,4.641589e-07,0.28997880864579761439614458140568
OGTPC1,26,3.419952e-01,2.782559e-07,18.17655424282166976013286330271512
OGTPC1,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC1,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
OGTPC1,10,1.000000e-02,1.668101e-07,0.00058020634331790177113524764607
OGTPC1,11,1.801648e-02,1.668101e-07,0.00483714163176051162307267361484
OGTPC1,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC1,5,1.898235e-01,1.000000e-07,0.26955220838312821118876172477030
OGTPC1,1,1.801648e-02,1.000000e-07,0.00062474078162774878374141618309
OGTPC1,2,3.245936e-02,1.000000e-07,0.00479516054793743384115911609911
OGTPC1,30,1.000000e-02,4.641589e-07,0.03478243785033107576820654571748
OGTPC1,20,1.000000e-02,2.782559e-07,0.00449232867642256061824213020373
OGTPC1,18,1.110095e+00,1.668101e-07,0.00280377305010058239242987099260
OGTPC1,14,1.053610e-01,1.668101e-07,0.88296661125897324406963662113412
OGTPC1,6,3.419952e-01,1.000000e-07,0.50562021581001814762856838569860
OGTPC1,57,6.161550e-01,1.291550e-06,0.00000000000000000000000000000000
OGTPC1,49,2.000000e+00,7.742637e-07,0.00000000000000000000000000000000
OGTPC1,59,2.000000e+00,1.291550e-06,0.00000000000000000000000000000000
OGTPC1,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC1,58,1.110095e+00,1.291550e-06,0.00000000000000000000000000000000
OGTPC1,32,3.245936e-02,4.641589e-07,2.22454774408833921839345748594496
OGTPC1,54,1.053610e-01,1.291550e-06,2647.86589985566524774185381829738617
OGTPC1,61,1.801648e-02,2.154435e-06,134.59444345287832334179256577044725
OGTPC1,44,1.053610e-01,7.742637e-07,409.25542235804607571481028571724892
OGTPC1,52,3.245936e-02,1.291550e-06,133.38547619317475323441612999886274
OGTPC1,56,3.419952e-01,1.291550e-06,14.91007087709973788491879531648010
OGTPC1,63,5.848035e-02,2.154435e-06,6311.69439111879637493984773755073547
OGTPC1,45,1.898235e-01,7.742637e-07,414.99137923539541361606097780168056
OGTPC1,37,6.161550e-01,4.641589e-07,0.23270050171440603836714444696554
OGTPC1,62,3.245936e-02,2.154435e-06,1032.79711434672822178981732577085495
OGTPC1,42,3.245936e-02,7.742637e-07,17.23262928414950323485754779540002
OGTPC1,33,5.848035e-02,4.641589e-07,13.69176899311078621224169182823971
OGTPC1,36,3.419952e-01,4.641589e-07,39.78618128386576557886655791662633
OGTPC1,55,1.898235e-01,1.291550e-06,739.03071768666563912120182067155838
OGTPC1,48,1.110095e+00,7.742637e-07,0.00000000000000000000000000000000
OGTPC1,60,1.000000e-02,2.154435e-06,16.14454677736784304897810216061771
OGTPC1,50,1.000000e-02,1.291550e-06,2.08515170699937879561502995784394
OGTPC1,46,3.419952e-01,7.742637e-07,50.89901948871964521003974368795753
OGTPC1,34,1.053610e-01,4.641589e-07,52.83453464078390737768131657503545
OGTPC1,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
OGTPC1,53,5.848035e-02,1.291550e-06,819.29696347650178722687996923923492
OGTPC1,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC1,35,1.898235e-01,4.641589e-07,109.54075626875629723144811578094959
OGTPC1,51,1.801648e-02,1.291550e-06,17.38370732113486383241252042353153
OGTPC1,41,1.801648e-02,7.742637e-07,2.24519771554641733857238250493538
OGTPC1,40,1.000000e-02,7.742637e-07,0.26930792294244959572679931625316
OGTPC1,43,5.848035e-02,7.742637e-07,106.03864159812613365829747635871172
OGTPC1,76,3.419952e-01,3.593814e-06,0.00000000000000000000000000000000
OGTPC1,65,1.898235e-01,2.154435e-06,761.38913824018561626871814951300621
OGTPC1,66,3.419952e-01,2.154435e-06,0.00000000000000000000000000000000
OGTPC1,81,1.801648e-02,5.994843e-06,8067.88091892833290330599993467330933
OGTPC1,71,1.801648e-02,3.593814e-06,1042.08771461597098095808178186416626
OGTPC1,75,1.898235e-01,3.593814e-06,390.56239599370559290036908350884914
OGTPC1,70,1.000000e-02,3.593814e-06,125.00099997486633185417304048314691
OGTPC1,77,6.161550e-01,3.593814e-06,0.00000000000000000000000000000000
OGTPC1,83,5.848035e-02,5.994843e-06,118799.37261451418453361839056015014648
OGTPC1,86,3.419952e-01,5.994843e-06,0.00000000000000000000000000000000
OGTPC1,80,1.000000e-02,5.994843e-06,967.82982709928774056606926023960114
OGTPC1,92,3.245936e-02,1.000000e-05,418625.18979919486446306109428405761719
OGTPC1,72,3.245936e-02,3.593814e-06,7993.66420165702584199607372283935547
OGTPC1,95,1.898235e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC1,79,2.000000e+00,3.593814e-06,0.00000000000000000000000000000000
OGTPC1,93,5.848035e-02,1.000000e-05,229036.04066079671611078083515167236328
OGTPC1,68,1.110095e+00,2.154435e-06,0.00000000000000000000000000000000
OGTPC1,74,1.053610e-01,3.593814e-06,13989.08499357769505877513438463211060
OGTPC1,91,1.801648e-02,1.000000e-05,62453.22252760125411441549658775329590
OGTPC1,85,1.898235e-01,5.994843e-06,6.67342290613997324300044056144543
OGTPC1,88,1.110095e+00,5.994843e-06,0.00000000000000000000000000000000
OGTPC1,94,1.053610e-01,1.000000e-05,5957.87688989548769313842058181762695
OGTPC1,87,6.161550e-01,5.994843e-06,0.00000000000000000000000000000000
OGTPC1,67,6.161550e-01,2.154435e-06,0.00000000000000000000000000000000
OGTPC1,78,1.110095e+00,3.593814e-06,0.00000000000000000000000000000000
OGTPC1,89,2.000000e+00,5.994843e-06,0.00000000000000000000000000000000
OGTPC1,69,2.000000e+00,2.154435e-06,0.00000000000000000000000000000000
OGTPC1,73,5.848035e-02,3.593814e-06,40243.01023249659920111298561096191406
OGTPC1,84,1.053610e-01,5.994843e-06,9464.60095189019375538919121026992798
OGTPC1,64,1.053610e-01,2.154435e-06,7681.56122615337335446383804082870483
OGTPC1,82,3.245936e-02,5.994843e-06,61584.34259584156825440004467964172363
OGTPC1,90,1.000000e-02,1.000000e-05,7493.39894904711400158703327178955078
OGTPC2,11,1.801648e-02,1.668101e-07,0.00483497321064791773376212447033
OGTPC1,96,3.419952e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,15,1.898235e-01,1.668101e-07,2.07794572470723304391526653489564
OGTPC1,97,6.161550e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,0,1.000000e-02,1.000000e-07,0.00007481286658461122726811176609
OGTPC2,23,5.848035e-02,2.782559e-07,1.76991511311289650976164011808578
OGTPC2,20,1.000000e-02,2.782559e-07,0.00448491922895120648934197404856
OGTPC2,5,1.898235e-01,1.000000e-07,0.26743394156848704357187784808048
OGTPC2,13,5.848035e-02,1.668101e-07,0.22859731411711264881247984703805
OGTPC1,98,1.110095e+00,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,18,1.110095e+00,1.668101e-07,0.00280377305010058239242987099260
OGTPC2,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
OGTPC2,1,1.801648e-02,1.000000e-07,0.00062446086448460474526561680975
OGTPC2,8,1.110095e+00,1.000000e-07,0.01833268572017624289949289106971
OGTPC2,16,3.419952e-01,1.668101e-07,3.75944343182123885682699437893461
OGTPC2,3,5.848035e-02,1.000000e-07,0.02952464569958306722652352505065
OGTPC1,99,2.000000e+00,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,14,1.053610e-01,1.668101e-07,0.88219888989993788808163799330941
OGTPC2,2,3.245936e-02,1.000000e-07,0.00478646529784564848247763180211
OGTPC2,7,6.161550e-01,1.000000e-07,0.37753828033003894448782489234873
OGTPC2,4,1.053610e-01,1.000000e-07,0.11390787550282924223132852148410
OGTPC2,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
OGTPC2,26,3.419952e-01,2.782559e-07,18.27315321617207644067093497142196
OGTPC2,27,6.161550e-01,2.782559e-07,1.24220659512081099684621676715324
OGTPC2,21,1.801648e-02,2.782559e-07,0.03743546137964831599376225312881
OGTPC2,24,1.053610e-01,2.782559e-07,6.82740884099544942387183255050331
OGTPC2,12,3.245936e-02,1.668101e-07,0.03705984625596875359221371581953
OGTPC2,6,3.419952e-01,1.000000e-07,0.49946650183325774774445449111226
OGTPC2,17,6.161550e-01,1.668101e-07,0.89297669669193557862030274918652
OGTPC2,25,1.898235e-01,2.782559e-07,16.06068910320013998216381878592074
OGTPC2,10,1.000000e-02,1.668101e-07,0.00057924937014428034848939619295
OGTPC2,22,3.245936e-02,2.782559e-07,0.28675215958733180077189217627165
OGTPC2,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC2,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC2,30,1.000000e-02,4.641589e-07,0.03472506844815486520827718663895
OGTPC2,31,1.801648e-02,4.641589e-07,0.28984888309365658409788579774613
OGTPC2,44,1.053610e-01,7.742637e-07,409.33584768426817390718497335910797
OGTPC2,35,1.898235e-01,4.641589e-07,109.67560186661104637551034102216363
OGTPC2,40,1.000000e-02,7.742637e-07,0.26886373264002300098596265343076
OGTPC2,41,1.801648e-02,7.742637e-07,2.24419126034559068827434202830773
OGTPC2,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC2,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC2,45,1.898235e-01,7.742637e-07,414.86762221582176834999700076878071
OGTPC2,32,3.245936e-02,4.641589e-07,2.22020793907850277904003633011598
OGTPC2,33,5.848035e-02,4.641589e-07,13.70327146168551557536829932359979
OGTPC2,37,6.161550e-01,4.641589e-07,0.23711526365828788920353531466390
OGTPC2,34,1.053610e-01,4.641589e-07,52.80518285895317376343882642686367
OGTPC2,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
OGTPC2,48,1.110095e+00,7.742637e-07,0.00000000000000000000000000000000
OGTPC2,42,3.245936e-02,7.742637e-07,17.20138025008588300579503993503749
OGTPC2,36,3.419952e-01,4.641589e-07,39.76510743864208308195884455926716
OGTPC2,56,3.419952e-01,1.291550e-06,15.09941998377694538646665023406968
OGTPC2,43,5.848035e-02,7.742637e-07,106.12910708942023063627857482060790
OGTPC2,50,1.000000e-02,1.291550e-06,2.08171266976922764158075551677030
OGTPC2,46,3.419952e-01,7.742637e-07,50.53318127885354016370911267586052
OGTPC2,57,6.161550e-01,1.291550e-06,0.00000000000000000000000000000000
OGTPC2,51,1.801648e-02,1.291550e-06,17.37591355871142084765779145527631
OGTPC2,49,2.000000e+00,7.742637e-07,0.00000000000000000000000000000000
OGTPC2,53,5.848035e-02,1.291550e-06,819.97765375954145383730065077543259
OGTPC2,54,1.053610e-01,1.291550e-06,2630.63533061463431295123882591724396
OGTPC2,59,2.000000e+00,1.291550e-06,0.00000000000000000000000000000000
OGTPC2,55,1.898235e-01,1.291550e-06,742.48425608949355591903440654277802
OGTPC2,52,3.245936e-02,1.291550e-06,133.15224412593045144603820517659187
OGTPC2,60,1.000000e-02,2.154435e-06,16.11791901303074325824127299711108
OGTPC2,58,1.110095e+00,1.291550e-06,0.00000000000000000000000000000000
OGTPC2,61,1.801648e-02,2.154435e-06,134.53412238010994883552484679967165
OGTPC2,63,5.848035e-02,2.154435e-06,6314.84154385561851086094975471496582
OGTPC2,62,3.245936e-02,2.154435e-06,1030.99152046890571909898426383733749
OGTPC2,66,3.419952e-01,2.154435e-06,0.00000000000000000000000000000000
OGTPC2,67,6.161550e-01,2.154435e-06,0.00000000000000000000000000000000
OGTPC2,68,1.110095e+00,2.154435e-06,0.00000000000000000000000000000000
OGTPC2,64,1.053610e-01,2.154435e-06,7664.44389400569434656063094735145569
OGTPC2,65,1.898235e-01,2.154435e-06,762.60930131782174612453673034906387
OGTPC2,82,3.245936e-02,5.994843e-06,61454.20541052042244700714945793151855
OGTPC2,71,1.801648e-02,3.593814e-06,1041.62067867661153286462649703025818
OGTPC2,70,1.000000e-02,3.593814e-06,124.79482998968511253679025685414672
OGTPC2,76,3.419952e-01,3.593814e-06,0.00000000000000000000000000000000
OGTPC2,72,3.245936e-02,3.593814e-06,7978.07706829168637341354042291641235
OGTPC2,77,6.161550e-01,3.593814e-06,0.00000000000000000000000000000000
OGTPC2,80,1.000000e-02,5.994843e-06,966.23356833132447718526236712932587
OGTPC2,73,5.848035e-02,3.593814e-06,40190.31506786321551771834492683410645
OGTPC2,74,1.053610e-01,3.593814e-06,13985.70590044483105884864926338195801
OGTPC2,69,2.000000e+00,2.154435e-06,0.00000000000000000000000000000000
OGTPC2,86,3.419952e-01,5.994843e-06,0.00000000000000000000000000000000
OGTPC2,87,6.161550e-01,5.994843e-06,0.00000000000000000000000000000000
OGTPC2,79,2.000000e+00,3.593814e-06,0.00000000000000000000000000000000
OGTPC2,83,5.848035e-02,5.994843e-06,119202.31667460121389012783765792846680
OGTPC2,84,1.053610e-01,5.994843e-06,9462.17579369084342033602297306060791
OGTPC2,75,1.898235e-01,3.593814e-06,395.65881456188179754462908022105694
OGTPC2,81,1.801648e-02,5.994843e-06,8064.26668471546508953906595706939697
OGTPC2,93,5.848035e-02,1.000000e-05,228927.98264334208215586841106414794922
OGTPC2,89,2.000000e+00,5.994843e-06,0.00000000000000000000000000000000
OGTPC2,90,1.000000e-02,1.000000e-05,7481.04065795008500572293996810913086
OGTPC2,91,1.801648e-02,1.000000e-05,62425.29568101207405561581254005432129
OGTPC2,85,1.898235e-01,5.994843e-06,6.67342290613997057846518146106973
OGTPC2,92,3.245936e-02,1.000000e-05,417915.85239701310638338327407836914062
OGTPC2,88,1.110095e+00,5.994843e-06,0.00000000000000000000000000000000
OGTPC2,94,1.053610e-01,1.000000e-05,5939.99279035906783974496647715568542
OGTPC2,78,1.110095e+00,3.593814e-06,0.00000000000000000000000000000000
OGTPC2,95,1.898235e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,97,6.161550e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,99,2.000000e+00,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,98,1.110095e+00,1.000000e-05,0.00000000000000000000000000000000
OGTPC2,96,3.419952e-01,1.000000e-05,0.00000000000000000000000000000000
OGTPC3,0,1.000000e-02,1.000000e-07,0.00007473422967865166015311029213
OGTPC3,1,1.801648e-02,1.000000e-07,0.00062455526561781967657266401162
OGTPC3,3,5.848035e-02,1.000000e-07,0.02947844239331841309503801085157
OGTPC3,2,3.245936e-02,1.000000e-07,0.00479310172093010220667474996503
OGTPC3,7,6.161550e-01,1.000000e-07,0.37763565970678869554433276789496
OGTPC3,8,1.110095e+00,1.000000e-07,0.01837462201467300951240879669513
OGTPC3,6,3.419952e-01,1.000000e-07,0.50080005799510063368984447151888
OGTPC3,12,3.245936e-02,1.668101e-07,0.03711124317428329821844101843453
OGTPC3,4,1.053610e-01,1.000000e-07,0.11349922053479767625194796210053
OGTPC3,15,1.898235e-01,1.668101e-07,2.06094340314735857688788200903218
OGTPC3,14,1.053610e-01,1.668101e-07,0.87903721303263382402803927107016
