Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
ND280UPGRD,46,3.419952e-01,7.742637e-07,39.42185497999273735558745102025568
ND280UPGRD,25,1.898235e-01,2.782559e-07,20.55985068808868376777354569640011
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.00991292289357066820632002901448
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.37004758412812477352815676567843
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.00221601059776140897616958369554
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.00988874629662868029345013098919
ND280UPGRD,23,5.848035e-02,2.782559e-07,3.29619072284311487308627874881495
ND280UPGRD,34,1.053610e-01,4.641589e-07,82.17690343049653733942250255495310
ND280UPGRD,26,3.419952e-01,2.782559e-07,16.76576973296365835608412453439087
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.28867494512429908715134274643788
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.57264506789470759340332506326376
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.07656492304563526640759363317557
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.08220589358744527508360278034161
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.01061729928065692149519172460259
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.00127718047497239403642588229104
ND280UPGRD,42,3.245936e-02,7.742637e-07,35.62327746043209231174841988831758
ND280UPGRD,43,5.848035e-02,7.742637e-07,196.64906092939403947639220859855413
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.59330232686480721682187322585378
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.07675206722317748364581291298236
ND280UPGRD,36,3.419952e-01,4.641589e-07,42.26997186520362959072372177615762
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.17697148708491816648802341660485
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.01019185579123308045546014710681
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.06957076557694950869059624665169
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.00137127727769711113894879339625
ND280UPGRD,24,1.053610e-01,2.782559e-07,10.60385218409819430007701157592237
ND280UPGRD,44,1.053610e-01,7.742637e-07,627.88481084205773186113219708204269
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.63648913628051995150514130727970
ND280UPGRD,35,1.898235e-01,4.641589e-07,138.50180391514675193320726975798607
ND280UPGRD,45,1.898235e-01,7.742637e-07,692.34824574236426997231319546699524
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.34348866251376647396043040316727
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.05498718960369233105245356796331
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.59281438322306756472102051702677
