Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,46,3.419952e-01,7.742637e-07,17.71271830054999085746203490998596
OGTPC1,32,3.245936e-02,4.641589e-07,1.86062615958492605372498474025633
OGTPC1,29,2.000000e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC1,47,6.161550e-01,7.742637e-07,0.00000000000000000000000000000000
OGTPC1,38,1.110095e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC1,19,2.000000e+00,1.668101e-07,0.00000000000000000000000000000000
OGTPC1,9,2.000000e+00,1.000000e-07,0.00000000000000000000000000000000
OGTPC1,28,1.110095e+00,2.782559e-07,0.00000000000000000000000000000000
OGTPC1,39,2.000000e+00,4.641589e-07,0.00000000000000000000000000000000
OGTPC1,7,6.161550e-01,1.000000e-07,0.12950151560207023848647622799035
OGTPC1,10,1.000000e-02,1.668101e-07,0.00049548662854983962361421490073
OGTPC1,26,3.419952e-01,2.782559e-07,8.18157174008262444431238691322505
OGTPC1,21,1.801648e-02,2.782559e-07,0.03144606922887520361609148267235
OGTPC1,37,6.161550e-01,4.641589e-07,0.02389586779426833632045124033993
OGTPC1,2,3.245936e-02,1.000000e-07,0.00400706532466618779025901986302
OGTPC1,40,1.000000e-02,7.742637e-07,0.22998451200765721025298660151748
OGTPC1,8,1.110095e+00,1.000000e-07,0.00297058068312799211652119879545
OGTPC1,20,1.000000e-02,2.782559e-07,0.00383637488263905042373824727520
OGTPC1,41,1.801648e-02,7.742637e-07,1.88499768382510723974121447099606
OGTPC1,17,6.161550e-01,1.668101e-07,0.30476533223419294271749890867795
OGTPC1,35,1.898235e-01,4.641589e-07,76.39004158264201294059603242203593
OGTPC1,30,1.000000e-02,4.641589e-07,0.02970362997606787458515498201450
OGTPC1,3,5.848035e-02,1.000000e-07,0.02463600642047256844557878707747
OGTPC1,34,1.053610e-01,4.641589e-07,42.22347474219691321195568889379501
OGTPC1,31,1.801648e-02,4.641589e-07,0.24347526138752959012911958325276
OGTPC1,11,1.801648e-02,1.668101e-07,0.00406111305021583483820801774300
OGTPC1,27,6.161550e-01,2.782559e-07,0.33965878127446630374564051635389
OGTPC1,24,1.053610e-01,2.782559e-07,5.47823272499040569982753368094563
OGTPC1,33,5.848035e-02,4.641589e-07,11.43045120210058662735264078946784
OGTPC1,18,1.110095e+00,1.668101e-07,0.00015309806937839311657620355867
OGTPC1,44,1.053610e-01,7.742637e-07,326.07050721890601607810822315514088
OGTPC1,42,3.245936e-02,7.742637e-07,14.40040660555897922279200429329649
OGTPC1,45,1.898235e-01,7.742637e-07,261.99315760286219756380887702107430
OGTPC1,12,3.245936e-02,1.668101e-07,0.03102524372918019981981707644536
OGTPC1,23,5.848035e-02,2.782559e-07,1.47652982657354070461508399603190
OGTPC1,4,1.053610e-01,1.000000e-07,0.09142598112104749485951060705702
OGTPC1,1,1.801648e-02,1.000000e-07,0.00052455189045721528715710002544
OGTPC1,6,3.419952e-01,1.000000e-07,0.26144523366184652113375364024250
OGTPC1,15,1.898235e-01,1.668101e-07,1.54099784966552322273969366506208
OGTPC1,13,5.848035e-02,1.668101e-07,0.19068257044625944174320864021865
OGTPC1,16,3.419952e-01,1.668101e-07,1.95325459166006942801629975292599
OGTPC1,22,3.245936e-02,2.782559e-07,0.24031017995033257528270098646317
OGTPC1,36,3.419952e-01,4.641589e-07,17.42698092598241998985031386837363
OGTPC1,25,1.898235e-01,2.782559e-07,11.75244292539623280902105761924759
