Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,29,2.000000e+00,2.782559e-07,0.000000
OGTPC1,38,1.110095e+00,4.641589e-07,0.000000
OGTPC1,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,39,2.000000e+00,4.641589e-07,0.000000
OGTPC1,28,1.110095e+00,2.782559e-07,0.000000
OGTPC1,47,6.161550e-01,7.742637e-07,0.000000
OGTPC1,48,1.110095e+00,7.742637e-07,0.000000
OGTPC1,49,2.000000e+00,7.742637e-07,0.000000
OGTPC1,46,3.419952e-01,7.742637e-07,17.695891
OGTPC1,36,3.419952e-01,4.641589e-07,17.371563
OGTPC1,57,6.161550e-01,1.291550e-06,0.000000
OGTPC1,59,2.000000e+00,1.291550e-06,0.000000
OGTPC1,58,1.110095e+00,1.291550e-06,0.000000
OGTPC1,18,1.110095e+00,1.668101e-07,0.000153
OGTPC1,37,6.161550e-01,4.641589e-07,0.023895
OGTPC1,8,1.110095e+00,1.000000e-07,0.002966
OGTPC1,17,6.161550e-01,1.668101e-07,0.303942
OGTPC1,56,3.419952e-01,1.291550e-06,3.157454
OGTPC1,27,6.161550e-01,2.782559e-07,0.339289
OGTPC1,6,3.419952e-01,1.000000e-07,0.260739
OGTPC1,5,1.898235e-01,1.000000e-07,0.197578
OGTPC1,7,6.161550e-01,1.000000e-07,0.129086
OGTPC1,66,3.419952e-01,2.154435e-06,0.000000
OGTPC1,16,3.419952e-01,1.668101e-07,1.946399
OGTPC1,67,6.161550e-01,2.154435e-06,0.000000
OGTPC1,68,1.110095e+00,2.154435e-06,0.000000
OGTPC1,69,2.000000e+00,2.154435e-06,0.000000
OGTPC1,25,1.898235e-01,2.782559e-07,11.667120
OGTPC1,26,3.419952e-01,2.782559e-07,8.146636
OGTPC1,45,1.898235e-01,7.742637e-07,258.862339
OGTPC1,76,3.419952e-01,3.593814e-06,0.000000
OGTPC1,77,6.161550e-01,3.593814e-06,0.000000
OGTPC1,78,1.110095e+00,3.593814e-06,0.000000
OGTPC1,79,2.000000e+00,3.593814e-06,0.000000
OGTPC1,15,1.898235e-01,1.668101e-07,1.529672
OGTPC1,35,1.898235e-01,4.641589e-07,75.655933
OGTPC1,55,1.898235e-01,1.291550e-06,417.170173
OGTPC1,85,1.898235e-01,5.994843e-06,0.000000
OGTPC1,4,1.053610e-01,1.000000e-07,0.089727
OGTPC1,86,3.419952e-01,5.994843e-06,0.000000
OGTPC1,87,6.161550e-01,5.994843e-06,0.000000
OGTPC1,88,1.110095e+00,5.994843e-06,0.000000
OGTPC1,89,2.000000e+00,5.994843e-06,0.000000
OGTPC1,24,1.053610e-01,2.782559e-07,5.376776
OGTPC1,22,3.245936e-02,2.782559e-07,0.231962
OGTPC1,65,1.898235e-01,2.154435e-06,274.558131
OGTPC1,44,1.053610e-01,7.742637e-07,320.080592
OGTPC1,34,1.053610e-01,4.641589e-07,41.446563
OGTPC1,14,1.053610e-01,1.668101e-07,0.694666
OGTPC1,95,1.898235e-01,1.000000e-05,0.000000
OGTPC1,96,3.419952e-01,1.000000e-05,0.000000
OGTPC1,97,6.161550e-01,1.000000e-05,0.000000
OGTPC1,98,1.110095e+00,1.000000e-05,0.000000
OGTPC1,99,2.000000e+00,1.000000e-05,0.000000
OGTPC1,75,1.898235e-01,3.593814e-06,76.228039
OGTPC1,54,1.053610e-01,1.291550e-06,1968.310200
OGTPC1,23,5.848035e-02,2.782559e-07,1.431776
OGTPC1,50,1.000000e-02,1.291550e-06,1.716011
OGTPC1,13,5.848035e-02,1.668101e-07,0.184914
OGTPC1,33,5.848035e-02,4.641589e-07,11.084680
OGTPC1,3,5.848035e-02,1.000000e-07,0.023890
OGTPC1,84,1.053610e-01,5.994843e-06,4469.379930
OGTPC1,61,1.801648e-02,2.154435e-06,108.992115
OGTPC1,43,5.848035e-02,7.742637e-07,85.811194
OGTPC2,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,21,1.801648e-02,2.782559e-07,0.030328
OGTPC1,32,3.245936e-02,4.641589e-07,1.795988
OGTPC1,12,3.245936e-02,1.668101e-07,0.029949
OGTPC1,53,5.848035e-02,1.291550e-06,664.391204
OGTPC1,30,1.000000e-02,4.641589e-07,0.028625
OGTPC1,42,3.245936e-02,7.742637e-07,13.901001
OGTPC1,2,3.245936e-02,1.000000e-07,0.003868
OGTPC1,52,3.245936e-02,1.291550e-06,107.659322
OGTPC1,40,1.000000e-02,7.742637e-07,0.221631
OGTPC1,41,1.801648e-02,7.742637e-07,1.818043
OGTPC1,11,1.801648e-02,1.668101e-07,0.003917
OGTPC2,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,1,1.801648e-02,1.000000e-07,0.000506
OGTPC1,10,1.000000e-02,1.668101e-07,0.000477
