Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,9,2.000000e+00,1.000000e-07,0.000300
OGTPC1,19,2.000000e+00,1.668101e-07,0.001261
OGTPC1,29,2.000000e+00,2.782559e-07,0.004221
OGTPC1,39,2.000000e+00,4.641589e-07,0.012595
OGTPC1,37,6.161550e-01,4.641589e-07,3.726239
OGTPC1,47,6.161550e-01,7.742637e-07,16.700743
OGTPC1,27,6.161550e-01,2.782559e-07,4.419880
OGTPC1,18,1.110095e+00,1.668101e-07,0.041886
OGTPC1,6,3.419952e-01,1.000000e-07,1.643986
OGTPC1,28,1.110095e+00,2.782559e-07,0.202307
OGTPC1,38,1.110095e+00,4.641589e-07,0.856960
OGTPC1,46,3.419952e-01,7.742637e-07,196.889000
OGTPC1,17,6.161550e-01,1.668101e-07,3.069103
OGTPC1,7,6.161550e-01,1.000000e-07,1.287593
OGTPC1,16,3.419952e-01,1.668101e-07,12.768309
OGTPC1,36,3.419952e-01,4.641589e-07,133.397992
OGTPC1,8,1.110095e+00,1.000000e-07,0.062295
OGTPC1,26,3.419952e-01,2.782559e-07,57.585691
OGTPC1,5,1.898235e-01,1.000000e-07,0.868622
OGTPC1,25,1.898235e-01,2.782559e-07,52.360895
OGTPC1,15,1.898235e-01,1.668101e-07,6.730868
OGTPC1,49,2.000000e+00,7.742637e-07,0.032623
OGTPC1,35,1.898235e-01,4.641589e-07,355.089378
OGTPC1,45,1.898235e-01,7.742637e-07,1351.656179
OGTPC1,48,1.110095e+00,7.742637e-07,2.758977
OGTPC1,59,2.000000e+00,1.291550e-06,0.087591
OGTPC1,57,6.161550e-01,1.291550e-06,70.031939
OGTPC1,56,3.419952e-01,1.291550e-06,262.350778
OGTPC1,58,1.110095e+00,1.291550e-06,7.672175
OGTPC1,4,1.053610e-01,1.000000e-07,0.364667
OGTPC1,44,1.053610e-01,7.742637e-07,1304.290239
OGTPC1,14,1.053610e-01,1.668101e-07,2.823791
OGTPC1,34,1.053610e-01,4.641589e-07,168.998475
OGTPC1,24,1.053610e-01,2.782559e-07,21.850270
OGTPC1,69,2.000000e+00,2.154435e-06,0.248715
OGTPC1,67,6.161550e-01,2.154435e-06,215.625951
OGTPC1,66,3.419952e-01,2.154435e-06,1055.885122
OGTPC1,68,1.110095e+00,2.154435e-06,20.627867
OGTPC1,65,1.898235e-01,2.154435e-06,3637.266195
OGTPC1,55,1.898235e-01,1.291550e-06,2528.957787
OGTPC1,3,5.848035e-02,1.000000e-07,0.092200
OGTPC1,33,5.848035e-02,4.641589e-07,42.577433
OGTPC1,13,5.848035e-02,1.668101e-07,0.713950
OGTPC1,43,5.848035e-02,7.742637e-07,331.294573
OGTPC1,23,5.848035e-02,2.782559e-07,5.527215
OGTPC1,87,6.161550e-01,5.994843e-06,3.853664
OGTPC1,79,2.000000e+00,3.593814e-06,0.692069
OGTPC1,76,3.419952e-01,3.593814e-06,980.566221
OGTPC1,50,1.000000e-02,1.291550e-06,2.022644
OGTPC1,73,5.848035e-02,3.593814e-06,39340.287707
OGTPC1,31,1.801648e-02,4.641589e-07,0.283483
OGTPC1,42,3.245936e-02,7.742637e-07,16.543749
OGTPC1,53,5.848035e-02,1.291550e-06,798.179625
OGTPC1,77,6.161550e-01,3.593814e-06,8.886919
OGTPC1,95,1.898235e-01,1.000000e-05,20466.331366
OGTPC1,96,3.419952e-01,1.000000e-05,1260.410036
OGTPC1,86,3.419952e-01,5.994843e-06,1475.908743
OGTPC1,97,6.161550e-01,1.000000e-05,10.722995
OGTPC1,72,3.245936e-02,3.593814e-06,7673.984998
OGTPC1,94,1.053610e-01,1.000000e-05,64015.710617
OGTPC2,1,1.801648e-02,1.000000e-07,0.000611
OGTPC1,85,1.898235e-01,5.994843e-06,9530.791286
OGTPC2,15,1.898235e-01,1.668101e-07,2.200162
OGTPC2,12,3.245936e-02,1.668101e-07,0.035588
OGTPC1,61,1.801648e-02,2.154435e-06,131.577741
OGTPC2,14,1.053610e-01,1.668101e-07,0.869663
OGTPC2,0,1.000000e-02,1.000000e-07,0.000073
OGTPC1,13,5.848035e-02,1.668101e-07,0.221857
OGTPC2,10,1.000000e-02,1.668101e-07,0.000562
OGTPC2,16,3.419952e-01,1.668101e-07,3.724883
OGTPC1,75,1.898235e-01,3.593814e-06,2819.784306
OGTPC2,18,1.110095e+00,1.668101e-07,0.015536
OGTPC2,19,2.000000e+00,1.668101e-07,0.000339
OGTPC1,33,5.848035e-02,4.641589e-07,13.115222
OGTPC1,80,1.000000e-02,5.994843e-06,938.798201
OGTPC1,0,1.000000e-02,1.000000e-07,0.000073
OGTPC2,20,1.000000e-02,2.782559e-07,0.004354
OGTPC2,26,3.419952e-01,2.782559e-07,17.549458
OGTPC2,21,1.801648e-02,2.782559e-07,0.036635
OGTPC2,24,1.053610e-01,2.782559e-07,6.728726
OGTPC2,22,3.245936e-02,2.782559e-07,0.275543
OGTPC2,27,6.161550e-01,2.782559e-07,1.422445
OGTPC1,11,1.801648e-02,1.668101e-07,0.004729
OGTPC1,60,1.000000e-02,2.154435e-06,15.660396
OGTPC2,2,3.245936e-02,1.000000e-07,0.004596
OGTPC2,23,5.848035e-02,2.782559e-07,1.722092
OGTPC1,41,1.801648e-02,7.742637e-07,2.194899
OGTPC1,30,1.000000e-02,4.641589e-07,0.033740
OGTPC1,91,1.801648e-02,1.000000e-05,61071.436928
OGTPC1,22,3.245936e-02,2.782559e-07,0.275977
OGTPC1,84,1.053610e-01,5.994843e-06,18689.140686
OGTPC1,74,1.053610e-01,3.593814e-06,15018.469988
OGTPC1,43,5.848035e-02,7.742637e-07,102.897278
OGTPC2,32,3.245936e-02,4.641589e-07,2.133410
OGTPC1,54,1.053610e-01,1.291550e-06,2594.177087
OGTPC2,38,1.110095e+00,4.641589e-07,0.276557
OGTPC2,33,5.848035e-02,4.641589e-07,13.132967
OGTPC1,20,1.000000e-02,2.782559e-07,0.004358
OGTPC2,35,1.898235e-01,4.641589e-07,110.815584
OGTPC1,63,5.848035e-02,2.154435e-06,6111.337959
OGTPC2,39,2.000000e+00,4.641589e-07,0.000565
OGTPC2,34,1.053610e-01,4.641589e-07,52.261773
OGTPC2,30,1.000000e-02,4.641589e-07,0.033708
OGTPC1,83,5.848035e-02,5.994843e-06,116171.059917
OGTPC2,31,1.801648e-02,4.641589e-07,0.283650
OGTPC1,10,1.000000e-02,1.668101e-07,0.000563
OGTPC1,62,3.245936e-02,2.154435e-06,991.836579
OGTPC2,46,3.419952e-01,7.742637e-07,59.055017
OGTPC2,48,1.110095e+00,7.742637e-07,0.450647
OGTPC1,77,6.161550e-01,3.593814e-06,599.420298
OGTPC1,81,1.801648e-02,5.994843e-06,7890.806547
OGTPC1,12,3.245936e-02,1.668101e-07,0.035644
OGTPC1,40,1.000000e-02,7.742637e-07,0.261232
OGTPC1,64,1.053610e-01,2.154435e-06,7945.878018
OGTPC1,2,3.245936e-02,1.000000e-07,0.004604
OGTPC2,57,6.161550e-01,1.291550e-06,22.595824
OGTPC1,52,3.245936e-02,1.291550e-06,128.169146
OGTPC1,2,3.245936e-02,1.000000e-07,0.014924
OGTPC1,3,5.848035e-02,1.000000e-07,0.028654
OGTPC1,21,1.801648e-02,2.782559e-07,0.036613
OGTPC1,76,3.419952e-01,3.593814e-06,4166.274684
OGTPC1,90,1.000000e-02,1.000000e-05,7268.344721
OGTPC1,70,1.000000e-02,3.593814e-06,121.252166
OGTPC2,55,1.898235e-01,1.291550e-06,789.230891
OGTPC1,23,5.848035e-02,2.782559e-07,1.717740
OGTPC2,17,6.161550e-01,1.668101e-07,0.954876
OGTPC1,51,1.801648e-02,1.291550e-06,16.994215
OGTPC1,32,3.245936e-02,4.641589e-07,2.136748
OGTPC2,67,6.161550e-01,2.154435e-06,31.441531
OGTPC1,32,3.245936e-02,4.641589e-07,6.927152
OGTPC2,6,3.419952e-01,1.000000e-07,0.480111
OGTPC2,54,1.053610e-01,1.291550e-06,2581.726025
OGTPC2,50,1.000000e-02,1.291550e-06,2.020724
OGTPC2,53,5.848035e-02,1.291550e-06,800.076322
OGTPC2,25,1.898235e-01,2.782559e-07,17.108170
OGTPC1,42,3.245936e-02,7.742637e-07,53.633396
OGTPC1,12,3.245936e-02,1.668101e-07,0.115553
OGTPC1,22,3.245936e-02,2.782559e-07,0.894683
OGTPC1,71,1.801648e-02,3.593814e-06,1018.687770
OGTPC2,60,1.000000e-02,2.154435e-06,15.645692
OGTPC1,1,1.801648e-02,1.000000e-07,0.000611
OGTPC1,78,1.110095e+00,3.593814e-06,59.299509
OGTPC1,11,1.801648e-02,1.668101e-07,0.014960
OGTPC1,1,1.801648e-02,1.000000e-07,0.001932
OGTPC1,31,1.801648e-02,4.641589e-07,0.896826
OGTPC1,41,1.801648e-02,7.742637e-07,6.943856
OGTPC1,21,1.801648e-02,2.782559e-07,0.115830
OGTPC1,30,1.000000e-02,4.641589e-07,0.107839
OGTPC1,0,1.000000e-02,1.000000e-07,0.000232
OGTPC1,20,1.000000e-02,2.782559e-07,0.013929
OGTPC1,40,1.000000e-02,7.742637e-07,0.834956
OGTPC1,10,1.000000e-02,1.668101e-07,0.001799
OGTPC1,54,1.053610e-01,1.291550e-06,8278.102393
OGTPC1,75,1.898235e-01,3.593814e-06,8207.640394
OGTPC1,89,2.000000e+00,5.994843e-06,1.815627
OGTPC1,87,6.161550e-01,5.994843e-06,1666.037197
OGTPC1,86,3.419952e-01,5.994843e-06,12850.129281
OGTPC1,64,1.053610e-01,2.154435e-06,25583.079853
