Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,15,1.898235e-01,1.668101e-07,0.828640
OGTPC1,9,2.000000e+00,1.000000e-07,0.000003
OGTPC1,19,2.000000e+00,1.668101e-07,0.000029
OGTPC1,29,2.000000e+00,2.782559e-07,0.000025
OGTPC1,47,6.161550e-01,7.742637e-07,1.243348
OGTPC1,27,6.161550e-01,2.782559e-07,0.209262
OGTPC1,17,6.161550e-01,1.668101e-07,0.152178
OGTPC1,46,3.419952e-01,7.742637e-07,11.258196
OGTPC1,7,6.161550e-01,1.000000e-07,0.071384
OGTPC1,5,1.898235e-01,1.000000e-07,0.106293
OGTPC1,6,3.419952e-01,1.000000e-07,0.145201
OGTPC1,36,3.419952e-01,4.641589e-07,10.513404
OGTPC1,28,1.110095e+00,2.782559e-07,0.008382
OGTPC1,37,6.161550e-01,4.641589e-07,0.260763
OGTPC1,30,1.000000e-02,4.641589e-07,0.015656
OGTPC1,38,1.110095e+00,4.641589e-07,0.030408
OGTPC1,26,3.419952e-01,2.782559e-07,4.282208
OGTPC1,48,1.110095e+00,7.742637e-07,0.016485
OGTPC1,25,1.898235e-01,2.782559e-07,6.337198
OGTPC1,18,1.110095e+00,1.668101e-07,0.001723
OGTPC1,8,1.110095e+00,1.000000e-07,0.001933
OGTPC1,16,3.419952e-01,1.668101e-07,1.043300
OGTPC1,35,1.898235e-01,4.641589e-07,38.541060
OGTPC1,10,1.000000e-02,1.668101e-07,0.000261
OGTPC1,21,1.801648e-02,2.782559e-07,0.016082
OGTPC1,45,1.898235e-01,7.742637e-07,140.699798
OGTPC1,34,1.053610e-01,4.641589e-07,21.618758
OGTPC1,4,1.053610e-01,1.000000e-07,0.046760
OGTPC1,24,1.053610e-01,2.782559e-07,2.804737
OGTPC1,3,5.848035e-02,1.000000e-07,0.012612
OGTPC1,14,1.053610e-01,1.668101e-07,0.362026
OGTPC1,43,5.848035e-02,7.742637e-07,45.305522
OGTPC1,44,1.053610e-01,7.742637e-07,167.488240
