Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,6,3.419952e-01,1.000000e-07,0.236288
OGTPC1,35,1.898235e-01,4.641589e-07,54.267523
OGTPC1,39,2.000000e+00,4.641589e-07,0.000187
OGTPC1,19,2.000000e+00,1.668101e-07,0.000196
OGTPC1,47,6.161550e-01,7.742637e-07,3.150353
OGTPC1,12,3.245936e-02,1.668101e-07,0.018493
OGTPC1,22,3.245936e-02,2.782559e-07,0.143185
OGTPC1,8,1.110095e+00,1.000000e-07,0.007587
OGTPC1,29,2.000000e+00,2.782559e-07,0.000182
OGTPC1,37,6.161550e-01,4.641589e-07,0.733561
OGTPC1,7,6.161550e-01,1.000000e-07,0.230883
OGTPC1,9,2.000000e+00,1.000000e-07,0.000061
OGTPC1,28,1.110095e+00,2.782559e-07,0.041990
OGTPC1,18,1.110095e+00,1.668101e-07,0.007569
OGTPC1,33,5.848035e-02,4.641589e-07,6.939121
OGTPC1,43,5.848035e-02,7.742637e-07,54.102584
OGTPC1,17,6.161550e-01,1.668101e-07,0.498417
OGTPC1,46,3.419952e-01,7.742637e-07,30.196136
OGTPC1,27,6.161550e-01,2.782559e-07,0.766450
OGTPC1,38,1.110095e+00,4.641589e-07,0.131362
OGTPC1,16,3.419952e-01,1.668101e-07,1.913604
OGTPC1,40,1.000000e-02,7.742637e-07,0.135470
OGTPC1,10,1.000000e-02,1.668101e-07,0.000292
OGTPC1,5,1.898235e-01,1.000000e-07,0.150666
OGTPC1,26,3.419952e-01,2.782559e-07,9.154156
OGTPC1,36,3.419952e-01,4.641589e-07,18.522706
OGTPC1,25,1.898235e-01,2.782559e-07,9.133500
OGTPC1,34,1.053610e-01,4.641589e-07,28.368250
OGTPC1,15,1.898235e-01,1.668101e-07,1.168507
OGTPC1,44,1.053610e-01,7.742637e-07,220.345905
OGTPC1,30,1.000000e-02,4.641589e-07,0.017497
OGTPC1,13,5.848035e-02,1.668101e-07,0.116472
OGTPC1,45,1.898235e-01,7.742637e-07,220.368283
OGTPC1,23,5.848035e-02,2.782559e-07,0.901795
OGTPC1,24,1.053610e-01,2.782559e-07,3.660485
OGTPC1,14,1.053610e-01,1.668101e-07,0.472864
OGTPC1,4,1.053610e-01,1.000000e-07,0.061076
OGTPC1,32,3.245936e-02,4.641589e-07,1.108623
OGTPC1,31,1.801648e-02,4.641589e-07,0.151800
OGTPC1,1,1.801648e-02,1.000000e-07,0.000327
OGTPC1,2,3.245936e-02,1.000000e-07,0.002388
OGTPC1,48,1.110095e+00,7.742637e-07,0.153244
OGTPC1,11,1.801648e-02,1.668101e-07,0.002532
OGTPC1,41,1.801648e-02,7.742637e-07,1.175331
OGTPC1,3,5.848035e-02,1.000000e-07,0.015043
OGTPC1,20,1.000000e-02,2.782559e-07,0.002260
OGTPC1,42,3.245936e-02,7.742637e-07,8.583500
OGTPC1,0,1.000000e-02,1.000000e-07,0.000038
OGTPC1,21,1.801648e-02,2.782559e-07,0.019606
