Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,6,3.419952e-01,1.000000e-07,4.287817
ND280UPGRD,7,6.161550e-01,1.000000e-07,3.373453
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.199806
ND280UPGRD,15,1.898235e-01,1.668101e-07,15.395347
ND280UPGRD,5,1.898235e-01,1.000000e-07,1.973052
ND280UPGRD,14,1.053610e-01,1.668101e-07,6.873981
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.887934
ND280UPGRD,16,3.419952e-01,1.668101e-07,31.314217
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000530
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.264879
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.052733
ND280UPGRD,13,5.848035e-02,1.668101e-07,2.056322
ND280UPGRD,17,6.161550e-01,1.668101e-07,10.225050
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.349580
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000735
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.045150
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.048410
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.005683
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.006252
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.001262
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.094589
ND280UPGRD,27,6.161550e-01,2.782559e-07,13.861908
ND280UPGRD,26,3.419952e-01,2.782559e-07,171.864412
ND280UPGRD,25,1.898235e-01,2.782559e-07,118.109370
ND280UPGRD,24,1.053610e-01,2.782559e-07,53.201575
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.044005
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.374797
ND280UPGRD,34,1.053610e-01,4.641589e-07,411.830477
ND280UPGRD,22,3.245936e-02,2.782559e-07,2.706743
ND280UPGRD,23,5.848035e-02,2.782559e-07,15.920849
ND280UPGRD,37,6.161550e-01,4.641589e-07,5.167797
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.002852
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.301442
ND280UPGRD,36,3.419952e-01,4.641589e-07,443.814201
ND280UPGRD,35,1.898235e-01,4.641589e-07,868.903247
ND280UPGRD,33,5.848035e-02,4.641589e-07,123.252499
ND280UPGRD,32,3.245936e-02,4.641589e-07,21.091729
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.340711
ND280UPGRD,31,1.801648e-02,4.641589e-07,2.901824
ND280UPGRD,47,6.161550e-01,7.742637e-07,9.489618
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.010591
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.898907
ND280UPGRD,46,3.419952e-01,7.742637e-07,642.628437
ND280UPGRD,45,1.898235e-01,7.742637e-07,4044.604725
ND280UPGRD,44,1.053610e-01,7.742637e-07,3203.718449
ND280UPGRD,40,1.000000e-02,7.742637e-07,2.637916
TPC2,6,3.419952e-01,1.000000e-07,4.427486
TPC2,5,1.898235e-01,1.000000e-07,1.932269
ND280UPGRD,43,5.848035e-02,7.742637e-07,953.810302
ND280UPGRD,41,1.801648e-02,7.742637e-07,22.469073
TPC2,7,6.161550e-01,1.000000e-07,3.486550
TPC2,8,1.110095e+00,1.000000e-07,0.190475
ND280UPGRD,42,3.245936e-02,7.742637e-07,162.257989
TPC2,9,2.000000e+00,1.000000e-07,0.000101
TPC2,4,1.053610e-01,1.000000e-07,0.852258
TPC2,3,5.848035e-02,1.000000e-07,0.258665
TPC2,0,1.000000e-02,1.000000e-07,0.000765
TPC2,1,1.801648e-02,1.000000e-07,0.006187
TPC2,19,2.000000e+00,1.668101e-07,0.000337
