Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,39,2.000000e+00,4.641589e-07,0.012595
OGTPC1,29,2.000000e+00,2.782559e-07,0.004221
OGTPC1,19,2.000000e+00,1.668101e-07,0.001261
OGTPC1,9,2.000000e+00,1.000000e-07,0.000259
OGTPC1,36,3.419952e-01,4.641589e-07,129.758577
OGTPC1,28,1.110095e+00,2.782559e-07,0.197404
OGTPC1,47,6.161550e-01,7.742637e-07,17.167191
OGTPC1,38,1.110095e+00,4.641589e-07,0.857284
OGTPC1,37,6.161550e-01,4.641589e-07,3.726239
OGTPC1,5,1.898235e-01,1.000000e-07,0.868562
OGTPC1,17,6.161550e-01,1.668101e-07,3.069103
OGTPC1,6,3.419952e-01,1.000000e-07,1.624937
OGTPC1,27,6.161550e-01,2.782559e-07,4.671033
OGTPC1,46,3.419952e-01,7.742637e-07,197.248124
OGTPC1,18,1.110095e+00,1.668101e-07,0.041853
OGTPC1,57,6.161550e-01,1.291550e-06,70.477851
OGTPC1,26,3.419952e-01,2.782559e-07,59.310175
OGTPC1,8,1.110095e+00,1.000000e-07,0.062295
OGTPC1,7,6.161550e-01,1.000000e-07,1.273571
OGTPC1,16,3.419952e-01,1.668101e-07,12.817157
OGTPC1,48,1.110095e+00,7.742637e-07,2.699325
OGTPC1,25,1.898235e-01,2.782559e-07,52.377366
OGTPC1,15,1.898235e-01,1.668101e-07,6.717052
OGTPC1,49,2.000000e+00,7.742637e-07,0.033213
OGTPC1,35,1.898235e-01,4.641589e-07,356.364767
OGTPC1,68,1.110095e+00,2.154435e-06,20.626024
OGTPC1,23,5.848035e-02,2.782559e-07,5.522064
OGTPC1,45,1.898235e-01,7.742637e-07,1350.318189
OGTPC1,63,5.848035e-02,2.154435e-06,19765.572843
OGTPC1,59,2.000000e+00,1.291550e-06,0.087591
OGTPC1,34,1.053610e-01,4.641589e-07,167.818782
OGTPC1,24,1.053610e-01,2.782559e-07,21.716071
OGTPC1,69,2.000000e+00,2.154435e-06,0.280109
OGTPC1,56,3.419952e-01,1.291550e-06,261.763762
OGTPC1,75,1.898235e-01,3.593814e-06,8207.556719
OGTPC1,76,3.419952e-01,3.593814e-06,4114.909829
OGTPC1,58,1.110095e+00,1.291550e-06,7.552952
OGTPC1,14,1.053610e-01,1.668101e-07,2.806234
OGTPC1,44,1.053610e-01,7.742637e-07,1298.577909
OGTPC1,67,6.161550e-01,2.154435e-06,217.017216
OGTPC1,66,3.419952e-01,2.154435e-06,1043.605952
OGTPC1,4,1.053610e-01,1.000000e-07,0.362422
OGTPC1,74,1.053610e-01,3.593814e-06,47334.340107
OGTPC1,73,5.848035e-02,3.593814e-06,125715.534176
OGTPC1,55,1.898235e-01,1.291550e-06,2568.004665
OGTPC1,65,1.898235e-01,2.154435e-06,3668.219084
OGTPC1,79,2.000000e+00,3.593814e-06,0.802272
OGTPC1,3,5.848035e-02,1.000000e-07,0.092117
OGTPC1,13,5.848035e-02,1.668101e-07,0.713292
OGTPC1,89,2.000000e+00,5.994843e-06,1.815627
OGTPC1,77,6.161550e-01,3.593814e-06,603.372754
OGTPC1,1,1.801648e-02,1.000000e-07,0.001932
OGTPC1,32,3.245936e-02,4.641589e-07,6.936459
OGTPC1,83,5.848035e-02,5.994843e-06,374896.028752
OGTPC1,22,3.245936e-02,2.782559e-07,0.895885
OGTPC1,82,3.245936e-02,5.994843e-06,191877.061810
OGTPC1,33,5.848035e-02,4.641589e-07,42.753221
OGTPC1,78,1.110095e+00,3.593814e-06,58.523747
OGTPC1,43,5.848035e-02,7.742637e-07,331.048058
OGTPC1,2,3.245936e-02,1.000000e-07,0.014944
OGTPC1,20,1.000000e-02,2.782559e-07,0.013980
OGTPC1,42,3.245936e-02,7.742637e-07,53.706026
OGTPC1,0,1.000000e-02,1.000000e-07,0.000233
OGTPC1,21,1.801648e-02,2.782559e-07,0.115809
OGTPC1,11,1.801648e-02,1.668101e-07,0.014957
OGTPC1,31,1.801648e-02,4.641589e-07,0.896669
OGTPC1,87,6.161550e-01,5.994843e-06,1676.983952
OGTPC1,88,1.110095e+00,5.994843e-06,160.010602
OGTPC1,86,3.419952e-01,5.994843e-06,12721.699979
OGTPC1,10,1.000000e-02,1.668101e-07,0.001804
OGTPC1,12,3.245936e-02,1.668101e-07,0.115708
OGTPC1,90,1.000000e-02,1.000000e-05,23292.345111
OGTPC1,41,1.801648e-02,7.742637e-07,6.943335
OGTPC1,30,1.000000e-02,4.641589e-07,0.108237
OGTPC1,91,1.801648e-02,1.000000e-05,193059.752056
OGTPC1,54,1.053610e-01,1.291550e-06,8306.079245
OGTPC1,40,1.000000e-02,7.742637e-07,0.837161
OGTPC2,19,2.000000e+00,1.668101e-07,0.001342
OGTPC1,99,2.000000e+00,1.000000e-05,5.720455
OGTPC1,85,1.898235e-01,5.994843e-06,31097.159081
OGTPC1,64,1.053610e-01,2.154435e-06,25284.392527
OGTPC1,96,3.419952e-01,1.000000e-05,35827.926880
OGTPC2,3,5.848035e-02,1.000000e-07,0.091935
OGTPC2,25,1.898235e-01,2.782559e-07,52.369115
OGTPC1,51,1.801648e-02,1.291550e-06,53.752364
OGTPC2,1,1.801648e-02,1.000000e-07,0.001932
OGTPC1,53,5.848035e-02,1.291550e-06,2561.673832
OGTPC1,61,1.801648e-02,2.154435e-06,416.182215
OGTPC2,9,2.000000e+00,1.000000e-07,0.000322
OGTPC1,97,6.161550e-01,1.000000e-05,4682.085505
OGTPC2,6,3.419952e-01,1.000000e-07,1.639795
OGTPC1,52,3.245936e-02,1.291550e-06,415.824818
OGTPC1,98,1.110095e+00,1.000000e-05,455.009331
OGTPC1,50,1.000000e-02,1.291550e-06,6.482031
OGTPC1,95,1.898235e-01,1.000000e-05,110942.865563
OGTPC2,29,2.000000e+00,2.782559e-07,0.004505
OGTPC2,7,6.161550e-01,1.000000e-07,1.280727
OGTPC1,62,3.245936e-02,2.154435e-06,3219.219287
OGTPC2,18,1.110095e+00,1.668101e-07,0.044246
OGTPC2,16,3.419952e-01,1.668101e-07,12.703740
OGTPC2,17,6.161550e-01,1.668101e-07,3.088026
OGTPC2,8,1.110095e+00,1.000000e-07,0.062715
OGTPC2,22,3.245936e-02,2.782559e-07,0.893637
OGTPC1,70,1.000000e-02,3.593814e-06,388.572208
OGTPC1,84,1.053610e-01,5.994843e-06,58248.102708
OGTPC2,27,6.161550e-01,2.782559e-07,4.439269
OGTPC2,5,1.898235e-01,1.000000e-07,0.867564
OGTPC1,60,1.000000e-02,2.154435e-06,50.186824
OGTPC2,15,1.898235e-01,1.668101e-07,6.717704
OGTPC2,28,1.110095e+00,2.782559e-07,0.218577
OGTPC1,71,1.801648e-02,3.593814e-06,3222.189541
OGTPC2,33,5.848035e-02,4.641589e-07,42.452151
OGTPC1,94,1.053610e-01,1.000000e-05,183189.419825
OGTPC2,30,1.000000e-02,4.641589e-07,0.107761
OGTPC2,31,1.801648e-02,4.641589e-07,0.896570
OGTPC2,37,6.161550e-01,4.641589e-07,3.853620
OGTPC2,39,2.000000e+00,4.641589e-07,0.013415
OGTPC2,26,3.419952e-01,2.782559e-07,57.534204
OGTPC1,72,3.245936e-02,3.593814e-06,24907.512553
OGTPC2,59,2.000000e+00,1.291550e-06,0.097725
OGTPC2,36,3.419952e-01,4.641589e-07,133.418762
