Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,29,2.000000e+00,2.782559e-07,0.002852
OGTPC1,27,6.161550e-01,2.782559e-07,1.296772
OGTPC1,39,2.000000e+00,4.641589e-07,0.007892
OGTPC1,19,2.000000e+00,1.668101e-07,0.000813
OGTPC1,49,2.000000e+00,7.742637e-07,0.021191
OGTPC1,38,1.110095e+00,4.641589e-07,0.275874
OGTPC1,28,1.110095e+00,2.782559e-07,0.064568
OGTPC1,2,3.245936e-02,1.000000e-07,0.000917
OGTPC1,48,1.110095e+00,7.742637e-07,0.872483
OGTPC1,20,1.000000e-02,2.782559e-07,0.001124
OGTPC1,16,3.419952e-01,1.668101e-07,2.919835
OGTPC1,34,1.053610e-01,4.641589e-07,12.174407
OGTPC1,11,1.801648e-02,1.668101e-07,0.001074
OGTPC1,9,2.000000e+00,1.000000e-07,0.000164
OGTPC1,18,1.110095e+00,1.668101e-07,0.015846
OGTPC1,6,3.419952e-01,1.000000e-07,0.393720
OGTPC1,15,1.898235e-01,1.668101e-07,0.904490
OGTPC1,47,6.161550e-01,7.742637e-07,4.690799
OGTPC1,23,5.848035e-02,2.782559e-07,0.324960
OGTPC1,0,1.000000e-02,1.000000e-07,0.000019
OGTPC1,59,2.000000e+00,1.291550e-06,0.066429
OGTPC1,30,1.000000e-02,4.641589e-07,0.008702
OGTPC1,43,5.848035e-02,7.742637e-07,19.455947
OGTPC1,58,1.110095e+00,1.291550e-06,2.503689
OGTPC1,8,1.110095e+00,1.000000e-07,0.023621
OGTPC1,42,3.245936e-02,7.742637e-07,3.295310
OGTPC1,57,6.161550e-01,1.291550e-06,19.562137
OGTPC1,25,1.898235e-01,2.782559e-07,7.036647
OGTPC1,37,6.161550e-01,4.641589e-07,1.357421
OGTPC1,69,2.000000e+00,2.154435e-06,0.190707
OGTPC1,56,3.419952e-01,1.291550e-06,71.417532
OGTPC1,68,1.110095e+00,2.154435e-06,6.827229
OGTPC1,52,3.245936e-02,1.291550e-06,25.511417
OGTPC1,7,6.161550e-01,1.000000e-07,0.327925
OGTPC1,55,1.898235e-01,1.291550e-06,542.197851
