Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.029666
ND280UPGRD,29,2.000000e+00,2.782559e-07,0.001137
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.990983
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.332734
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.007297
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.028114
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.003063
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.170291
ND280UPGRD,6,3.419952e-01,1.000000e-07,1.054992
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.003634
ND280UPGRD,37,6.161550e-01,4.641589e-07,2.632119
ND280UPGRD,54,1.053610e-01,1.291550e-06,1989.033145
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.002841
ND280UPGRD,50,1.000000e-02,1.291550e-06,1.686600
ND280UPGRD,53,5.848035e-02,1.291550e-06,455.383670
ND280UPGRD,51,1.801648e-02,1.291550e-06,12.100333
ND280UPGRD,57,6.161550e-01,1.291550e-06,9.366499
ND280UPGRD,56,3.419952e-01,1.291550e-06,124.799171
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.033188
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.103233
ND280UPGRD,59,2.000000e+00,1.291550e-06,0.020224
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.077557
ND280UPGRD,55,1.898235e-01,1.291550e-06,1848.597087
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.000082
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000319
ND280UPGRD,47,6.161550e-01,7.742637e-07,2.595329
ND280UPGRD,66,3.419952e-01,2.154435e-06,185.713494
ND280UPGRD,68,1.110095e+00,2.154435e-06,2.283107
ND280UPGRD,52,3.245936e-02,1.291550e-06,79.023715
ND280UPGRD,27,6.161550e-01,2.782559e-07,4.562564
ND280UPGRD,63,5.848035e-02,2.154435e-06,3493.003238
ND280UPGRD,65,1.898235e-01,2.154435e-06,2591.081511
ND280UPGRD,64,1.053610e-01,2.154435e-06,9052.954100
ND280UPGRD,76,3.419952e-01,3.593814e-06,638.863703
ND280UPGRD,15,1.898235e-01,1.668101e-07,2.488080
ND280UPGRD,61,1.801648e-02,2.154435e-06,93.682174
ND280UPGRD,46,3.419952e-01,7.742637e-07,181.790415
ND280UPGRD,62,3.245936e-02,2.154435e-06,611.443856
ND280UPGRD,70,1.000000e-02,3.593814e-06,101.092796
ND280UPGRD,79,2.000000e+00,3.593814e-06,0.158905
ND280UPGRD,78,1.110095e+00,3.593814e-06,7.043484
ND280UPGRD,17,6.161550e-01,1.668101e-07,2.947448
ND280UPGRD,26,3.419952e-01,2.782559e-07,45.309601
ND280UPGRD,36,3.419952e-01,4.641589e-07,125.072338
ND280UPGRD,16,3.419952e-01,1.668101e-07,8.105769
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.322901
ND280UPGRD,58,1.110095e+00,1.291550e-06,0.909984
ND280UPGRD,25,1.898235e-01,2.782559e-07,19.051791
ND280UPGRD,88,1.110095e+00,5.994843e-06,17.701007
ND280UPGRD,86,3.419952e-01,5.994843e-06,1887.239511
ND280UPGRD,85,1.898235e-01,5.994843e-06,3648.062561
ND280UPGRD,45,1.898235e-01,7.742637e-07,724.266847
ND280UPGRD,81,1.801648e-02,5.994843e-06,5609.535256
ND280UPGRD,75,1.898235e-01,3.593814e-06,2320.827387
ND280UPGRD,35,1.898235e-01,4.641589e-07,147.075034
ND280UPGRD,69,2.000000e+00,2.154435e-06,0.058321
ND280UPGRD,80,1.000000e-02,5.994843e-06,782.660205
ND280UPGRD,87,6.161550e-01,5.994843e-06,209.109435
ND280UPGRD,83,5.848035e-02,5.994843e-06,105600.486938
ND280UPGRD,67,6.161550e-01,2.154435e-06,26.949600
ND280UPGRD,98,1.110095e+00,1.000000e-05,56.029161
ND280UPGRD,97,6.161550e-01,1.000000e-05,581.837487
ND280UPGRD,96,3.419952e-01,1.000000e-05,5223.004873
ND280UPGRD,34,1.053610e-01,4.641589e-07,35.237404
ND280UPGRD,74,1.053610e-01,3.593814e-06,23220.859823
ND280UPGRD,44,1.053610e-01,7.742637e-07,267.091216
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.076140
ND280UPGRD,24,1.053610e-01,2.782559e-07,4.570235
TPC2,8,1.110095e+00,1.000000e-07,0.076408
ND280UPGRD,32,3.245936e-02,4.641589e-07,1.318485
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.126668
TPC2,6,3.419952e-01,1.000000e-07,1.073056
TPC2,9,2.000000e+00,1.000000e-07,0.000079
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.016360
ND280UPGRD,60,1.000000e-02,2.154435e-06,13.058367
ND280UPGRD,14,1.053610e-01,1.668101e-07,0.589460
ND280UPGRD,33,5.848035e-02,4.641589e-07,7.591431
ND280UPGRD,42,3.245936e-02,7.742637e-07,10.209545
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.201844
TPC2,0,1.000000e-02,1.000000e-07,0.000061
TPC2,5,1.898235e-01,1.000000e-07,0.331103
ND280UPGRD,77,6.161550e-01,3.593814e-06,75.227451
TPC2,19,2.000000e+00,1.668101e-07,0.000294
ND280UPGRD,43,5.848035e-02,7.742637e-07,58.775486
TPC2,4,1.053610e-01,1.000000e-07,0.074834
TPC2,1,1.801648e-02,1.000000e-07,0.000439
ND280UPGRD,89,2.000000e+00,5.994843e-06,0.419947
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.000435
ND280UPGRD,23,5.848035e-02,2.782559e-07,0.980680
TPC2,16,3.419952e-01,1.668101e-07,8.247581
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.022009
ND280UPGRD,41,1.801648e-02,7.742637e-07,1.562843
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.000469
TPC2,28,1.110095e+00,2.782559e-07,0.030181
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.217755
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.026084
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.003369
