Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.781751
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.572250
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.176354
ND280UPGRD,15,1.898235e-01,1.668101e-07,2.653835
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.383616
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.588286
ND280UPGRD,55,1.898235e-01,1.291550e-06,1230.107599
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.029950
ND280UPGRD,47,6.161550e-01,7.742637e-07,1.196593
ND280UPGRD,45,1.898235e-01,7.742637e-07,694.285117
ND280UPGRD,26,3.419952e-01,2.782559e-07,16.823297
ND280UPGRD,42,3.245936e-02,7.742637e-07,35.345554
ND280UPGRD,52,3.245936e-02,1.291550e-06,273.232053
ND280UPGRD,56,3.419952e-01,1.291550e-06,21.386111
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.588739
ND280UPGRD,57,6.161550e-01,1.291550e-06,3.886188
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.001267
ND280UPGRD,34,1.053610e-01,4.641589e-07,81.975024
ND280UPGRD,46,3.419952e-01,7.742637e-07,42.374986
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.288590
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.792346
ND280UPGRD,16,3.419952e-01,1.668101e-07,3.662442
ND280UPGRD,54,1.053610e-01,1.291550e-06,4554.788931
ND280UPGRD,44,1.053610e-01,7.742637e-07,626.401569
ND280UPGRD,53,5.848035e-02,1.291550e-06,1510.916577
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.344179
ND280UPGRD,35,1.898235e-01,4.641589e-07,138.658420
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.365251
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000164
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.054641
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.423062
ND280UPGRD,25,1.898235e-01,2.782559e-07,20.600794
ND280UPGRD,36,3.419952e-01,4.641589e-07,42.388816
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.001359
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.075979
ND280UPGRD,23,5.848035e-02,2.782559e-07,3.275463
ND280UPGRD,24,1.053610e-01,2.782559e-07,10.566942
ND280UPGRD,41,1.801648e-02,7.742637e-07,4.885109
ND280UPGRD,33,5.848035e-02,4.641589e-07,25.357723
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.081489
ND280UPGRD,32,3.245936e-02,4.641589e-07,4.558376
ND280UPGRD,67,6.161550e-01,2.154435e-06,10.518560
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.010525
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.009836
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.076153
ND280UPGRD,50,1.000000e-02,1.291550e-06,4.554881
ND280UPGRD,51,1.801648e-02,1.291550e-06,37.822869
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.630939
ND280UPGRD,43,5.848035e-02,7.742637e-07,195.412228
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.009813
ND280UPGRD,64,1.053610e-01,2.154435e-06,16281.099003
ND280UPGRD,85,1.898235e-01,5.994843e-06,4058.842557
ND280UPGRD,74,1.053610e-01,3.593814e-06,28423.529703
ND280UPGRD,60,1.000000e-02,2.154435e-06,35.266676
ND280UPGRD,91,1.801648e-02,1.000000e-05,135781.388651
ND280UPGRD,63,5.848035e-02,2.154435e-06,11710.253937
ND280UPGRD,84,1.053610e-01,5.994843e-06,20635.394300
ND280UPGRD,62,3.245936e-02,2.154435e-06,2114.404210
ND280UPGRD,75,1.898235e-01,3.593814e-06,1305.257157
ND280UPGRD,61,1.801648e-02,2.154435e-06,292.837005
TPC2,7,6.161550e-01,1.000000e-07,0.245847
TPC2,5,1.898235e-01,1.000000e-07,0.333644
ND280UPGRD,73,5.848035e-02,3.593814e-06,80490.381401
TPC2,15,1.898235e-01,1.668101e-07,2.557122
TPC2,6,3.419952e-01,1.000000e-07,0.514766
ND280UPGRD,80,1.000000e-02,5.994843e-06,2114.152358
TPC2,2,3.245936e-02,1.000000e-07,0.010506
ND280UPGRD,65,1.898235e-01,2.154435e-06,998.552897
TPC2,14,1.053610e-01,1.668101e-07,1.374320
ND280UPGRD,81,1.801648e-02,5.994843e-06,17548.824107
TPC2,1,1.801648e-02,1.000000e-07,0.001423
ND280UPGRD,71,1.801648e-02,3.593814e-06,2267.163668
ND280UPGRD,72,3.245936e-02,3.593814e-06,16281.765931
ND280UPGRD,70,1.000000e-02,3.593814e-06,273.054572
TPC2,11,1.801648e-02,1.668101e-07,0.011019
TPC2,36,3.419952e-01,4.641589e-07,48.376737
TPC2,24,1.053610e-01,2.782559e-07,10.636916
TPC2,10,1.000000e-02,1.668101e-07,0.001332
TPC2,4,1.053610e-01,1.000000e-07,0.177526
ND280UPGRD,90,1.000000e-02,1.000000e-05,16367.993006
TPC2,35,1.898235e-01,4.641589e-07,143.730383
TPC2,37,6.161550e-01,4.641589e-07,0.343919
ND280UPGRD,93,5.848035e-02,1.000000e-05,492624.142363
TPC2,22,3.245936e-02,2.782559e-07,0.629509
TPC2,38,1.110095e+00,4.641589e-07,0.020709
TPC2,0,1.000000e-02,1.000000e-07,0.000172
TPC2,17,6.161550e-01,1.668101e-07,0.763678
TPC2,25,1.898235e-01,2.782559e-07,21.171674
TPC2,16,3.419952e-01,1.668101e-07,3.829455
TPC2,27,6.161550e-01,2.782559e-07,1.009273
TPC2,3,5.848035e-02,1.000000e-07,0.055908
TPC2,13,5.848035e-02,1.668101e-07,0.432871
TPC2,45,1.898235e-01,7.742637e-07,615.992026
TPC2,46,3.419952e-01,7.742637e-07,60.719041
TPC2,26,3.419952e-01,2.782559e-07,18.260603
TPC2,23,5.848035e-02,2.782559e-07,3.351409
TPC2,42,3.245936e-02,7.742637e-07,37.754422
TPC2,41,1.801648e-02,7.742637e-07,5.114594
TPC2,47,6.161550e-01,7.742637e-07,1.054670
TPC2,54,1.053610e-01,1.291550e-06,4350.547472
TPC2,40,1.000000e-02,7.742637e-07,0.618072
TPC2,20,1.000000e-02,2.782559e-07,0.010310
TPC2,12,3.245936e-02,1.668101e-07,0.081342
TPC2,56,3.419952e-01,1.291550e-06,30.193765
TPC2,65,1.898235e-01,2.154435e-06,1051.616336
TPC2,57,6.161550e-01,1.291550e-06,3.749486
TPC2,51,1.801648e-02,1.291550e-06,39.599882
TPC2,33,5.848035e-02,4.641589e-07,25.944879
TPC2,53,5.848035e-02,1.291550e-06,1552.815769
TPC2,50,1.000000e-02,1.291550e-06,4.785502
TPC2,32,3.245936e-02,4.641589e-07,4.873994
TPC2,34,1.053610e-01,4.641589e-07,83.054804
TPC2,44,1.053610e-01,7.742637e-07,641.830699
TPC2,75,1.898235e-01,3.593814e-06,1479.158771
TPC2,64,1.053610e-01,2.154435e-06,16225.913230
TPC2,21,1.801648e-02,2.782559e-07,0.085316
TPC2,30,1.000000e-02,4.641589e-07,0.079827
TPC2,60,1.000000e-02,2.154435e-06,37.052631
TPC2,43,5.848035e-02,7.742637e-07,200.529683
TPC2,55,1.898235e-01,1.291550e-06,1235.842543
TPC2,81,1.801648e-02,5.994843e-06,18373.752904
TPC2,74,1.053610e-01,3.593814e-06,28432.377224
TPC2,82,3.245936e-02,5.994843e-06,134552.114838
TPC2,70,1.000000e-02,3.593814e-06,286.879569
