Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,19,2.000000e+00,1.668101e-07,0.000632
OGTPC1,29,2.000000e+00,2.782559e-07,0.002573
OGTPC1,9,2.000000e+00,1.000000e-07,0.000105
OGTPC1,39,2.000000e+00,4.641589e-07,0.006273
OGTPC1,47,6.161550e-01,7.742637e-07,7.495077
OGTPC1,27,6.161550e-01,2.782559e-07,1.408579
OGTPC1,28,1.110095e+00,2.782559e-07,0.085193
OGTPC1,6,3.419952e-01,1.000000e-07,0.506726
OGTPC1,37,6.161550e-01,4.641589e-07,1.418186
OGTPC1,18,1.110095e+00,1.668101e-07,0.016066
OGTPC1,46,3.419952e-01,7.742637e-07,63.914580
OGTPC1,7,6.161550e-01,1.000000e-07,0.378005
OGTPC1,17,6.161550e-01,1.668101e-07,0.916561
OGTPC1,38,1.110095e+00,4.641589e-07,0.434964
OGTPC1,26,3.419952e-01,2.782559e-07,18.365579
OGTPC1,16,3.419952e-01,1.668101e-07,3.784006
OGTPC1,36,3.419952e-01,4.641589e-07,40.990356
OGTPC1,8,1.110095e+00,1.000000e-07,0.020263
OGTPC1,5,1.898235e-01,1.000000e-07,0.270617
OGTPC1,15,1.898235e-01,1.668101e-07,2.106378
OGTPC1,25,1.898235e-01,2.782559e-07,16.225427
OGTPC1,35,1.898235e-01,4.641589e-07,109.352776
OGTPC1,45,1.898235e-01,7.742637e-07,417.371785
OGTPC1,49,2.000000e+00,7.742637e-07,0.019013
OGTPC1,14,1.053610e-01,1.668101e-07,0.872316
OGTPC1,24,1.053610e-01,2.782559e-07,6.751483
OGTPC1,4,1.053610e-01,1.000000e-07,0.112638
OGTPC1,34,1.053610e-01,4.641589e-07,52.222585
OGTPC1,44,1.053610e-01,7.742637e-07,404.558316
OGTPC1,48,1.110095e+00,7.742637e-07,1.630372
OGTPC1,59,2.000000e+00,1.291550e-06,0.060585
OGTPC1,57,6.161550e-01,1.291550e-06,38.505464
OGTPC1,56,3.419952e-01,1.291550e-06,98.922081
OGTPC1,58,1.110095e+00,1.291550e-06,4.698482
OGTPC1,23,5.848035e-02,2.782559e-07,1.726653
OGTPC1,43,5.848035e-02,7.742637e-07,103.535451
OGTPC1,3,5.848035e-02,1.000000e-07,0.028803
OGTPC1,69,2.000000e+00,2.154435e-06,0.157084
OGTPC1,33,5.848035e-02,4.641589e-07,13.368457
OGTPC1,13,5.848035e-02,1.668101e-07,0.223010
OGTPC1,67,6.161550e-01,2.154435e-06,138.119603
OGTPC1,66,3.419952e-01,2.154435e-06,490.517946
OGTPC1,68,1.110095e+00,2.154435e-06,12.533257
OGTPC1,22,3.245936e-02,2.782559e-07,0.279507
OGTPC1,2,3.245936e-02,1.000000e-07,0.004663
OGTPC1,42,3.245936e-02,7.742637e-07,16.758887
OGTPC1,32,3.245936e-02,4.641589e-07,2.164108
OGTPC1,12,3.245936e-02,1.668101e-07,0.036105
OGTPC1,1,1.801648e-02,1.000000e-07,0.000605
OGTPC1,20,1.000000e-02,2.782559e-07,0.004366
OGTPC1,11,1.801648e-02,1.668101e-07,0.004687
OGTPC1,0,1.000000e-02,1.000000e-07,0.000073
OGTPC1,31,1.801648e-02,4.641589e-07,0.280992
OGTPC1,21,1.801648e-02,2.782559e-07,0.036292
OGTPC1,40,1.000000e-02,7.742637e-07,0.261709
OGTPC1,41,1.801648e-02,7.742637e-07,2.175614
OGTPC1,10,1.000000e-02,1.668101e-07,0.000564
OGTPC1,55,1.898235e-01,1.291550e-06,786.834260
OGTPC1,30,1.000000e-02,4.641589e-07,0.033801
OGTPC1,65,1.898235e-01,2.154435e-06,1205.411416
OGTPC1,76,3.419952e-01,3.593814e-06,2255.480948
OGTPC1,77,6.161550e-01,3.593814e-06,398.899199
OGTPC1,79,2.000000e+00,3.593814e-06,0.437063
OGTPC1,54,1.053610e-01,1.291550e-06,2606.010348
OGTPC1,78,1.110095e+00,3.593814e-06,36.266851
OGTPC1,75,1.898235e-01,3.593814e-06,3446.667765
OGTPC1,64,1.053610e-01,2.154435e-06,7686.231243
OGTPC1,89,2.000000e+00,5.994843e-06,1.209346
OGTPC1,87,6.161550e-01,5.994843e-06,1113.117467
OGTPC1,53,5.848035e-02,1.291550e-06,800.149628
OGTPC1,86,3.419952e-01,5.994843e-06,7821.722542
OGTPC1,63,5.848035e-02,2.154435e-06,6162.791691
OGTPC1,99,2.000000e+00,1.000000e-05,3.617984
OGTPC1,88,1.110095e+00,5.994843e-06,97.057611
