Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,47,6.161550e-01,7.742637e-07,3.078043
OGTPC1,37,6.161550e-01,4.641589e-07,0.566283
OGTPC1,48,1.110095e+00,7.742637e-07,0.403450
OGTPC1,38,1.110095e+00,4.641589e-07,0.115245
OGTPC1,27,6.161550e-01,2.782559e-07,0.417053
OGTPC1,6,3.419952e-01,1.000000e-07,0.262126
OGTPC1,17,6.161550e-01,1.668101e-07,0.309982
OGTPC1,46,3.419952e-01,7.742637e-07,24.340789
OGTPC1,7,6.161550e-01,1.000000e-07,0.130042
OGTPC1,16,3.419952e-01,1.668101e-07,1.968979
OGTPC1,36,3.419952e-01,4.641589e-07,18.282334
OGTPC1,26,3.419952e-01,2.782559e-07,8.262430
OGTPC1,25,1.898235e-01,2.782559e-07,11.772318
OGTPC1,15,1.898235e-01,1.668101e-07,1.543385
OGTPC1,5,1.898235e-01,1.000000e-07,0.199496
OGTPC1,35,1.898235e-01,4.641589e-07,76.528253
OGTPC1,55,1.898235e-01,1.291550e-06,464.615953
OGTPC1,45,1.898235e-01,7.742637e-07,265.146936
OGTPC1,34,1.053610e-01,4.641589e-07,41.674596
OGTPC1,4,1.053610e-01,1.000000e-07,0.090217
OGTPC1,44,1.053610e-01,7.742637e-07,322.376394
OGTPC1,14,1.053610e-01,1.668101e-07,0.698485
OGTPC1,24,1.053610e-01,2.782559e-07,5.405732
OGTPC1,54,1.053610e-01,1.291550e-06,1987.778511
OGTPC1,57,6.161550e-01,1.291550e-06,13.873588
OGTPC1,56,3.419952e-01,1.291550e-06,48.886428
OGTPC1,43,5.848035e-02,7.742637e-07,86.410991
OGTPC1,3,5.848035e-02,1.000000e-07,0.024056
OGTPC1,13,5.848035e-02,1.668101e-07,0.186199
OGTPC1,33,5.848035e-02,4.641589e-07,11.161814
OGTPC1,23,5.848035e-02,2.782559e-07,1.441842
OGTPC1,53,5.848035e-02,1.291550e-06,669.005976
OGTPC1,42,3.245936e-02,7.742637e-07,13.999799
OGTPC1,65,1.898235e-01,2.154435e-06,603.980658
OGTPC1,52,3.245936e-02,1.291550e-06,108.433162
OGTPC1,32,3.245936e-02,4.641589e-07,1.808879
OGTPC1,22,3.245936e-02,2.782559e-07,0.233627
OGTPC1,12,3.245936e-02,1.668101e-07,0.030162
OGTPC1,2,3.245936e-02,1.000000e-07,0.003896
OGTPC1,1,1.801648e-02,1.000000e-07,0.000509
OGTPC1,41,1.801648e-02,7.742637e-07,1.828893
OGTPC1,31,1.801648e-02,4.641589e-07,0.236226
OGTPC1,21,1.801648e-02,2.782559e-07,0.030510
OGTPC1,11,1.801648e-02,1.668101e-07,0.003940
OGTPC1,51,1.801648e-02,1.291550e-06,14.161468
OGTPC1,50,1.000000e-02,1.291550e-06,1.727596
OGTPC1,0,1.000000e-02,1.000000e-07,0.000062
OGTPC1,30,1.000000e-02,4.641589e-07,0.028817
OGTPC1,40,1.000000e-02,7.742637e-07,0.223125
OGTPC1,10,1.000000e-02,1.668101e-07,0.000481
OGTPC1,20,1.000000e-02,2.782559e-07,0.003722
OGTPC1,75,1.898235e-01,3.593814e-06,2313.965909
OGTPC1,87,6.161550e-01,5.994843e-06,369.733447
OGTPC1,85,1.898235e-01,5.994843e-06,11547.819357
OGTPC1,64,1.053610e-01,2.154435e-06,6055.476961
OGTPC1,63,5.848035e-02,2.154435e-06,5170.174061
OGTPC2,6,3.419952e-01,1.000000e-07,0.261885
OGTPC1,84,1.053610e-01,5.994843e-06,13119.781832
OGTPC2,7,6.161550e-01,1.000000e-07,0.131147
OGTPC1,73,5.848035e-02,3.593814e-06,33083.512384
OGTPC1,62,3.245936e-02,2.154435e-06,839.476848
OGTPC2,8,1.110095e+00,1.000000e-07,0.003611
OGTPC1,61,1.801648e-02,2.154435e-06,109.645981
OGTPC2,5,1.898235e-01,1.000000e-07,0.197757
OGTPC1,60,1.000000e-02,2.154435e-06,13.375851
OGTPC2,17,6.161550e-01,1.668101e-07,0.309857
OGTPC2,16,3.419952e-01,1.668101e-07,1.970551
OGTPC1,71,1.801648e-02,3.593814e-06,848.924870
OGTPC1,72,3.245936e-02,3.593814e-06,6483.911474
OGTPC2,27,6.161550e-01,2.782559e-07,0.424161
OGTPC1,70,1.000000e-02,3.593814e-06,103.564031
OGTPC2,28,1.110095e+00,2.782559e-07,0.025470
OGTPC2,26,3.419952e-01,2.782559e-07,8.301449
OGTPC2,15,1.898235e-01,1.668101e-07,1.530535
OGTPC1,81,1.801648e-02,5.994843e-06,6572.518423
OGTPC1,80,1.000000e-02,5.994843e-06,801.851938
OGTPC2,25,1.898235e-01,2.782559e-07,11.660716
OGTPC1,82,3.245936e-02,5.994843e-06,50357.108079
OGTPC1,83,5.848035e-02,5.994843e-06,93751.371815
OGTPC2,4,1.053610e-01,1.000000e-07,0.089836
OGTPC2,14,1.053610e-01,1.668101e-07,0.695520
OGTPC1,93,5.848035e-02,1.000000e-05,180139.838258
OGTPC1,91,1.801648e-02,1.000000e-05,50816.449310
OGTPC1,92,3.245936e-02,1.000000e-05,342359.199921
OGTPC2,24,1.053610e-01,2.782559e-07,5.383013
OGTPC1,90,1.000000e-02,1.000000e-05,6208.308478
OGTPC2,37,6.161550e-01,4.641589e-07,0.594295
OGTPC2,36,3.419952e-01,4.641589e-07,18.383930
OGTPC2,3,5.848035e-02,1.000000e-07,0.024062
OGTPC2,1,1.801648e-02,1.000000e-07,0.000509
OGTPC2,47,6.161550e-01,7.742637e-07,3.311356
OGTPC2,0,1.000000e-02,1.000000e-07,0.000062
OGTPC2,46,3.419952e-01,7.742637e-07,24.957336
OGTPC2,57,6.161550e-01,1.291550e-06,14.663512
OGTPC2,35,1.898235e-01,4.641589e-07,76.604950
OGTPC2,2,3.245936e-02,1.000000e-07,0.003884
OGTPC2,13,5.848035e-02,1.668101e-07,0.186239
OGTPC2,23,5.848035e-02,2.782559e-07,1.442102
OGTPC2,34,1.053610e-01,4.641589e-07,41.478129
OGTPC2,12,3.245936e-02,1.668101e-07,0.030076
OGTPC2,11,1.801648e-02,1.668101e-07,0.003937
OGTPC2,10,1.000000e-02,1.668101e-07,0.000481
OGTPC2,22,3.245936e-02,2.782559e-07,0.232961
OGTPC2,21,1.801648e-02,2.782559e-07,0.030487
OGTPC2,45,1.898235e-01,7.742637e-07,264.594079
OGTPC2,20,1.000000e-02,2.782559e-07,0.003723
OGTPC2,55,1.898235e-01,1.291550e-06,467.296684
OGTPC2,30,1.000000e-02,4.641589e-07,0.028825
OGTPC2,66,3.419952e-01,2.154435e-06,271.534467
OGTPC2,31,1.801648e-02,4.641589e-07,0.236049
OGTPC2,65,1.898235e-01,2.154435e-06,620.859741
OGTPC2,32,3.245936e-02,4.641589e-07,1.803725
OGTPC2,67,6.161550e-01,2.154435e-06,49.328349
OGTPC2,44,1.053610e-01,7.742637e-07,321.213373
OGTPC2,33,5.848035e-02,4.641589e-07,11.164289
OGTPC2,54,1.053610e-01,1.291550e-06,1984.036688
OGTPC2,75,1.898235e-01,3.593814e-06,2435.468438
OGTPC2,43,5.848035e-02,7.742637e-07,86.427463
OGTPC2,53,5.848035e-02,1.291550e-06,669.202281
OGTPC2,40,1.000000e-02,7.742637e-07,0.223185
OGTPC2,64,1.053610e-01,2.154435e-06,6063.235517
OGTPC2,41,1.801648e-02,7.742637e-07,1.827563
OGTPC2,42,3.245936e-02,7.742637e-07,13.960032
OGTPC2,85,1.898235e-01,5.994843e-06,12081.905560
OGTPC3,6,3.419952e-01,1.000000e-07,0.261441
OGTPC3,7,6.161550e-01,1.000000e-07,0.131566
OGTPC2,52,3.245936e-02,1.291550e-06,108.126430
OGTPC2,63,5.848035e-02,2.154435e-06,5166.356962
OGTPC2,51,1.801648e-02,1.291550e-06,14.150726
OGTPC2,50,1.000000e-02,1.291550e-06,1.728006
OGTPC3,17,6.161550e-01,1.668101e-07,0.311246
OGTPC3,5,1.898235e-01,1.000000e-07,0.195747
OGTPC3,16,3.419952e-01,1.668101e-07,1.951455
OGTPC2,62,3.245936e-02,2.154435e-06,837.111013
OGTPC2,60,1.000000e-02,2.154435e-06,13.379298
OGTPC2,61,1.801648e-02,2.154435e-06,109.562788
OGTPC2,74,1.053610e-01,3.593814e-06,10552.555220
