Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000000
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.122079
ND280UPGRD,34,1.053610e-01,4.641589e-07,99.555388
ND280UPGRD,41,1.801648e-02,7.742637e-07,5.959733
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.000009
ND280UPGRD,24,1.053610e-01,2.782559e-07,14.450423
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.958196
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.322272
ND280UPGRD,43,5.848035e-02,7.742637e-07,338.894044
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.006766
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.128277
ND280UPGRD,13,5.848035e-02,1.668101e-07,1.000579
ND280UPGRD,36,3.419952e-01,4.641589e-07,3.776180
ND280UPGRD,42,3.245936e-02,7.742637e-07,63.140582
ND280UPGRD,15,1.898235e-01,1.668101e-07,6.300502
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.993090
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.332795
ND280UPGRD,46,3.419952e-01,7.742637e-07,13.130098
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.516655
ND280UPGRD,18,1.110095e+00,1.668101e-07,0.004543
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000335
ND280UPGRD,33,5.848035e-02,4.641589e-07,37.105827
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.155630
ND280UPGRD,14,1.053610e-01,1.668101e-07,2.382881
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.244775
ND280UPGRD,16,3.419952e-01,1.668101e-07,4.643152
ND280UPGRD,35,1.898235e-01,4.641589e-07,125.731958
ND280UPGRD,26,3.419952e-01,2.782559e-07,15.485704
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.099059
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.002140
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.008559
ND280UPGRD,23,5.848035e-02,2.782559e-07,4.679930
ND280UPGRD,44,1.053610e-01,7.742637e-07,880.684393
ND280UPGRD,7,6.161550e-01,1.000000e-07,0.001190
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.898449
ND280UPGRD,25,1.898235e-01,2.782559e-07,32.917787
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.024723
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.003193
ND280UPGRD,6,3.419952e-01,1.000000e-07,0.721492
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.012845
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.452910
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.001528
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.122057
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.015766
ND280UPGRD,15,1.898235e-01,1.668101e-07,6.300502
ND280UPGRD,25,1.898235e-01,2.782559e-07,32.917787
ND280UPGRD,38,1.110095e+00,4.641589e-07,0.008559
ND280UPGRD,23,5.848035e-02,2.782559e-07,4.679930
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000000
ND280UPGRD,47,6.161550e-01,7.742637e-07,0.958196
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.012845
ND280UPGRD,41,1.801648e-02,7.742637e-07,5.959733
ND280UPGRD,46,3.419952e-01,7.742637e-07,13.130098
ND280UPGRD,35,1.898235e-01,4.641589e-07,125.731958
ND280UPGRD,36,3.419952e-01,4.641589e-07,3.776180
ND280UPGRD,9,2.000000e+00,1.000000e-07,0.000009
ND280UPGRD,27,6.161550e-01,2.782559e-07,0.122079
ND280UPGRD,37,6.161550e-01,4.641589e-07,0.452910
ND280UPGRD,44,1.053610e-01,7.742637e-07,880.684393
ND280UPGRD,28,1.110095e+00,2.782559e-07,0.006766
ND280UPGRD,32,3.245936e-02,4.641589e-07,7.674500
ND280UPGRD,33,5.848035e-02,4.641589e-07,37.105827
ND280UPGRD,40,1.000000e-02,7.742637e-07,1.516655
ND280UPGRD,45,1.898235e-01,7.742637e-07,319.752720
ND280UPGRD,34,1.053610e-01,4.641589e-07,99.555388
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.001528
ND280UPGRD,22,3.245936e-02,2.782559e-07,1.322272
ND280UPGRD,43,5.848035e-02,7.742637e-07,338.894044
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.155630
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.993090
ND280UPGRD,42,3.245936e-02,7.742637e-07,63.140582
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.002140
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000335
OGTPC1,29,2.000000e+00,2.782559e-07,0.000146
OGTPC1,19,2.000000e+00,1.668101e-07,0.000052
OGTPC1,9,2.000000e+00,1.000000e-07,0.000010
ND280UPGRD,26,3.419952e-01,2.782559e-07,15.485704
ND280UPGRD,16,3.419952e-01,1.668101e-07,4.643152
ND280UPGRD,17,6.161550e-01,1.668101e-07,0.244775
ND280UPGRD,24,1.053610e-01,2.782559e-07,14.450423
ND280UPGRD,14,1.053610e-01,1.668101e-07,2.382881
