Experiment,i,Mass,Coupling,Signal_Strength
TPC2,4,1.053610e-01,1.000000e-07,0.907250
TPC2,3,5.848035e-02,1.000000e-07,0.261599
TPC2,2,3.245936e-02,1.000000e-07,0.045009
TPC2,1,1.801648e-02,1.000000e-07,0.006193
TPC2,0,1.000000e-02,1.000000e-07,0.000763
TPC3,4,1.053610e-01,1.000000e-07,1.828761
TPC3,3,5.848035e-02,1.000000e-07,0.522434
TPC3,2,3.245936e-02,1.000000e-07,0.089404
TPC3,1,1.801648e-02,1.000000e-07,0.011898
TPC3,0,1.000000e-02,1.000000e-07,0.001432
TPC2,9,2.000000e+00,1.000000e-07,0.000101
TPC2,7,6.161550e-01,1.000000e-07,3.951234
TPC2,8,1.110095e+00,1.000000e-07,0.166103
TPC2,6,3.419952e-01,1.000000e-07,4.290170
TPC2,15,1.898235e-01,1.668101e-07,15.871301
TPC2,5,1.898235e-01,1.000000e-07,2.048785
TPC2,4,1.053610e-01,1.000000e-07,0.907231
TPC2,14,1.053610e-01,1.668101e-07,7.021867
TPC2,16,3.419952e-01,1.668101e-07,32.434952
TPC2,3,5.848035e-02,1.000000e-07,0.261586
TPC2,19,2.000000e+00,1.668101e-07,0.000447
TPC2,17,6.161550e-01,1.668101e-07,10.171106
TPC2,18,1.110095e+00,1.668101e-07,0.044226
TPC2,13,5.848035e-02,1.668101e-07,2.025327
TPC2,0,1.000000e-02,1.000000e-07,0.000763
TPC2,2,3.245936e-02,1.000000e-07,0.045009
TPC2,11,1.801648e-02,1.668101e-07,0.047947
TPC2,12,3.245936e-02,1.668101e-07,0.348484
TPC2,1,1.801648e-02,1.000000e-07,0.006193
TPC2,10,1.000000e-02,1.668101e-07,0.005908
TPC2,25,1.898235e-01,2.782559e-07,122.462251
TPC2,29,2.000000e+00,2.782559e-07,0.001330
TPC2,27,6.161550e-01,2.782559e-07,12.909714
TPC2,26,3.419952e-01,2.782559e-07,170.602413
TPC2,28,1.110095e+00,2.782559e-07,0.096085
TPC2,24,1.053610e-01,2.782559e-07,54.357362
TPC2,21,1.801648e-02,2.782559e-07,0.371221
TPC2,20,1.000000e-02,2.782559e-07,0.045742
TPC2,23,5.848035e-02,2.782559e-07,15.680714
TPC2,22,3.245936e-02,2.782559e-07,2.698229
TPC2,35,1.898235e-01,4.641589e-07,867.947988
TPC2,39,2.000000e+00,4.641589e-07,0.004047
TPC2,36,3.419952e-01,4.641589e-07,452.274941
TPC2,37,6.161550e-01,4.641589e-07,3.566201
TPC2,34,1.053610e-01,4.641589e-07,421.086455
TPC2,38,1.110095e+00,4.641589e-07,0.334845
TPC2,33,5.848035e-02,4.641589e-07,121.391228
TPC2,32,3.245936e-02,4.641589e-07,21.099732
TPC2,31,1.801648e-02,4.641589e-07,2.874399
TPC2,30,1.000000e-02,4.641589e-07,0.354185
TPC2,46,3.419952e-01,7.742637e-07,592.863299
TPC2,49,2.000000e+00,7.742637e-07,0.011160
TPC2,47,6.161550e-01,7.742637e-07,9.606348
TPC2,44,1.053610e-01,7.742637e-07,3223.186210
TPC2,48,1.110095e+00,7.742637e-07,0.971395
